name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,positions_Center,positions_Point Guard,positions_Power Forward,positions_Shooting Guard,positions_Small Forward,season,MVP,DPOY,SMOY,MIP,team_1st,team_2nd,team_3rd
Alex Stepheson,9.1,1.1,3.4,0.333,0.0,0.0,0.0,1.1,3.4,0.333,0.333,0.5,1.5,0.333,2.4,1.1,3.5,0.3,0.1,0.6,0.0,1.5,2.8,12.4,0.4305,0.0,1.1925,20.75,12.25,16.7,2.6,0.4,8.85,0.0,14.75,0.0,0.05,0.05,0.086,-2.75,0.25,-2.5,0.0,28,"Los Angeles Clippers, Memphis Grizzlies",8,0,73,9,27,0,0,4,12,19,9,2,1,5,0,12,22,0,0,1,0,0,2015-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anderson Varejão,9.4,1.0,2.3,0.427,0.0,0.0,0.0,1.0,2.3,0.431,0.427,0.6,0.9,0.64,0.7,2.0,2.7,0.7,0.3,0.2,0.4,1.3,2.6,11.116981132075473,0.47232075471698115,0.00760377358490566,0.41215094339622643,8.467924528301888,22.598113207547172,15.728301886792453,9.79811320754717,1.5924528301886793,1.5905660377358493,12.977358490566036,15.090566037735849,0.14150943396226415,0.4169811320754717,0.5584905660377358,0.10186792452830187,-3.5245283018867926,0.6264150943396227,-2.8981132075471696,-0.041509433962264156,33,"Cleveland Cavaliers, Golden State Warriors",53,0,496,53,124,0,1,32,50,37,104,35,16,10,22,70,138,1,0,0,0,0,2015-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Miller,11.8,1.5,2.7,0.557,0.1,0.2,0.25,1.5,2.5,0.582,0.566,0.6,0.8,0.75,0.3,1.0,1.3,2.2,0.4,0.0,0.9,1.2,3.7,13.433333333333334,0.6156666666666667,0.07366666666666667,0.309,2.9666666666666663,9.200000000000001,6.166666666666667,28.8,1.7333333333333332,0.0,24.366666666666667,15.266666666666666,0.3666666666666667,0.16666666666666666,0.4666666666666667,0.09799999999999999,-1.2666666666666668,-0.5666666666666667,-1.9000000000000001,0.0,39,"Minnesota Timberwolves, San Antonio Spurs",39,4,461,59,106,2,8,24,32,12,39,87,16,0,37,46,144,0,1,0,0,0,2015-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beno Udrih,16.1,2.0,4.5,0.434,0.3,1.0,0.341,1.6,3.5,0.461,0.472,0.4,0.5,0.9,0.2,1.5,1.6,2.6,0.3,0.0,1.2,1.2,4.7,9.572727272727274,0.49536363636363634,0.221,0.10345454545454545,1.3090909090909089,10.027272727272727,5.7727272727272725,25.027272727272727,1.0545454545454545,0.14545454545454548,20.454545454545453,16.80909090909091,-0.08181818181818182,0.4090909090909091,0.34545454545454546,0.02890909090909091,-2.6545454545454543,-0.9636363636363636,-3.6181818181818177,-0.24545454545454543,33,"Memphis Grizzlies, Miami Heat",44,5,707,86,198,15,44,18,20,8,64,116,14,1,53,51,205,0,1,0,0,0,2015-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Jennings,18.1,2.3,6.3,0.368,1.1,3.2,0.329,1.3,3.1,0.409,0.452,1.2,1.6,0.731,0.3,1.7,2.0,3.5,0.6,0.1,1.2,1.2,6.9,13.725,0.49047916666666663,0.509875,0.25662500000000005,2.029166666666667,10.418749999999998,6.052083333333333,29.18958333333333,1.6645833333333335,0.6604166666666668,14.339583333333332,19.989583333333332,0.3479166666666667,0.4000000000000001,0.7479166666666668,0.08202083333333333,0.2041666666666667,-0.7208333333333333,-0.4166666666666667,0.14791666666666667,26,"Detroit Pistons, Orlando Magic",48,7,868,112,304,51,155,57,78,16,80,170,29,7,57,57,332,0,1,0,0,0,2015-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Roberts,9.2,1.5,3.2,0.448,0.3,0.8,0.357,1.2,2.4,0.48,0.494,0.8,0.9,0.894,0.1,0.7,0.8,1.1,0.2,0.0,0.5,0.7,4.0,13.81764705882353,0.5515882352941177,0.26176470588235295,0.2717647058823529,1.4235294117647057,8.13529411764706,4.758823529411765,18.61764705882353,1.1,0.3647058823529412,11.105882352941176,19.776470588235295,0.3764705882352941,0.21764705882352942,0.5941176470588235,0.10305882352941177,-0.8588235294117647,-0.8294117647058823,-1.7294117647058824,0.0,30,"Charlotte Hornets, Portland Trail Blazers",51,0,470,74,165,15,42,42,47,6,35,54,10,2,23,35,205,0,1,0,0,0,2015-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Briante Weber,24.1,2.0,5.6,0.359,0.0,0.7,0.0,2.0,4.9,0.412,0.359,0.4,0.6,0.75,1.1,2.4,3.6,3.0,1.3,0.4,1.3,1.7,4.4,12.728571428571428,0.4557142857142857,0.11314285714285714,0.09,4.542857142857143,15.085714285714285,9.728571428571428,25.414285714285715,2.3999999999999995,1.457142857142857,15.857142857142858,13.485714285714284,-0.17142857142857146,0.17142857142857146,0.0,0.08457142857142856,-3.485714285714286,1.9000000000000001,-1.5857142857142856,-0.08571428571428573,23,"Memphis Grizzlies, Miami Heat",7,4,169,14,39,0,5,3,4,8,17,21,9,3,9,12,31,0,1,0,0,0,2015-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryce Cotton,4.9,0.5,1.3,0.4,0.0,0.4,0.0,0.5,0.9,0.571,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.6,0.3,1.0,16.95,0.71875,0.140625,0.0,0.0,0.0,0.0,4.762499999999999,1.6500000000000001,0.0,14.4375,15.675,-0.07500000000000001,0.0,-0.07500000000000001,0.048875,-0.26249999999999973,-0.32499999999999996,-0.6500000000000004,-0.037500000000000006,23,"Phoenix Suns, Memphis Grizzlies",8,0,39,4,10,0,3,0,0,0,0,3,3,0,5,2,8,0,1,0,0,0,2015-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Channing Frye,17.1,2.2,5.0,0.438,1.3,3.4,0.387,0.9,1.6,0.545,0.569,0.4,0.5,0.857,0.5,2.8,3.3,1.0,0.4,0.4,0.6,1.8,6.1,12.951428571428574,0.586,0.6721714285714285,0.10334285714285714,3.225714285714286,18.640000000000004,10.920000000000002,8.66,1.2142857142857142,1.9400000000000002,11.034285714285716,15.094285714285713,0.8371428571428573,0.7257142857142858,1.5,0.11928571428571429,0.3571428571428572,0.4914285714285714,0.8114285714285714,0.4257142857142857,32,"Orlando Magic, Cleveland Cavaliers",70,32,1200,152,347,91,235,30,35,35,199,71,29,28,43,127,425,0,0,1,0,0,2015-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Budinger,14.1,1.6,3.6,0.435,0.4,1.3,0.279,1.2,2.3,0.523,0.485,0.6,0.8,0.696,0.7,1.6,2.3,1.0,0.5,0.2,0.7,0.9,4.1,10.61060606060606,0.5187424242424241,0.36166666666666664,0.22922727272727272,5.137878787878789,12.369696969696971,8.790909090909091,10.286363636363637,1.6651515151515153,0.8454545454545455,14.789393939393939,14.436363636363636,0.24848484848484848,0.7424242424242424,0.990909090909091,0.07112121212121214,-1.8287878787878789,0.38484848484848483,-1.3954545454545453,0.12272727272727275,27,"Indiana Pacers, Phoenix Suns",66,2,929,104,239,24,86,39,56,43,107,64,32,10,44,62,271,0,0,0,0,1,2015-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
