name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,positions_Center,positions_Point Guard,positions_Power Forward,positions_Shooting Guard,positions_Small Forward,season,MVP,DPOY,SMOY,MIP,team_1st,team_2nd,team_3rd
Andre Turner,10.5,1.0,3.5,0.289,0.0,0.2,0.0,1.0,3.3,0.306,0.289,0.4,0.4,1.0,0.4,0.4,0.7,2.1,0.7,0.0,1.1,0.5,2.4,6.1090909090909085,0.3409090909090909,0.05009090909090908,0.11636363636363636,3.9999999999999996,4.1,3.963636363636363,27.40909090909091,3.4181818181818175,0.0,23.136363636363637,19.045454545454547,-0.1272727272727273,0.07272727272727274,-0.1272727272727273,-0.11145454545454546,-5.090909090909091,-0.709090909090909,-5.8,-0.02727272727272728,25,"Los Angeles Clippers, Charlotte Hornets",11,0,115,11,38,0,2,4,4,4,4,23,8,0,12,6,26,0,1,0,0,0,1989-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Carr,22.4,4.6,9.4,0.494,0.0,0.1,0.0,4.6,9.3,0.499,0.494,3.1,3.9,0.795,1.5,2.7,4.2,1.5,0.4,0.9,1.6,3.2,12.3,15.885714285714283,0.562142857142857,0.011714285714285714,0.41228571428571426,7.428571428571429,14.0,10.657142857142857,10.5,0.8571428571428571,2.4285714285714284,13.757142857142856,22.942857142857143,1.185714285714286,0.5285714285714286,1.6714285714285713,0.09585714285714286,-0.1285714285714286,-0.4857142857142856,-0.6714285714285715,0.30000000000000004,28,"Atlanta Hawks, Sacramento Kings",77,4,1727,356,721,0,7,237,298,115,207,119,30,68,125,247,949,0,0,1,0,0,1989-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armen Gilliam,31.9,6.4,12.4,0.515,0.0,0.0,0.0,6.4,12.3,0.516,0.515,4.0,5.5,0.723,2.8,5.1,7.9,1.3,0.9,0.7,2.4,2.8,16.7,16.373684210526314,0.5581052631578947,0.0015789473684210526,0.44721052631578945,9.663157894736841,18.736842105263158,14.005263157894738,6.1947368421052635,1.3368421052631578,1.2578947368421052,13.657894736842104,23.147368421052633,1.6789473684210525,1.563157894736842,3.3421052631578942,0.08831578947368421,-0.15789473684210525,-1.0421052631578949,-1.1210526315789473,0.5526315789473685,25,"Phoenix Suns, Charlotte Hornets",76,66,2426,484,940,0,2,303,419,211,388,99,69,51,183,212,1271,0,0,1,0,0,1989-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brad Lohaus,24.3,3.8,8.3,0.46,0.6,1.7,0.343,3.2,6.6,0.49,0.495,0.9,1.3,0.728,1.2,3.8,5.0,2.1,0.7,1.1,1.4,2.6,9.2,13.49,0.51475,0.19795000000000001,0.1537,5.5600000000000005,18.585,11.85,13.330000000000002,1.4949999999999999,2.89,13.564999999999998,18.0,0.675,1.3499999999999999,2.0249999999999995,0.07844999999999999,-0.7100000000000001,0.925,0.18499999999999997,0.7150000000000001,25,"Minnesota Timberwolves, Milwaukee Bucks",80,41,1943,305,663,47,137,75,103,98,300,168,58,88,109,211,732,0,0,1,0,0,1989-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brad Sellers,11.9,1.7,4.3,0.406,0.0,0.1,0.0,1.7,4.2,0.414,0.406,1.0,1.2,0.795,0.7,0.8,1.5,0.6,0.3,0.4,0.8,1.3,4.5,8.974576271186441,0.459271186440678,0.019983050847457624,0.28569491525423724,6.47457627118644,9.14406779661017,7.735593220338982,6.076271186440678,1.3508474576271186,2.028813559322034,13.883050847457625,20.820338983050846,0.05762711864406779,0.25254237288135595,0.3101694915254237,-0.001152542372881357,-3.2288135593220337,-1.1796610169491524,-4.432203389830509,-0.12372881355932204,27,"Seattle Supersonics, Minnesota Timberwolves",59,0,700,103,254,0,5,58,73,39,50,33,17,22,46,74,264,0,0,1,0,0,1989-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Dudley,21.2,2.3,5.5,0.411,0.0,0.0,0.0,2.3,5.5,0.411,0.411,0.9,2.8,0.319,2.7,3.9,6.6,0.6,0.6,1.1,1.3,2.6,5.5,9.375,0.40107812499999995,0.0,0.510625,13.6671875,20.5609375,16.9375,4.115625,1.484375,3.2625,16.209375,16.3125,-0.9468749999999999,0.9578125,0.010937499999999989,0.003031250000000001,-4.85625,-0.31562500000000004,-5.171875,-0.53125,24,"Cleveland Cavaliers, New Jersey Nets",64,30,1356,146,355,0,0,58,182,174,249,39,41,72,84,164,350,0,0,1,0,0,1989-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Welp,7.3,0.9,2.3,0.377,0.0,0.0,0.0,0.9,2.3,0.377,0.377,0.7,0.9,0.76,0.7,1.1,1.8,0.3,0.2,0.3,0.6,2.1,2.4,4.062962962962963,0.4208148148148148,0.0,0.35559259259259257,11.49259259259259,14.0,12.825925925925924,7.7407407407407405,1.262962962962963,1.6074074074074074,17.87037037037037,18.937037037037037,-0.0962962962962963,0.1,0.055555555555555566,-0.02922222222222222,-8.848148148148148,-1.448148148148148,-10.296296296296296,-0.14814814814814814,26,"San Antonio Spurs, Golden State Warriors",27,3,198,23,61,0,0,19,25,18,30,9,6,8,15,58,65,1,0,0,0,0,1989-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Chievous,10.7,1.9,4.0,0.477,0.1,0.2,0.333,1.9,3.8,0.483,0.484,1.5,2.0,0.721,0.6,1.0,1.6,0.6,0.5,0.1,0.8,1.3,5.3,13.092727272727274,0.5390545454545455,0.039654545454545456,0.5098727272727273,6.558181818181818,9.696363636363637,8.201818181818181,7.467272727272728,2.021818181818182,0.5254545454545454,13.843636363636364,22.143636363636364,0.2981818181818182,0.5472727272727272,0.8454545454545455,0.09154545454545455,-1.958181818181818,-0.1636363636363637,-2.1218181818181816,0.049090909090909095,22,"Houston Rockets, Cleveland Cavaliers",55,0,591,105,220,3,9,80,111,35,55,31,26,5,45,70,293,0,0,0,0,1,1989-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerald Henderson,8.1,0.9,1.9,0.486,0.3,0.7,0.447,0.6,1.2,0.507,0.564,0.2,0.3,0.8,0.2,0.6,0.8,1.3,0.3,0.0,0.4,0.9,2.4,12.403508771929825,0.5883508771929825,0.35292982456140354,0.14156140350877194,2.6807017543859653,7.857894736842105,5.3,23.02631578947368,1.5473684210526313,0.3228070175438597,16.766666666666666,13.075438596491228,0.5649122807017544,0.3421052631578948,0.9070175438596492,0.13871929824561405,0.05087719298245612,1.6228070175438596,1.6736842105263159,0.3228070175438597,34,"Milwaukee Bucks, Detroit Pistons",57,0,464,53,109,17,38,12,15,11,32,74,16,2,24,50,135,0,1,0,0,0,1989-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Haley,16.2,2.1,5.2,0.398,0.0,0.0,0.0,2.1,5.2,0.399,0.398,1.3,1.9,0.68,1.7,2.8,4.5,0.4,0.3,0.2,1.1,2.5,5.4,8.873134328358208,0.45925373134328357,0.0025074626865671645,0.35919402985074633,11.107462686567166,19.82537313432836,15.207462686567165,4.217910447761194,0.6686567164179105,0.682089552238806,16.028358208955225,18.188059701492534,-0.5850746268656716,0.7522388059701492,0.25074626865671645,0.016597014925373136,-4.78955223880597,-2.032835820895522,-6.822388059701493,-1.1701492537313432,26,"Chicago Bulls, New Jersey Nets",67,26,1084,138,347,0,1,85,125,115,185,26,18,12,72,170,361,0,0,1,0,0,1989-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
