name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,positions_Center,positions_Point Guard,positions_Power Forward,positions_Shooting Guard,positions_Small Forward,season,MVP,DPOY,SMOY,MIP,team_1st,team_2nd,team_3rd
Anthony Jones,13.2,2.0,5.0,0.413,0.1,0.3,0.35,1.9,4.6,0.417,0.424,0.8,1.0,0.769,0.6,1.0,1.6,1.1,0.6,0.3,0.8,1.2,5.0,10.361538461538462,0.46367692307692304,0.05713846153846154,0.2326769230769231,4.367692307692307,8.353846153846154,6.310769230769231,11.189230769230768,2.5415384615384613,1.1784615384615384,13.656923076923078,18.555384615384614,-0.04923076923076923,0.42615384615384616,0.3769230769230769,0.0224,-2.8123076923076926,0.0892307692307693,-2.723076923076923,-0.07538461538461538,24,"Washington Bullets, San Antonio Spurs",65,4,858,133,322,7,20,50,65,40,64,73,42,19,49,79,323,0,0,0,1,0,1986-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Poquette,10.4,1.1,2.1,0.508,0.0,0.1,0.0,1.1,2.0,0.525,0.508,0.7,0.9,0.8,0.5,1.2,1.7,0.6,0.2,0.6,0.4,1.3,2.8,10.943103448275863,0.5696379310344828,0.03265517241379311,0.4032241379310345,5.615517241379311,12.443103448275863,9.029310344827588,7.522413793103448,0.7724137931034483,3.3431034482758615,12.282758620689652,11.21551724137931,0.36379310344827587,0.3913793103448276,0.7189655172413794,0.11232758620689655,-2.027586206896552,1.410344827586207,-0.6172413793103447,0.12758620689655173,31,"Cleveland Cavaliers, Chicago Bulls",58,2,604,62,122,0,4,40,50,30,71,35,9,34,21,77,164,0,0,1,0,0,1986-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedric Henderson,2.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.4,0.4,1.0,0.4,0.6,1.0,0.0,0.0,0.0,0.5,0.3,1.4,13.875,0.53825,0.0,0.31675000000000003,20.925,26.799999999999997,23.75,0.0,0.0,0.0,22.525,31.6,0.0,0.0,0.0,-0.00425,-5.625,-2.85,-8.475000000000001,0.0,21,"Atlanta Hawks, Milwaukee Bucks",8,0,16,4,8,0,0,3,3,3,5,0,0,0,4,2,11,0,0,1,0,0,1986-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedric Maxwell,24.3,3.1,5.9,0.53,0.0,0.0,0.0,3.1,5.9,0.532,0.53,3.7,4.8,0.775,2.2,3.2,5.4,2.4,0.5,0.2,1.7,2.2,10.0,15.286419753086417,0.6277654320987655,0.0028395061728395065,0.8332962962962963,9.47037037037037,14.975308641975309,12.14320987654321,13.369135802469136,0.8728395061728393,0.38641975308641974,16.809876543209874,15.777777777777779,2.0,0.7271604938271605,2.7271604938271605,0.14020987654320988,1.11358024691358,-0.2024691358024691,0.9679012345679011,0.7,31,"Los Angeles Clippers, Houston Rockets",81,31,1968,253,477,0,1,303,391,175,260,197,39,14,136,178,809,0,0,0,0,1,1986-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Engler,6.5,0.8,1.7,0.451,0.0,0.0,0.0,0.8,1.7,0.451,0.451,0.4,0.5,0.75,0.8,1.1,1.9,0.3,0.2,0.4,0.4,1.1,1.9,14.116666666666667,0.5151,0.0,0.33353333333333335,17.836666666666666,17.933333333333334,17.8,5.8100000000000005,1.4566666666666668,3.4466666666666663,17.09,16.52,0.023333333333333334,0.07666666666666666,0.16000000000000003,0.09803333333333333,-1.0466666666666669,-0.32000000000000006,-1.3833333333333333,-0.016666666666666666,27,"Portland Trail Blazers, Milwaukee Bucks, New Jersey Nets",30,0,195,23,51,0,0,12,16,23,34,8,5,11,12,33,58,1,0,0,0,0,1986-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conner Henry,6.0,0.9,2.5,0.338,0.2,0.8,0.31,0.6,1.7,0.351,0.386,0.3,0.5,0.63,0.1,0.5,0.6,0.6,0.2,0.0,0.5,0.6,2.3,5.733333333333333,0.403,0.3116666666666667,0.211,2.466666666666667,8.766666666666666,5.8,14.0,1.4000000000000001,0.13333333333333333,15.333333333333334,22.53333333333333,-0.3333333333333333,0.16666666666666666,-0.16666666666666666,-0.055333333333333325,-5.566666666666667,-2.2666666666666666,-7.933333333333333,-0.2,23,"Houston Rockets, Boston Celtics",54,0,323,46,136,13,42,17,27,7,27,35,9,1,26,34,122,0,0,0,1,0,1986-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darren Daye,11.8,1.6,3.3,0.5,0.0,0.0,0.0,1.6,3.3,0.5,0.5,0.5,1.0,0.523,0.6,1.4,2.0,1.2,0.4,0.1,0.9,1.6,3.8,9.361290322580645,0.5037419354838709,0.0,0.3168064516129032,6.198387096774193,12.564516129032258,9.575806451612904,13.356451612903227,1.6725806451612903,0.49193548387096775,20.798387096774192,16.724193548387095,-0.19677419354838713,0.7870967741935485,0.5903225806451613,0.04030645161290322,-3.3145161290322585,0.01129032258064516,-3.204838709677419,-0.19677419354838713,26,"Chicago Bulls, Boston Celtics",62,2,731,101,202,0,0,34,65,37,88,76,25,7,57,100,236,0,0,0,0,1,1986-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dirk Minniefield,21.6,2.9,6.5,0.452,0.1,0.5,0.282,2.8,6.0,0.467,0.464,0.8,1.2,0.689,0.4,1.5,1.9,4.7,1.0,0.1,2.1,2.4,6.9,9.632432432432433,0.47501351351351345,0.08324324324324324,0.18013513513513513,1.9216216216216218,7.559459459459459,4.74054054054054,28.277027027027028,2.12972972972973,0.24459459459459462,23.032432432432433,17.36351351351351,-0.3297297297297297,1.462162162162162,1.1472972972972972,0.018837837837837837,-3.2324324324324323,0.07027027027027029,-3.162162162162162,-0.11486486486486487,26,"Cleveland Cavaliers, Houston Rockets",74,52,1600,218,482,11,39,62,90,29,111,348,72,7,157,174,509,0,1,0,0,0,1986-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earl Cureton,25.3,3.1,6.5,0.476,0.0,0.0,0.0,3.1,6.5,0.478,0.476,1.1,1.9,0.539,2.7,3.1,5.8,1.6,0.4,0.7,1.0,2.4,7.3,11.287179487179488,0.4918717948717949,0.004000000000000001,0.29720512820512823,11.48974358974359,14.323076923076924,12.82179487179487,8.555128205128204,0.8346153846153845,1.669230769230769,12.161538461538461,13.679487179487179,0.6448717948717948,0.7205128205128205,1.3653846153846154,0.06510256410256411,-1.455128205128205,-0.9243589743589743,-2.4243589743589746,-0.14487179487179488,29,"Chicago Bulls, Los Angeles Clippers",78,47,1973,243,510,0,2,82,152,212,240,122,33,56,80,188,568,1,0,0,0,0,1986-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Brickowski,11.1,1.4,2.8,0.508,0.0,0.1,0.0,1.4,2.7,0.525,0.508,1.1,1.6,0.714,1.1,1.5,2.6,0.4,0.5,0.1,0.7,2.7,4.0,10.2,0.5806818181818182,0.02115909090909091,0.5864772727272727,11.545454545454545,14.779545454545454,13.272727272727273,4.2681818181818185,1.8863636363636365,0.7272727272727273,17.120454545454546,15.490909090909089,0.48863636363636365,0.43636363636363634,0.925,0.10886363636363637,-4.506818181818182,0.01590909090909091,-4.4750000000000005,-0.18409090909090908,27,"Los Angeles Lakers, San Antonio Spurs",44,0,487,63,124,0,4,50,70,48,68,17,20,6,32,118,176,0,0,1,0,0,1986-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
