name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,positions_Center,positions_Point Guard,positions_Power Forward,positions_Shooting Guard,positions_Small Forward,season,MVP,DPOY,SMOY,MIP,team_1st,team_2nd,team_3rd
Will Perdue,18.9,2.1,3.7,0.549,0.0,0.0,0.0,2.1,3.7,0.551,0.549,0.9,1.7,0.526,2.2,4.5,6.8,0.7,0.3,0.6,1.0,1.7,5.0,14.8,0.557,0.003,0.451,14.6,26.1,20.7,6.1,0.8,2.4,18.6,13.7,1.5,3.2,4.7,0.151,-0.5,0.7,0.2,0.8,32,San Antonio Spurs,79,30,1491,162,295,0,1,70,133,177,358,57,22,50,81,137,394,1,0,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Perkins,20.7,2.4,5.8,0.416,1.1,2.7,0.392,1.3,3.1,0.438,0.508,1.2,1.6,0.789,0.7,2.5,3.1,1.4,0.8,0.4,0.8,2.0,7.2,13.6,0.55,0.471,0.272,3.9,14.2,9.1,10.3,2.0,1.3,10.5,16.3,2.6,2.0,4.5,0.129,0.9,0.5,1.4,1.4,36,Seattle Supersonics,81,0,1675,196,471,87,222,101,128,53,202,113,62,29,62,158,580,0,0,1,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elliot Perry,21.6,3.0,6.9,0.43,0.2,0.6,0.34,2.8,6.3,0.438,0.445,1.1,1.3,0.844,0.3,1.1,1.3,2.8,1.1,0.0,1.6,1.6,7.3,11.5,0.485,0.089,0.194,1.4,6.1,3.8,22.1,2.7,0.1,17.4,19.2,0.0,1.3,1.3,0.035,-2.3,0.0,-2.2,-0.1,28,Milwaukee Bucks,81,33,1752,241,561,17,50,92,109,21,87,230,90,2,128,129,591,0,1,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chuck Person,23.9,2.3,6.5,0.359,1.6,4.5,0.344,0.8,2.0,0.393,0.479,0.5,0.6,0.757,0.3,3.1,3.3,1.4,0.5,0.2,1.1,2.0,6.7,8.3,0.494,0.693,0.093,1.4,13.9,8.1,9.3,1.1,0.5,13.9,15.5,-0.1,2.1,2.1,0.068,-2.1,0.5,-1.6,0.1,33,San Antonio Spurs,61,11,1455,143,398,95,276,28,37,17,187,86,29,10,67,121,409,0,0,1,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wesley Person,39.0,5.4,11.7,0.46,2.3,5.5,0.43,3.0,6.2,0.486,0.56,1.6,2.1,0.776,0.8,3.6,4.4,2.3,1.6,0.6,1.3,1.3,14.7,15.1,0.583,0.467,0.178,2.5,11.3,7.0,10.3,2.2,1.2,9.6,16.5,5.3,5.0,10.3,0.155,2.4,1.4,3.8,4.7,26,Cleveland Cavaliers,82,82,3198,440,957,192,447,132,170,65,298,188,129,49,110,108,1204,0,0,0,1,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Phills,30.4,4.0,8.9,0.446,0.7,1.8,0.386,3.3,7.1,0.461,0.486,1.7,2.3,0.757,1.0,2.5,3.5,3.0,1.3,0.3,1.7,2.9,10.4,12.5,0.523,0.207,0.254,3.8,10.0,6.9,16.0,2.3,0.7,15.0,17.7,1.5,1.7,3.2,0.081,-0.9,0.4,-0.5,0.7,28,Charlotte Hornets,62,61,1887,246,552,44,114,106,140,59,157,187,81,18,108,181,642,0,0,0,1,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Piatkowski,26.0,3.8,8.5,0.452,1.6,3.9,0.409,2.3,4.6,0.489,0.546,2.1,2.5,0.824,1.0,2.5,3.5,1.3,0.8,0.2,1.2,2.0,11.3,15.5,0.591,0.456,0.299,4.5,11.0,7.7,8.2,1.5,0.5,11.1,18.4,3.8,0.1,3.9,0.108,1.8,-1.7,0.2,0.9,27,Los Angeles Clippers,67,35,1740,257,568,106,259,140,170,70,166,85,51,12,80,137,760,0,0,0,1,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricky Pierce,11.3,1.3,3.7,0.364,0.1,0.3,0.308,1.2,3.3,0.369,0.378,1.1,1.3,0.827,0.5,0.7,1.2,0.9,0.2,0.0,0.5,0.9,3.9,9.8,0.455,0.091,0.364,5.2,7.2,6.2,12.5,1.1,0.0,11.2,19.3,0.1,0.2,0.3,0.033,-1.5,-1.3,-2.8,-0.1,38,Milwaukee Bucks,39,0,442,52,143,4,13,43,52,19,26,34,9,0,21,35,151,0,0,0,1,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scottie Pippen,37.5,7.2,16.0,0.447,1.4,4.4,0.318,5.8,11.6,0.496,0.491,3.4,4.4,0.777,1.2,4.0,5.2,5.8,1.8,1.0,2.5,2.6,19.1,20.4,0.533,0.273,0.274,3.7,12.1,7.9,26.5,2.6,1.9,12.1,24.4,3.7,3.0,6.6,0.193,3.3,1.6,5.0,2.9,32,Chicago Bulls,44,44,1652,315,704,61,192,150,193,53,174,254,79,43,109,116,841,0,0,0,0,1,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Scot Pollard,9.6,1.1,2.1,0.5,0.0,0.0,0.0,1.1,2.1,0.5,0.5,0.6,0.7,0.826,1.0,1.2,2.2,0.3,0.2,0.3,0.4,1.5,2.7,13.3,0.555,0.0,0.329,12.7,15.1,13.9,4.7,1.4,2.4,13.0,13.5,0.5,0.4,0.9,0.141,-1.5,-0.4,-2.0,0.0,22,Detroit Pistons,33,0,317,35,70,0,0,19,23,34,40,9,8,10,12,48,89,1,0,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
