name,games_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
Shareef Abdur-Rahim,53,21.2,0.568,0.029,0.423,8.2,20.3,14.3,12.6,1.2,0.7,12.3,24.8,5.3,1.3,6.6,0.163,3.3,-1.0,2.3,2.1
Shareef Abdur-Rahim,32,16.5,0.522,0.042,0.36,7.9,15.5,11.8,11.5,1.8,1.8,14.8,23.3,0.9,0.6,1.5,0.098,-0.4,0.0,-0.4,0.3
Malik Allen,45,10.5,0.449,0.0,0.167,7.9,14.7,11.3,4.7,1.1,3.6,11.3,18.3,-0.1,0.8,0.7,0.051,-3.7,-0.1,-3.8,-0.3
Ray Allen,56,21.7,0.566,0.372,0.266,3.8,11.8,7.8,23.3,1.8,0.4,12.1,27.8,6.5,0.4,6.9,0.153,5.5,-1.5,4.0,3.2
Rafer Alston,82,13.7,0.509,0.568,0.175,1.2,9.1,5.1,24.9,2.4,0.6,13.5,17.3,3.1,2.8,5.9,0.11,0.2,0.7,0.9,1.9
Chris Andersen,71,14.4,0.486,0.005,0.527,9.6,23.3,16.3,5.1,1.7,7.8,16.1,12.7,0.5,1.9,2.4,0.111,-2.2,2.7,0.4,0.6
Derek Anderson,51,15.1,0.499,0.423,0.307,1.7,10.2,6.0,21.1,2.0,0.1,11.5,20.5,2.7,0.9,3.6,0.097,0.8,-0.5,0.3,1.0
Kenny Anderson,44,11.1,0.473,0.016,0.188,2.5,8.2,5.3,24.2,1.6,0.4,15.3,17.1,0.4,1.1,1.5,0.079,-2.3,0.6,-1.7,0.1
Shandon Anderson,80,10.1,0.5,0.227,0.285,3.1,9.7,6.5,10.2,1.8,0.7,15.7,17.7,0.2,1.5,1.7,0.042,-2.4,0.1,-2.4,-0.2
Carmelo Anthony,82,17.6,0.509,0.146,0.358,6.8,12.1,9.4,13.8,1.7,1.0,12.7,28.5,3.7,2.4,6.1,0.098,1.6,-1.6,0.1,1.6
Robert Archibald,1,-5.1,0.266,0.0,2.0,0.0,19.1,9.5,22.2,0.0,0.0,34.7,21.7,0.0,0.0,0.0,-0.285,-11.1,-2.0,-13.2,0.0
Robert Archibald,1,20.6,0.347,0.0,1.0,0.0,29.0,14.2,0.0,13.2,0.0,0.0,32.6,0.0,0.0,0.0,-0.08,0.1,5.5,5.6,0.0
Robert Archibald,30,5.6,0.346,0.0,0.9,9.8,13.6,11.7,7.7,2.9,0.9,17.7,10.0,-0.2,0.4,0.2,0.049,-6.7,2.3,-4.4,-0.1
Gilbert Arenas,55,16.0,0.512,0.364,0.347,2.9,11.1,6.9,25.5,2.6,0.4,17.7,27.4,1.1,1.5,2.6,0.061,1.1,-1.0,0.1,1.1
Brandon Armstrong,56,5.5,0.427,0.297,0.023,3.3,8.4,5.8,5.7,1.5,0.4,12.0,21.7,-0.8,0.5,-0.3,-0.03,-5.5,-2.0,-7.5,-0.6
Darrell Armstrong,79,15.6,0.525,0.583,0.196,3.1,8.5,5.7,24.3,3.2,0.5,16.2,19.4,2.8,2.5,5.3,0.114,1.3,1.1,2.4,2.5
Carlos Arroyo,71,16.8,0.517,0.152,0.293,2.5,9.0,5.7,34.6,1.7,0.2,15.2,23.7,3.5,1.2,4.7,0.112,2.0,-1.1,0.9,1.5
Chucky Atkins,40,10.1,0.49,0.553,0.183,0.9,6.4,3.7,21.9,1.4,0.1,15.9,18.8,0.3,1.0,1.2,0.079,-1.3,-0.3,-1.6,0.1
Chucky Atkins,24,14.0,0.53,0.446,0.217,0.4,5.9,3.2,27.3,1.7,0.1,13.9,18.2,1.2,0.3,1.5,0.091,0.7,-1.4,-0.7,0.3
Stacey Augmon,69,10.0,0.486,0.02,0.401,4.1,10.1,7.0,10.0,2.1,0.8,15.7,15.6,0.4,1.3,1.6,0.056,-3.1,0.3,-2.8,-0.3
Vin Baker,37,16.1,0.547,0.003,0.336,8.9,15.0,12.0,9.8,1.1,1.8,12.0,19.7,1.7,0.8,2.5,0.119,0.1,-1.0,-0.8,0.3
Vin Baker,17,10.5,0.476,0.02,0.455,13.5,12.4,12.9,6.4,1.2,2.2,17.4,21.3,0.0,0.3,0.3,0.043,-4.5,-1.7,-6.2,-0.3
Marcus Banks,81,11.0,0.48,0.195,0.296,2.5,8.4,5.5,21.3,3.3,0.7,20.0,20.5,-0.6,1.4,0.7,0.026,-3.4,0.4,-3.0,-0.4
Leandro Barbosa,70,12.7,0.553,0.447,0.13,1.7,7.6,4.7,18.0,3.2,0.3,19.5,18.6,0.9,1.0,1.9,0.061,-1.3,0.5,-0.8,0.5
Matt Barnes,38,10.6,0.519,0.094,0.442,8.3,15.5,11.9,10.6,2.0,0.3,21.1,12.8,0.4,0.3,0.7,0.045,-1.4,-0.7,-2.2,0.0
Dana Barros,1,17.8,0.773,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.1,0.0,0.1,0.256,-1.7,-4.7,-6.4,0.0
Brent Barry,59,18.3,0.668,0.59,0.258,1.4,11.9,6.7,30.5,2.5,0.7,22.6,15.8,4.9,0.7,5.7,0.151,3.2,0.1,3.2,2.4
Jon Barry,57,14.6,0.535,0.465,0.239,2.5,10.2,6.3,20.6,2.7,0.5,13.9,15.2,1.7,1.1,2.8,0.122,0.8,1.2,2.0,1.1
Mengke Bateer,7,7.2,0.571,0.0,0.0,14.3,8.7,11.5,4.4,1.4,0.0,22.2,10.9,0.0,0.0,0.1,0.09,-5.6,0.3,-5.3,0.0
Tony Battie,23,11.7,0.517,0.009,0.282,9.1,17.7,13.5,6.9,0.8,3.1,15.4,14.1,0.4,0.5,0.8,0.081,-2.1,-0.4,-2.4,-0.1
Tony Battie,50,12.0,0.466,0.03,0.21,8.9,18.3,13.6,6.1,1.0,3.4,11.8,15.2,0.4,1.0,1.4,0.07,-2.3,0.0,-2.3,-0.1
Shane Battier,79,15.3,0.544,0.343,0.302,5.9,11.8,8.8,8.4,2.7,2.2,8.3,15.5,3.5,2.3,5.9,0.145,1.1,1.5,2.6,2.3
