name,games_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
Jeff Adrien,23,11.3,0.457,0.0,0.352,13.0,20.7,16.8,7.3,1.0,1.9,12.6,16.1,0.1,0.1,0.2,0.051,-3.3,-2.0,-5.3,-0.2
Arron Afflalo,69,13.6,0.62,0.396,0.26,2.3,9.9,6.2,10.9,0.7,1.0,9.2,14.8,4.8,1.4,6.2,0.128,1.7,-0.3,1.4,2.0
Maurice Ager,4,10.1,0.682,0.364,0.0,0.0,7.9,3.8,6.0,1.7,0.0,26.7,22.0,0.0,0.0,0.0,-0.015,-0.9,0.2,-0.7,0.0
Alexis Ajinça,10,12.8,0.435,0.219,0.094,8.1,18.0,13.3,4.3,2.1,5.1,2.9,21.4,0.0,0.1,0.1,0.084,-3.4,0.5,-2.9,0.0
Alexis Ajinça,24,12.0,0.53,0.267,0.149,5.2,22.5,13.6,4.9,1.6,4.0,13.6,21.1,0.0,0.2,0.2,0.042,-3.8,-0.2,-4.1,-0.1
Solomon Alabi,12,2.0,0.189,0.0,0.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,-0.2,0.0,-0.2,-0.142,-6.0,-2.9,-8.9,-0.1
Cole Aldrich,18,7.0,0.537,0.0,0.267,11.1,17.5,14.4,4.0,1.8,3.6,32.3,7.9,0.0,0.2,0.2,0.066,-5.6,1.6,-4.0,-0.1
LaMarcus Aldridge,81,21.5,0.549,0.016,0.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,7.6,3.5,11.1,0.166,2.6,-0.5,2.1,3.4
Malik Allen,18,3.3,0.361,0.0,0.065,8.1,12.8,10.5,3.3,0.3,1.7,8.6,9.1,-0.1,0.2,0.2,0.046,-5.8,0.5,-5.4,-0.2
Ray Allen,80,16.4,0.615,0.387,0.224,2.3,9.0,5.8,12.7,1.4,0.4,9.8,19.8,5.8,4.2,10.0,0.166,2.3,0.6,2.9,3.6
Tony Allen,72,18.4,0.562,0.047,0.37,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,2.0,2.7,4.7,0.152,0.1,3.5,3.6,2.1
Al-Farouq Aminu,81,9.6,0.499,0.352,0.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,-0.8,1.4,0.7,0.022,-2.7,-0.1,-2.8,-0.3
Lou Amundson,46,11.5,0.452,0.0,0.475,13.0,17.4,15.2,3.5,1.0,3.6,9.8,15.7,0.2,0.5,0.6,0.044,-3.1,-1.4,-4.5,-0.4
Chris Andersen,45,19.0,0.636,0.007,0.985,12.2,22.1,17.3,4.0,1.6,6.0,11.3,13.5,1.9,1.2,3.2,0.207,1.2,1.8,3.0,0.9
David Andersen,11,13.8,0.559,0.213,0.149,6.2,21.1,13.4,7.3,1.0,1.5,13.8,17.3,0.1,0.1,0.2,0.063,0.0,-0.5,-0.5,0.1
David Andersen,29,8.9,0.484,0.176,0.203,6.5,20.9,13.6,4.5,0.5,2.2,14.8,20.2,-0.2,0.3,0.1,0.012,-4.6,-0.8,-5.4,-0.2
James Anderson,26,8.5,0.529,0.568,0.222,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,0.1,0.2,0.3,0.051,-1.1,-0.6,-1.7,0.0
Ryan Anderson,64,19.0,0.591,0.65,0.223,10.8,18.1,14.5,6.2,1.1,2.1,7.8,20.4,4.0,2.5,6.4,0.216,4.2,0.4,4.6,2.4
Carmelo Anthony,50,21.2,0.547,0.13,0.431,5.2,19.3,12.4,14.3,1.2,1.3,11.0,32.5,2.8,1.9,4.7,0.127,2.4,-1.0,1.4,1.5
Carmelo Anthony,27,22.8,0.575,0.233,0.351,4.8,16.5,10.6,15.3,1.3,1.1,9.4,31.0,2.6,0.6,3.2,0.157,4.6,-1.7,2.9,1.2
Joel Anthony,75,7.3,0.583,0.0,0.737,9.0,12.4,10.8,2.2,0.4,5.0,21.5,5.3,1.2,2.1,3.3,0.107,-3.2,1.6,-1.6,0.2
Gilbert Arenas,21,14.0,0.505,0.439,0.203,0.9,10.4,5.5,27.5,2.1,1.3,16.5,26.2,0.0,0.4,0.4,0.025,0.4,-1.2,-0.8,0.2
Gilbert Arenas,49,8.6,0.444,0.45,0.213,1.8,11.0,6.5,23.8,2.2,0.7,19.3,23.7,-1.6,1.7,0.2,0.007,-3.9,0.3,-3.6,-0.4
Trevor Ariza,75,11.3,0.487,0.356,0.259,2.8,16.4,9.5,10.0,2.5,1.0,12.2,17.7,-0.4,3.8,3.4,0.062,-1.7,1.3,-0.4,1.0
Hilton Armstrong,41,8.6,0.519,0.047,0.359,10.4,21.5,15.8,3.5,1.9,3.0,25.2,10.6,-0.1,0.4,0.4,0.043,-5.0,0.9,-4.2,-0.2
Hilton Armstrong,12,10.1,0.457,0.083,0.833,4.8,22.0,13.5,7.8,2.1,5.0,15.5,12.1,-0.1,0.1,0.1,0.054,-3.2,2.0,-1.2,0.0
Carlos Arroyo,49,9.5,0.541,0.269,0.147,1.6,7.5,4.8,15.3,0.7,0.1,14.5,13.9,0.8,0.9,1.6,0.078,-1.7,-0.5,-2.2,0.0
Carlos Arroyo,15,6.7,0.447,0.143,0.343,4.8,9.8,7.4,18.6,2.0,0.0,29.7,14.5,-0.2,0.3,0.1,0.016,-4.1,1.0,-3.0,-0.1
Darrell Arthur,80,15.7,0.534,0.01,0.215,8.5,17.0,12.7,5.4,1.7,3.2,11.4,21.6,1.5,2.2,3.8,0.113,-1.8,0.2,-1.6,0.2
Ömer Aşık,82,11.8,0.559,0.0,1.028,13.7,22.3,18.1,4.7,1.1,4.3,23.8,12.5,0.5,2.2,2.7,0.13,-3.6,1.8,-1.8,0.1
D.J. Augustin,82,15.9,0.541,0.348,0.31,1.7,8.3,4.9,31.1,1.0,0.1,12.5,21.2,4.9,1.3,6.2,0.108,1.7,-1.6,0.1,1.5
Luke Babbitt,24,1.0,0.305,0.291,0.164,5.1,22.4,13.4,6.9,0.8,1.2,11.9,22.8,-0.6,0.1,-0.4,-0.143,-8.3,-2.5,-10.8,-0.3
Renaldo Balkman,5,12.8,0.604,0.0,0.444,2.7,7.6,5.2,6.6,3.4,3.4,0.0,10.9,0.1,0.1,0.2,0.182,-3.6,2.1,-1.5,0.0
Renaldo Balkman,3,0.7,0.375,0.5,0.0,6.3,12.8,9.5,0.0,2.8,0.0,20.0,12.3,0.0,0.0,0.0,-0.05,-8.6,-1.9,-10.5,0.0
Marcus Banks,3,6.8,0.543,0.0,4.0,0.0,5.5,2.7,17.2,2.3,0.0,26.6,15.3,0.0,0.0,0.0,0.011,-6.6,0.1,-6.5,0.0
Leandro Barbosa,58,15.3,0.539,0.326,0.21,1.2,7.4,4.2,14.6,1.9,0.3,10.5,25.6,1.4,0.1,1.5,0.052,0.4,-1.7,-1.3,0.2
J.J. Barea,81,14.8,0.535,0.291,0.242,2.1,8.8,5.6,31.2,0.9,0.0,15.9,23.9,1.9,1.4,3.2,0.093,0.5,-1.0,-0.5,0.6
Andrea Bargnani,66,16.4,0.533,0.19,0.298,3.6,13.9,8.6,8.8,0.7,1.5,10.3,28.2,2.2,0.3,2.5,0.052,1.2,-2.6,-1.4,0.4
Matt Barnes,53,14.6,0.569,0.384,0.276,8.4,16.7,12.7,10.5,2.0,1.6,15.6,16.6,1.4,1.6,3.0,0.142,-0.5,1.0,0.6,0.7
Earl Barron,12,1.5,0.301,0.0,0.392,10.1,15.2,12.6,3.0,1.7,1.6,15.5,17.5,-0.5,0.1,-0.4,-0.106,-9.1,-2.4,-11.5,-0.4
Earl Barron,7,17.3,0.475,0.0,0.054,16.0,14.1,15.1,9.2,1.3,1.9,5.0,22.0,0.1,0.1,0.2,0.13,0.6,-0.6,0.0,0.0
Earl Barron,2,3.8,0.295,0.0,0.182,12.7,34.6,23.1,12.2,0.0,0.0,20.2,18.8,-0.1,0.0,-0.1,-0.093,-8.0,-2.3,-10.4,-0.1
Brandon Bass,76,15.9,0.571,0.003,0.361,8.1,16.7,12.5,5.0,0.7,2.0,11.5,19.8,3.2,3.1,6.3,0.153,-0.3,0.5,0.2,1.1
Tony Battie,38,9.5,0.489,0.031,0.146,5.2,25.1,15.1,4.8,0.7,3.0,10.5,13.9,0.0,0.6,0.6,0.075,-4.1,0.8,-3.3,-0.1
Shane Battier,59,12.9,0.577,0.551,0.186,3.6,13.9,8.8,12.1,1.5,2.7,12.5,12.3,2.3,1.7,4.0,0.105,0.8,1.1,1.9,1.8
Shane Battier,23,10.6,0.53,0.416,0.168,6.8,13.0,9.9,7.9,1.5,1.5,12.9,10.1,0.5,0.6,1.1,0.097,-0.3,0.2,-0.1,0.3
Nicolas Batum,80,14.8,0.563,0.424,0.203,5.1,12.8,8.8,8.1,1.5,1.6,8.6,17.8,4.4,2.3,6.6,0.126,1.1,0.0,1.1,2.0
Jerryd Bayless,11,7.2,0.443,0.286,0.347,1.6,10.7,6.1,29.9,0.7,0.6,23.1,23.5,-0.3,0.1,-0.2,-0.05,-4.8,-2.5,-7.3,-0.2
Jerryd Bayless,60,14.9,0.545,0.282,0.404,2.1,11.4,6.6,27.4,1.4,0.2,16.6,22.0,1.7,0.1,1.8,0.064,0.6,-1.8,-1.2,0.3
Michael Beasley,73,15.5,0.51,0.132,0.234,5.4,14.1,9.6,12.3,1.1,1.7,12.4,28.3,0.7,1.0,1.7,0.035,0.0,-1.8,-1.8,0.1
Rodrigue Beaubois,28,11.4,0.5,0.372,0.135,1.7,10.2,6.1,21.9,2.1,1.2,16.6,26.7,-0.4,0.7,0.2,0.022,-3.2,0.5,-2.7,-0.1
Marco Belinelli,80,12.1,0.56,0.469,0.181,1.1,8.4,4.7,8.0,1.1,0.3,9.4,20.0,1.9,1.5,3.4,0.084,0.2,-0.8,-0.6,0.7
Charlie Bell,19,4.7,0.357,0.488,0.093,3.9,8.1,6.0,10.1,1.8,0.4,11.8,13.1,-0.2,0.0,-0.1,-0.04,-4.2,-0.8,-5.0,-0.1
Raja Bell,68,8.2,0.528,0.413,0.218,1.8,8.4,5.1,8.3,1.4,0.5,11.0,12.6,1.2,0.5,1.7,0.04,-2.4,-0.7,-3.1,-0.6
Mike Bibby,56,11.7,0.57,0.58,0.104,1.1,9.1,5.1,18.9,1.2,0.3,12.8,15.0,1.9,1.2,3.1,0.089,-0.3,-0.3,-0.6,0.6
Mike Bibby,2,1.1,0.111,0.444,0.0,0.0,12.2,5.9,37.8,1.8,0.0,10.0,15.2,-0.1,0.0,-0.1,-0.161,-8.4,-0.7,-9.1,-0.1
Mike Bibby,22,9.0,0.601,0.698,0.127,0.4,9.1,5.0,14.1,1.0,0.4,19.4,13.3,0.4,0.6,1.0,0.084,-1.0,-0.5,-1.5,0.1
Andris Biedriņš,59,12.1,0.526,0.0,0.117,11.5,23.3,17.3,6.0,1.9,2.8,16.9,10.6,1.1,1.5,2.6,0.088,-2.5,0.2,-2.3,-0.1
Chauncey Billups,51,18.6,0.634,0.444,0.535,0.9,7.7,4.4,25.1,1.6,0.6,16.3,21.4,4.7,1.1,5.8,0.171,3.8,-0.9,2.9,2.1
Chauncey Billups,21,19.1,0.582,0.484,0.512,2.2,9.0,5.6,27.4,1.4,0.2,13.2,24.3,1.9,0.2,2.1,0.155,3.4,-1.8,1.6,0.6
DeJuan Blair,81,17.1,0.524,0.003,0.235,14.8,22.9,18.9,7.1,2.8,1.7,14.9,20.1,1.5,3.2,4.8,0.132,-1.2,0.7,-0.5,0.7
Steve Blake,79,7.5,0.5,0.631,0.098,1.4,9.5,5.6,15.0,1.3,0.1,18.6,11.3,0.3,1.5,1.8,0.055,-2.6,0.2,-2.3,-0.1
Andray Blatche,64,16.9,0.497,0.019,0.296,9.3,18.7,13.8,11.7,2.3,1.8,13.7,25.5,0.3,2.1,2.4,0.053,-0.3,-0.5,-0.9,0.6
Eric Bledsoe,81,10.8,0.499,0.239,0.274,4.4,9.8,7.1,24.2,2.6,1.1,26.3,17.9,-1.3,1.6,0.3,0.008,-2.4,0.2,-2.2,-0.1
Keith Bogans,82,9.0,0.559,0.772,0.104,1.6,10.1,5.9,10.1,1.4,0.5,11.3,11.4,1.4,2.2,3.6,0.118,-1.5,1.4,-0.2,0.7
Andrew Bogut,65,16.7,0.496,0.005,0.292,9.8,27.1,18.3,10.4,1.1,5.8,13.0,19.6,0.3,5.1,5.4,0.112,-1.0,2.4,1.3,1.9
Matt Bonner,66,13.5,0.617,0.62,0.116,5.0,14.2,9.7,6.2,0.9,1.0,6.5,13.4,3.0,1.4,4.4,0.147,1.7,0.2,1.9,1.4
Trevor Booker,65,15.3,0.582,0.004,0.399,10.2,17.0,13.5,5.2,1.4,3.0,11.3,13.9,1.8,0.8,2.6,0.119,-0.6,-0.3,-0.9,0.3
Carlos Boozer,59,18.8,0.542,0.0,0.289,8.3,26.3,17.6,14.3,1.3,0.7,13.5,26.9,1.9,3.9,5.8,0.149,0.2,0.8,1.0,1.4
Chris Bosh,77,19.4,0.569,0.024,0.446,6.4,20.0,13.6,8.9,1.1,1.4,9.8,23.5,6.1,4.3,10.3,0.177,1.4,-0.2,1.3,2.3
Earl Boykins,57,17.6,0.526,0.202,0.233,2.0,5.5,3.7,30.9,2.4,0.3,11.8,23.9,1.1,1.1,2.3,0.125,2.1,0.4,2.4,1.0
Craig Brackins,3,0.1,0.25,0.313,0.0,7.0,7.0,7.0,4.6,1.6,0.0,0.0,22.3,-0.1,0.0,-0.1,-0.154,-8.4,-4.1,-12.5,-0.1
Avery Bradley,31,2.2,0.36,0.075,0.179,3.2,9.3,6.5,11.9,3.0,0.0,18.1,26.1,-0.8,0.3,-0.5,-0.139,-10.8,-0.3,-11.1,-0.4
Elton Brand,81,18.5,0.553,0.001,0.278,9.7,18.0,13.9,7.1,1.7,2.9,8.4,19.7,5.1,4.4,9.4,0.161,0.7,0.6,1.3,2.4
Corey Brewer,56,10.3,0.471,0.227,0.391,3.6,9.0,6.2,8.6,3.3,0.8,13.1,18.4,-0.4,1.0,0.6,0.023,-3.8,1.0,-2.8,-0.3
Corey Brewer,13,17.6,0.573,0.255,0.412,9.9,8.4,9.1,13.3,3.9,1.0,14.2,22.2,0.3,0.3,0.5,0.163,-0.8,2.6,1.8,0.1
