name,games_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
Mahmoud Abdul-Rauf,31,10.5,0.405,0.114,0.059,1.2,6.7,3.9,19.7,1.6,0.1,6.4,25.1,-0.5,0.2,-0.3,-0.025,-3.2,-1.5,-4.7,-0.4
Tariq Abdul-Wahad,59,10.1,0.456,0.053,0.35,5.0,8.6,6.7,8.9,1.9,0.9,13.6,22.1,-0.8,0.6,-0.2,-0.008,-3.6,-1.2,-4.8,-0.7
Shareef Abdur-Rahim,82,21.1,0.562,0.038,0.475,8.9,13.8,11.3,13.5,1.6,1.8,13.6,28.4,6.3,0.6,6.9,0.113,3.4,-1.8,1.6,2.6
Cory Alexander,37,11.1,0.512,0.441,0.255,1.7,8.7,5.4,23.2,2.7,0.7,22.6,19.5,-0.2,0.8,0.7,0.065,-2.3,1.1,-1.2,0.1
Cory Alexander,23,17.8,0.569,0.439,0.255,1.4,13.5,7.3,32.1,3.0,0.6,18.6,19.9,1.2,0.3,1.5,0.091,2.1,-0.6,1.5,0.7
Ray Allen,82,16.2,0.539,0.28,0.297,4.7,10.4,7.5,19.3,1.8,0.3,15.0,24.3,4.7,2.3,7.0,0.102,1.9,-0.9,1.0,2.5
Derek Anderson,66,15.3,0.531,0.143,0.538,3.7,8.7,6.2,21.3,2.5,0.5,15.0,21.4,2.6,2.8,5.3,0.139,0.3,1.4,1.7,1.7
Greg Anderson,50,10.4,0.444,0.062,0.506,12.0,22.6,17.4,5.9,2.6,1.8,14.7,13.5,0.0,0.7,0.7,0.09,-4.3,0.9,-3.4,-0.1
Kenny Anderson,45,13.3,0.48,0.252,0.275,3.0,7.5,5.3,28.3,2.2,0.0,16.2,21.7,0.8,1.6,2.3,0.076,-0.2,0.0,-0.2,0.7
Kenny Anderson,16,20.4,0.531,0.184,0.333,0.8,12.0,5.9,43.4,3.5,0.0,14.7,22.1,1.0,0.4,1.4,0.171,2.1,0.2,2.4,0.4
Nick Anderson,58,19.6,0.529,0.284,0.264,6.6,14.1,10.3,14.1,2.3,1.0,9.2,25.0,3.1,2.1,5.3,0.149,4.0,0.7,4.8,2.9
Shandon Anderson,82,15.7,0.586,0.064,0.37,7.1,10.3,8.8,9.4,2.2,0.8,13.5,19.5,2.9,1.4,4.2,0.127,0.8,-0.1,0.7,1.1
Chris Anstey,41,13.2,0.455,0.069,0.32,8.5,17.4,12.8,8.7,2.4,2.8,13.5,20.5,-0.2,0.9,0.6,0.044,-3.4,0.6,-2.8,-0.1
Greg Anthony,80,16.8,0.545,0.456,0.229,2.1,10.7,6.5,32.1,3.4,0.2,19.1,21.6,1.4,1.3,2.7,0.127,1.8,0.8,2.5,1.2
B.J. Armstrong,4,6.3,0.385,0.053,0.368,7.0,5.6,6.3,16.5,3.6,0.0,24.1,21.5,-0.2,0.1,-0.1,-0.092,-6.7,0.3,-6.4,-0.1
B.J. Armstrong,62,15.2,0.573,0.175,0.222,1.9,8.8,5.4,30.0,1.7,0.0,14.1,14.9,1.8,0.5,2.3,0.141,0.5,0.1,0.6,0.5
Darrell Armstrong,48,15.7,0.509,0.179,0.324,6.1,9.2,7.6,33.4,2.6,0.3,20.5,20.2,1.2,1.3,2.5,0.096,1.0,0.2,1.1,1.0
Vincent Askew,30,6.7,0.464,0.037,0.722,5.7,11.9,8.9,12.5,2.3,0.8,33.0,10.9,-0.4,0.6,0.2,0.023,-4.1,2.0,-2.1,0.0
Keith Askins,46,5.5,0.426,0.607,0.156,5.0,12.2,8.7,6.4,2.2,1.3,16.6,10.7,-0.3,1.0,0.7,0.05,-4.2,1.9,-2.3,0.0
Stacey Augmon,71,10.3,0.457,0.019,0.419,8.7,10.2,9.5,9.8,2.1,1.6,15.5,16.3,-0.1,1.9,1.8,0.059,-2.5,0.9,-1.6,0.2
Isaac Austin,52,16.8,0.521,0.006,0.429,10.5,17.5,14.1,11.8,1.7,1.8,15.6,25.5,1.1,2.2,3.2,0.113,-0.4,-0.1,-0.5,0.5
Isaac Austin,26,15.6,0.497,0.015,0.398,10.1,18.9,14.4,17.3,1.0,1.6,18.3,24.2,0.1,0.3,0.4,0.022,-0.6,-2.1,-2.6,-0.1
Vin Baker,82,20.4,0.564,0.006,0.452,11.8,14.8,13.3,9.3,1.7,2.2,11.1,24.7,6.9,3.5,10.4,0.169,1.9,-0.9,1.0,2.2
Charles Barkley,68,21.6,0.564,0.113,0.534,12.9,28.8,20.9,16.6,1.7,0.9,13.8,21.6,6.1,2.5,8.6,0.183,3.2,-0.4,2.8,2.7
Dana Barros,80,18.6,0.583,0.404,0.236,1.8,9.6,5.3,28.4,2.5,0.3,13.7,20.0,4.4,1.3,5.6,0.16,3.5,0.0,3.5,2.3
Brent Barry,41,14.9,0.564,0.439,0.275,2.3,9.9,6.1,16.4,1.9,1.1,16.0,19.6,1.8,0.2,2.0,0.072,1.3,-0.8,0.5,0.8
Brent Barry,17,11.2,0.52,0.548,0.194,0.9,11.4,6.3,12.8,3.0,1.1,11.8,13.7,0.3,0.4,0.7,0.125,-2.1,2.6,0.5,0.2
Drew Barry,27,10.7,0.64,0.553,0.342,2.4,13.3,8.0,29.2,2.1,0.3,40.7,13.3,0.0,0.3,0.3,0.058,-2.7,-0.5,-3.2,-0.1
Jon Barry,49,13.3,0.518,0.587,0.279,2.5,8.6,5.6,19.7,3.3,0.6,15.9,16.4,0.5,0.4,0.9,0.116,-0.7,1.0,0.2,0.2
