name,games_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
Shareef Abdur-Rahim,54,18.7,0.581,0.058,0.379,7.9,16.0,12.1,10.7,1.4,1.0,13.0,22.1,3.9,1.5,5.4,0.139,1.6,-0.6,0.9,1.4
Cory Alexander,16,8.8,0.451,0.388,0.245,4.3,12.6,8.2,27.7,2.3,0.4,25.9,16.2,-0.2,0.2,0.0,0.002,-3.6,0.2,-3.4,-0.1
Malik Allen,14,13.6,0.505,0.0,0.184,11.8,12.7,12.2,7.0,0.9,3.3,11.8,17.5,0.3,0.3,0.6,0.113,-1.3,-0.3,-1.6,0.0
Malik Allen,22,14.8,0.518,0.0,0.139,6.4,13.8,9.9,4.6,1.0,3.1,6.1,18.7,0.3,0.2,0.5,0.088,-0.8,-1.2,-2.0,0.0
Ray Allen,78,20.9,0.555,0.372,0.286,3.2,10.7,6.9,18.1,1.5,0.1,9.2,28.0,9.7,1.0,10.7,0.168,5.3,-1.2,4.1,4.8
Tony Allen,77,14.7,0.542,0.08,0.393,8.0,12.3,10.2,8.2,3.1,1.4,14.5,18.9,1.2,1.6,2.7,0.103,-0.7,0.8,0.1,0.7
Rafer Alston,80,16.5,0.522,0.399,0.265,1.7,10.1,5.8,31.7,2.2,0.2,13.5,21.2,3.8,1.7,5.5,0.098,1.4,-0.5,0.9,2.0
Chris Andersen,67,18.5,0.581,0.008,0.531,10.9,23.6,17.0,9.1,0.5,5.6,12.7,16.4,2.7,1.8,4.5,0.152,0.5,1.1,1.6,1.3
Derek Anderson,47,11.7,0.503,0.386,0.223,2.4,9.2,6.0,18.9,1.6,0.2,14.0,18.5,0.7,0.6,1.3,0.052,-0.6,-0.6,-1.2,0.2
Kenny Anderson,39,10.4,0.473,0.068,0.195,3.6,10.3,6.7,21.8,2.4,0.0,18.2,15.8,0.0,0.3,0.2,0.016,-3.4,-0.3,-3.7,-0.3
Kenny Anderson,4,2.9,0.364,0.0,0.0,4.8,17.9,11.5,33.4,0.0,0.0,21.4,24.9,-0.1,0.0,-0.1,-0.125,-8.5,-3.1,-11.6,-0.1
Shandon Anderson,1,-6.5,0.0,0.5,0.0,5.8,0.0,2.9,0.0,0.0,0.0,33.3,6.8,-0.1,0.0,-0.1,-0.172,-9.8,-4.8,-14.6,-0.1
Shandon Anderson,65,9.2,0.522,0.13,0.307,4.2,14.6,9.6,8.8,1.8,0.9,16.7,11.9,0.5,1.6,2.2,0.09,-3.0,1.6,-1.4,0.2
Carmelo Anthony,75,16.7,0.526,0.128,0.466,6.3,12.5,9.4,13.1,1.3,0.9,13.1,29.2,2.3,2.6,4.9,0.09,0.4,-1.6,-1.2,0.5
Rafael Araújo,59,7.1,0.492,0.017,0.314,8.9,19.7,14.2,3.4,1.5,0.8,20.7,15.6,-0.4,0.7,0.3,0.016,-6.5,-0.8,-7.4,-1.0
Gilbert Arenas,80,21.3,0.565,0.369,0.42,2.8,10.5,6.5,22.9,2.2,0.5,11.8,27.3,9.2,2.3,11.5,0.169,4.7,-0.4,4.2,5.2
Trevor Ariza,80,13.3,0.503,0.033,0.447,7.5,13.1,10.3,9.8,2.7,1.0,13.6,17.8,0.8,1.3,2.1,0.073,-1.2,0.6,-0.6,0.5
Darrell Armstrong,14,11.1,0.422,0.44,0.132,4.4,9.6,6.9,28.5,2.0,0.4,14.3,22.1,-0.3,0.3,0.0,-0.002,-1.1,-0.2,-1.3,0.1
Darrell Armstrong,52,10.9,0.44,0.347,0.398,3.8,9.1,6.5,27.5,2.7,0.8,21.9,13.8,0.1,0.7,0.8,0.069,-1.9,1.1,-0.8,0.2
Carlos Arroyo,30,11.8,0.474,0.078,0.272,1.8,6.0,3.8,34.7,1.5,0.3,17.5,19.5,0.3,0.1,0.4,0.027,-0.6,-1.9,-2.6,-0.1
Carlos Arroyo,40,10.7,0.458,0.061,0.437,2.5,7.1,4.8,29.7,1.9,0.1,18.1,19.1,0.0,0.9,0.9,0.06,-3.7,0.3,-3.4,-0.2
Chucky Atkins,82,13.4,0.558,0.5,0.223,1.2,6.4,3.8,20.6,1.3,0.1,13.1,17.9,4.7,-0.2,4.5,0.074,0.6,-1.7,-1.1,0.6
Stacey Augmon,55,9.8,0.48,0.0,0.461,7.7,9.0,8.4,8.1,1.8,0.9,13.4,15.3,0.3,0.4,0.7,0.053,-2.9,-0.4,-3.3,-0.2
Maurice Baker,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009,-5.9,-2.0,-7.9,0.0
Maurice Baker,4,-0.2,0.0,0.0,0.0,6.7,6.2,6.4,7.6,3.0,0.0,50.0,5.1,0.0,0.0,0.0,-0.059,-8.9,1.8,-7.0,0.0
Vin Baker,24,2.7,0.37,0.026,0.395,10.4,12.4,11.4,6.9,0.6,1.6,25.2,14.2,-0.4,0.1,-0.3,-0.074,-6.6,-1.6,-8.3,-0.3
Vin Baker,3,-18.3,0.205,0.0,0.5,0.0,17.5,9.0,10.7,0.0,0.0,29.1,24.9,-0.1,0.0,-0.1,-0.344,-26.3,-2.4,-28.6,-0.1
Marcus Banks,81,12.3,0.52,0.206,0.57,3.0,9.7,6.4,20.3,2.8,0.9,18.1,17.2,0.8,1.2,1.9,0.081,-1.8,1.1,-0.8,0.3
Leandro Barbosa,63,12.8,0.575,0.393,0.195,3.3,9.2,6.4,16.7,1.4,0.4,18.5,18.9,1.2,0.6,1.8,0.081,-0.9,-0.6,-1.5,0.1
Matt Barnes,43,9.0,0.465,0.146,0.384,7.7,13.1,10.4,11.1,2.2,0.7,20.3,13.8,-0.2,0.6,0.4,0.028,-3.3,0.1,-3.2,-0.2
Andre Barrett,27,5.6,0.381,0.536,0.145,1.9,5.1,3.5,20.5,2.4,0.0,17.9,13.4,-0.3,0.4,0.1,0.017,-4.9,1.3,-3.5,-0.1
Andre Barrett,11,14.0,0.526,0.273,0.164,4.0,9.8,7.0,25.7,1.5,0.4,15.7,18.1,0.2,0.1,0.3,0.086,0.0,-1.3,-1.3,0.0
Brent Barry,81,14.0,0.58,0.61,0.294,1.9,10.8,6.4,16.3,1.2,0.8,11.0,15.6,3.5,2.7,6.1,0.168,1.1,1.3,2.4,1.9
Jon Barry,16,10.6,0.502,0.416,0.169,1.6,7.6,4.4,16.2,2.7,0.6,14.5,15.7,0.1,0.1,0.2,0.038,-2.3,0.2,-2.1,0.0
Jon Barry,53,14.0,0.588,0.457,0.199,2.1,10.7,6.5,18.5,2.0,0.4,14.3,14.2,2.0,1.7,3.7,0.144,0.9,1.6,2.5,1.4
Tony Battie,81,8.6,0.498,0.017,0.266,6.5,20.0,13.4,3.2,0.8,3.0,17.0,11.0,0.1,1.9,2.0,0.051,-3.7,0.4,-3.3,-0.6
Shane Battier,80,14.8,0.555,0.289,0.372,7.6,12.1,9.8,8.3,2.0,2.4,9.5,14.8,4.4,3.4,7.8,0.149,1.1,1.3,2.4,2.8
Lonny Baxter,4,-8.0,0.253,0.0,0.182,12.6,13.7,13.2,0.0,0.0,0.0,25.2,20.5,-0.2,0.0,-0.2,-0.266,-16.2,-5.7,-21.8,-0.2
Raja Bell,63,12.2,0.527,0.201,0.225,3.2,10.9,7.0,9.3,1.3,0.4,9.7,20.9,1.6,0.6,2.2,0.06,-1.0,-1.2,-2.2,-0.1
Jonathan Bender,7,5.8,0.422,0.125,0.15,6.5,11.4,9.0,8.6,0.6,1.6,19.0,27.1,-0.3,0.1,-0.2,-0.12,-5.4,-2.1,-7.6,-0.1
Travis Best,76,11.9,0.508,0.188,0.27,1.5,7.4,4.4,17.4,2.4,0.5,11.7,18.4,0.8,1.8,2.5,0.084,-2.4,1.0,-1.3,0.3
Mike Bibby,80,19.2,0.543,0.288,0.327,2.8,9.2,6.0,28.1,2.1,0.7,12.3,23.8,6.6,1.9,8.5,0.133,3.1,-0.5,2.6,3.6
Andris Biedriņš,30,14.8,0.57,0.013,0.513,12.7,21.1,16.7,4.9,1.6,4.4,11.2,12.4,0.7,0.6,1.2,0.154,-3.2,1.5,-1.7,0.0
Chauncey Billups,80,19.0,0.609,0.424,0.418,2.0,9.0,5.5,28.2,1.6,0.2,14.3,20.7,8.6,3.5,12.1,0.202,3.6,0.6,4.2,4.5
Steve Blake,44,8.4,0.468,0.5,0.22,3.0,9.5,6.2,16.2,1.0,0.0,16.0,16.4,0.0,0.2,0.3,0.02,-2.1,-1.9,-4.0,-0.3
Mark Blount,82,12.5,0.559,0.002,0.265,8.0,13.6,10.9,9.9,0.8,2.3,18.6,17.9,1.2,1.6,2.8,0.063,-1.4,-0.6,-2.1,0.0
Tony Bobbitt,2,11.7,0.5,0.4,0.0,0.0,28.0,14.1,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.059,-2.1,-2.0,-4.1,0.0
Keith Bogans,74,10.4,0.465,0.251,0.266,4.6,10.1,7.2,12.6,2.0,0.3,13.7,22.0,-1.0,1.1,0.1,0.002,-2.6,-1.3,-3.9,-0.9
Matt Bonner,82,14.7,0.596,0.199,0.153,7.7,13.1,10.4,5.3,1.3,0.9,7.5,15.7,3.3,0.9,4.2,0.13,0.0,-0.6,-0.6,0.5
Calvin Booth,34,11.7,0.477,0.013,0.203,7.0,17.6,12.4,2.4,2.2,4.5,8.5,16.1,0.1,0.5,0.6,0.106,-3.9,2.3,-1.7,0.0
Calvin Booth,17,12.2,0.583,0.0,0.552,8.0,22.6,15.2,3.2,1.1,4.7,18.2,10.6,0.2,0.2,0.4,0.096,-2.0,1.4,-0.6,0.1
Carlos Boozer,51,19.2,0.56,0.001,0.387,9.6,22.7,16.0,15.9,1.3,1.1,14.5,24.6,2.7,1.4,4.1,0.111,2.1,-0.7,1.4,1.5
Curtis Borchardt,67,9.4,0.492,0.0,0.413,12.1,20.5,16.2,9.1,0.6,3.2,20.4,13.7,0.2,0.6,0.8,0.046,-3.8,-0.2,-4.0,-0.4
Chris Bosh,81,17.5,0.547,0.01,0.539,7.1,20.0,13.5,8.6,1.3,2.7,13.1,21.7,3.9,2.9,6.8,0.108,0.1,-0.3,-0.2,1.4
Bruce Bowen,82,9.5,0.521,0.423,0.187,2.2,10.5,6.3,7.5,1.1,1.1,8.1,12.5,2.1,4.0,6.1,0.111,-1.4,1.2,-0.1,1.2
Ryan Bowen,66,7.7,0.462,0.054,0.189,4.2,10.4,7.3,4.7,2.1,0.6,5.5,9.9,0.2,0.9,1.1,0.087,-3.5,2.1,-1.4,0.1
Earl Boykins,82,17.1,0.53,0.201,0.368,2.0,5.6,3.8,28.1,1.9,0.4,11.2,22.2,4.2,1.7,6.0,0.133,1.9,-0.7,1.2,1.7
Michael Bradley,8,8.3,0.429,0.0,0.0,6.2,22.1,14.3,5.1,0.9,2.6,12.5,6.3,0.0,0.1,0.1,0.061,-2.0,1.2,-0.8,0.0
Michael Bradley,8,12.1,0.615,0.0,0.5,11.6,14.0,12.8,6.5,0.0,0.0,17.0,16.3,0.1,0.0,0.1,0.076,-2.5,-2.2,-4.7,0.0
Michael Bradley,2,22.0,0.765,0.2,0.4,0.0,21.3,10.5,12.7,0.0,0.0,14.5,19.0,0.0,0.0,0.1,0.174,2.3,0.0,2.4,0.0
Shawn Bradley,77,11.0,0.494,0.0,0.339,9.0,17.8,13.5,2.5,1.5,5.3,13.4,12.5,0.4,1.5,1.9,0.102,-3.6,1.6,-2.0,0.0
Torraye Braggs,7,11.6,0.429,0.0,0.0,34.9,23.7,29.2,0.0,0.0,0.0,22.2,17.7,0.0,0.0,0.0,0.073,-4.4,-6.3,-10.7,0.0
Elton Brand,81,22.4,0.554,0.002,0.387,12.2,18.4,15.4,13.3,1.1,4.3,11.1,25.4,6.9,3.7,10.6,0.169,3.4,0.2,3.6,4.2
Jamison Brewer,18,4.0,0.363,0.405,0.351,3.8,10.2,7.0,9.4,2.3,0.4,23.3,13.7,-0.4,0.1,-0.3,-0.074,-4.5,0.4,-4.2,-0.1
Primož Brezec,72,16.1,0.55,0.0,0.291,10.8,16.2,13.3,6.6,0.8,1.8,11.1,18.7,3.5,1.4,4.9,0.104,0.5,-1.5,-1.0,0.6
Damone Brown,14,7.4,0.409,0.177,0.145,7.1,13.8,10.4,15.4,0.3,2.9,18.5,23.3,-0.3,0.1,-0.2,-0.073,-4.1,-2.1,-6.2,-0.2
Devin Brown,67,14.6,0.53,0.296,0.318,3.5,13.1,8.3,12.4,1.7,0.7,10.2,19.5,1.6,2.1,3.7,0.145,0.2,1.1,1.3,1.0
Kedrick Brown,8,9.7,0.577,0.5,1.667,2.0,20.7,11.2,10.3,2.8,1.4,32.5,12.4,0.0,0.1,0.1,0.06,-3.8,2.2,-1.6,0.0
Kwame Brown,42,10.4,0.497,0.0,0.544,8.6,17.2,12.8,6.8,1.4,1.2,18.6,17.4,-0.2,0.8,0.6,0.032,-3.4,-0.8,-4.2,-0.5
P.J. Brown,82,15.5,0.512,0.0,0.321,10.7,20.6,15.5,11.2,1.4,1.4,10.5,15.9,4.0,2.9,6.9,0.118,0.1,0.1,0.2,1.5
Tierre Brown,76,9.5,0.437,0.207,0.216,2.2,7.6,4.9,23.6,1.6,0.1,16.3,19.3,-0.5,0.0,-0.5,-0.021,-2.6,-2.0,-4.7,-0.7
Rick Brunson,80,11.6,0.46,0.294,0.167,1.5,9.8,5.8,32.7,2.3,0.3,20.8,14.3,0.3,1.6,1.9,0.048,-0.8,0.0,-0.8,0.6
Kobe Bryant,66,23.3,0.563,0.292,0.502,4.0,12.4,8.2,28.5,1.7,1.4,14.3,31.7,7.1,1.0,8.1,0.145,5.7,-0.8,5.0,4.7
Greg Buckner,70,13.7,0.638,0.399,0.267,5.0,10.7,7.9,13.2,2.5,0.3,12.6,11.4,3.0,1.8,4.8,0.153,-0.2,1.7,1.4,1.3
Rodney Buford,64,9.5,0.437,0.221,0.092,3.0,14.5,8.7,8.7,1.6,0.3,6.4,19.4,-0.8,1.6,0.8,0.03,-2.9,-0.6,-3.5,-0.5
Antonio Burks,24,12.8,0.534,0.183,0.317,0.5,6.0,3.3,21.9,3.2,0.4,14.9,17.3,0.2,0.3,0.5,0.103,-2.5,2.3,-0.2,0.1
Caron Butler,77,15.8,0.528,0.126,0.322,6.0,12.4,9.2,9.3,2.1,0.6,9.9,20.7,4.1,1.2,5.3,0.093,0.0,-0.7,-0.7,0.9
Jackie Butler,3,90.3,1.025,0.0,0.5,0.0,0.0,0.0,0.0,10.6,0.0,17.0,53.7,0.1,0.0,0.1,1.333,37.1,18.6,55.7,0.1
Rasual Butler,65,10.3,0.488,0.374,0.117,1.5,12.7,7.3,8.1,0.8,1.8,7.9,18.1,0.3,1.4,1.7,0.068,-1.3,-0.2,-1.5,0.1
Žarko Čabarkapa,3,32.4,0.605,0.0,0.143,20.5,9.3,14.6,0.0,0.0,0.0,0.0,29.5,0.1,0.0,0.1,0.271,10.5,-3.9,6.6,0.0
Žarko Čabarkapa,37,16.5,0.578,0.212,0.376,7.4,16.2,11.6,9.2,1.1,0.8,13.1,21.7,0.8,0.4,1.2,0.124,0.1,-0.6,-0.5,0.2
Marcus Camby,66,18.0,0.505,0.007,0.288,7.5,30.1,18.9,12.0,1.6,7.4,13.2,17.2,1.2,4.5,5.8,0.138,-0.2,3.3,3.1,2.6
Elden Campbell,10,-1.4,0.114,0.0,0.571,7.1,19.5,13.2,8.7,0.0,1.6,10.2,9.2,-0.1,0.1,-0.1,-0.064,-9.6,-1.3,-10.9,-0.1
Elden Campbell,30,8.4,0.426,0.017,0.44,8.7,19.5,14.1,7.8,1.3,1.3,16.8,23.0,-0.5,0.6,0.1,0.013,-6.0,-0.4,-6.4,-0.4
Brian Cardinal,58,14.0,0.51,0.289,0.419,5.3,13.5,9.4,13.3,3.3,1.0,14.0,19.6,1.1,2.4,3.5,0.116,-1.2,2.1,0.9,1.0
Geno Carlisle,6,18.1,0.709,0.0,2.0,7.5,0.0,3.6,10.3,0.0,0.0,15.1,19.1,0.1,0.0,0.1,0.173,2.9,-2.3,0.6,0.0
Matt Carroll,25,14.7,0.517,0.217,0.461,3.3,13.2,8.0,6.8,2.1,0.4,10.4,24.9,0.4,0.3,0.7,0.078,-0.9,-1.4,-2.3,0.0
Anthony Carter,66,11.3,0.454,0.096,0.288,1.9,8.4,5.3,32.2,2.5,1.7,23.7,16.4,-0.3,0.8,0.5,0.034,-2.8,1.0,-1.8,0.0
Vince Carter,20,17.0,0.475,0.195,0.238,5.1,7.2,6.1,18.5,2.1,1.8,6.2,26.7,0.5,0.4,0.9,0.068,1.9,0.4,2.3,0.7
Vince Carter,57,24.5,0.556,0.205,0.313,4.2,14.1,9.1,27.6,2.0,1.2,9.4,32.9,5.4,3.1,8.5,0.184,6.2,0.8,7.0,5.1
Sam Cassell,59,18.6,0.529,0.15,0.226,2.0,9.5,5.9,35.2,1.3,0.7,12.6,26.4,2.8,1.0,3.8,0.119,1.9,-0.7,1.2,1.2
Kelvin Cato,62,14.9,0.6,0.0,0.481,7.6,22.7,15.3,3.9,1.8,3.8,15.1,12.1,2.1,2.2,4.3,0.137,-0.8,1.5,0.7,1.1
Lionel Chalmers,36,6.5,0.409,0.392,0.192,1.1,7.3,4.3,18.6,1.6,0.0,15.0,17.0,-0.5,0.2,-0.2,-0.025,-3.9,-1.4,-5.3,-0.4
Tyson Chandler,80,16.4,0.565,0.005,0.802,13.4,26.1,19.8,4.8,1.6,4.8,17.2,14.0,2.8,5.5,8.3,0.183,-0.8,2.7,1.9,2.1
Calbert Cheaney,55,7.8,0.444,0.011,0.14,3.5,11.0,7.1,10.5,0.9,1.1,11.1,14.7,-0.3,0.5,0.3,0.013,-3.9,-0.1,-4.0,-0.5
Josh Childress,80,15.2,0.543,0.087,0.36,9.1,14.8,11.8,10.4,1.6,1.1,12.5,16.0,3.7,0.9,4.6,0.093,0.4,-1.0,-0.6,0.8
Doug Christie,31,11.0,0.494,0.191,0.275,3.3,10.5,6.9,21.2,2.2,0.9,22.9,13.2,0.2,0.7,1.0,0.046,-1.6,1.1,-0.6,0.4
Doug Christie,21,7.9,0.432,0.18,0.172,1.9,9.4,5.7,12.8,3.5,0.7,20.7,14.3,-0.6,0.6,0.0,-0.001,-4.6,2.0,-2.6,-0.1
Speedy Claxton,46,16.4,0.508,0.104,0.425,2.2,9.2,5.5,30.9,3.0,0.3,13.4,20.2,2.1,1.5,3.5,0.113,-0.8,1.1,0.3,0.9
Speedy Claxton,16,13.4,0.422,0.082,0.373,1.6,8.8,5.0,42.3,3.3,0.4,17.4,19.7,-0.2,0.4,0.2,0.027,-1.3,1.0,-0.4,0.1
Mateen Cleaves,14,9.1,0.412,0.143,0.286,3.8,7.5,5.6,16.5,1.7,0.0,11.3,12.6,0.0,0.0,0.0,0.029,-2.1,-2.0,-4.1,0.0
Derrick Coleman,5,1.2,0.294,0.143,0.214,7.1,27.9,17.6,0.0,0.0,0.0,11.5,16.3,-0.1,0.1,-0.1,-0.049,-6.7,-3.7,-10.5,-0.1
Jason Collier,70,11.0,0.494,0.037,0.189,9.9,13.0,11.4,3.4,0.8,1.1,13.4,22.4,-0.1,0.1,0.0,0.0,-3.6,-3.1,-6.7,-1.1
