name,games_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
Precious Achiuwa,61,14.2,0.55,0.004,0.482,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,0.3,1.0,1.3,0.085,-3.6,-0.5,-4.1,-0.4
Jaylen Adams,7,-6.5,0.125,0.25,0.0,0.0,16.9,8.8,12.7,0.0,0.0,0.0,18.6,-0.1,0.0,-0.1,-0.252,-15.1,-4.6,-19.8,-0.1
Steven Adams,58,15.1,0.596,0.01,0.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,2.3,1.7,4.0,0.119,-0.4,0.1,-0.3,0.7
Bam Adebayo,64,22.7,0.626,0.01,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15.0,23.7,5.6,3.2,8.8,0.197,2.9,2.0,4.9,3.7
LaMarcus Aldridge,21,15.1,0.545,0.302,0.149,3.3,15.4,9.2,10.2,0.7,2.8,7.0,22.7,0.3,0.5,0.8,0.067,-0.2,-0.7,-0.9,0.2
LaMarcus Aldridge,5,18.2,0.611,0.104,0.208,1.8,17.8,10.2,14.3,1.1,7.4,11.8,19.9,0.2,0.2,0.4,0.135,0.1,2.1,2.2,0.1
Ty-Shon Alexander,15,4.2,0.349,0.75,0.167,4.9,19.0,12.1,15.4,0.0,1.9,18.9,15.0,-0.1,0.0,0.0,-0.048,-4.8,-1.7,-6.5,-0.1
Nickeil Alexander-Walker,46,12.5,0.522,0.478,0.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,-0.3,1.0,0.7,0.035,-1.4,0.1,-1.3,0.2
Grayson Allen,50,12.8,0.586,0.662,0.22,1.6,12.0,6.7,11.5,1.7,0.6,9.6,16.8,1.5,1.2,2.7,0.101,-0.2,0.1,-0.2,0.6
Jarrett Allen,12,21.5,0.73,0.0,0.938,13.8,28.6,21.6,8.3,1.1,5.2,19.3,15.5,1.0,0.5,1.4,0.216,1.7,0.9,2.6,0.4
Jarrett Allen,51,19.8,0.649,0.046,0.549,11.2,25.9,18.3,8.8,0.8,4.1,13.1,16.8,3.4,1.6,5.0,0.155,1.2,-0.4,0.8,1.1
Al-Farouq Aminu,17,9.9,0.482,0.348,0.191,5.5,20.8,12.9,11.3,2.3,2.2,20.6,14.3,-0.3,0.4,0.1,0.014,-4.4,1.3,-3.1,-0.1
Al-Farouq Aminu,6,3.0,0.369,0.6,0.5,3.3,27.8,15.7,3.5,1.4,0.0,19.7,9.8,-0.1,0.1,0.0,-0.013,-7.5,0.2,-7.3,-0.1
Kyle Anderson,69,17.2,0.578,0.397,0.28,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,2.9,2.7,5.6,0.143,1.4,1.9,3.3,2.5
Giannis Antetokounmpo,61,29.2,0.633,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,6.9,3.3,10.2,0.244,6.2,2.8,9.0,5.6
Kostas Antetokounmpo,15,0.0,0.382,0.0,1.3,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.7,-0.3,0.1,-0.2,-0.174,-13.3,0.8,-12.6,-0.1
Thanasis Antetokounmpo,57,10.3,0.523,0.212,0.358,10.7,12.9,11.8,10.3,1.9,1.6,21.3,15.3,0.0,0.6,0.7,0.057,-3.7,0.2,-3.5,-0.2
Carmelo Anthony,69,14.6,0.547,0.418,0.198,2.0,11.8,6.8,9.2,1.3,2.0,6.7,23.1,1.7,0.8,2.6,0.073,0.2,-1.3,-1.1,0.4
Cole Anthony,47,12.1,0.496,0.312,0.237,3.0,15.4,9.0,24.2,1.1,1.3,14.8,24.3,-0.9,0.9,0.0,-0.001,-1.9,-1.4,-3.3,-0.4
OG Anunoby,43,15.4,0.605,0.503,0.197,4.0,14.6,9.1,10.1,2.2,2.2,11.7,19.3,1.5,1.6,3.1,0.104,0.8,0.4,1.2,1.2
