name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,positions_Center,positions_Point Guard,positions_Power Forward,positions_Shooting Guard,positions_Small Forward,wins,losses,win_loss_pct,team_pts_per_g,opp_pts_per_g,team_simple_rating_system,season
Alaa Abdelnaby,6.7,1.3,2.7,0.474,0.0,0.0,0.0,1.3,2.7,0.474,0.474,0.6,1.0,0.568,0.6,1.4,2.1,0.3,0.1,0.3,0.5,0.9,3.1,13.1,0.499,0.0,0.379,10.4,23.4,17.0,5.8,0.7,2.5,14.0,22.1,0.0,0.5,0.5,0.079,-3.4,-1.2,-4.6,-0.2,22,Portland Trail Blazers,43,0,290,55,116,0,0,25,44,27,62,12,4,12,22,39,135,0,0,1,0,0,63,19,.768,114.7,106.0,8.47,1990-91
Danny Ainge,21.4,4.2,8.9,0.472,1.3,3.1,0.406,2.9,5.8,0.508,0.543,1.4,1.7,0.826,0.6,2.0,2.6,3.6,0.8,0.2,1.3,2.4,11.1,17.0,0.574,0.352,0.193,2.9,10.2,6.6,23.8,1.8,0.5,11.4,20.8,4.1,2.1,6.2,0.175,2.8,0.9,3.7,2.5,31,Portland Trail Blazers,80,0,1710,337,714,102,251,114,138,45,160,285,63,13,100,195,890,0,0,0,1,0,63,19,.768,114.7,106.0,8.47,1990-91
Mark Bryant,14.7,1.9,3.8,0.488,0.0,0.0,0.0,1.9,3.8,0.49,0.488,1.4,1.9,0.733,1.2,2.4,3.6,0.5,0.3,0.2,0.6,2.3,5.1,11.2,0.55,0.005,0.498,9.3,17.5,13.5,4.5,0.9,0.9,11.8,14.6,1.0,1.1,2.1,0.129,-2.2,-0.2,-2.4,-0.1,25,Portland Trail Blazers,53,0,781,99,203,0,1,74,101,65,125,27,15,12,33,120,272,0,0,1,0,0,63,19,.768,114.7,106.0,8.47,1990-91
Wayne Cooper,11.1,0.9,2.2,0.393,0.0,0.0,0.0,0.9,2.1,0.396,0.393,0.5,0.6,0.786,0.8,2.0,2.8,0.3,0.1,0.9,0.3,1.8,2.2,8.3,0.45,0.007,0.29,8.1,19.6,13.9,3.6,0.4,5.0,11.9,10.1,0.2,1.2,1.4,0.092,-4.1,1.5,-2.6,-0.1,34,Portland Trail Blazers,67,1,746,57,145,0,1,33,42,54,134,22,7,61,22,120,147,1,0,0,0,0,63,19,.768,114.7,106.0,8.47,1990-91
Clyde Drexler,34.8,7.9,16.3,0.482,0.7,2.3,0.319,7.1,14.0,0.509,0.505,5.1,6.4,0.794,2.6,4.1,6.7,6.0,1.8,0.7,2.8,2.8,21.5,22.1,0.563,0.143,0.392,8.3,12.8,10.6,25.7,2.4,1.3,12.9,25.7,8.0,4.5,12.4,0.209,5.2,1.7,6.8,6.4,28,Portland Trail Blazers,82,82,2852,645,1338,61,191,416,524,212,334,493,144,60,232,226,1767,0,0,0,1,0,63,19,.768,114.7,106.0,8.47,1990-91
Kevin Duckworth,31.0,6.4,13.4,0.481,0.0,0.0,0.0,6.4,13.4,0.482,0.481,3.0,3.8,0.772,2.2,4.4,6.6,1.1,0.4,0.4,2.3,3.1,15.8,12.7,0.525,0.002,0.287,7.9,15.4,11.7,5.1,0.6,0.8,13.2,22.8,1.3,3.0,4.3,0.082,-1.9,-1.4,-3.3,-0.8,26,Portland Trail Blazers,81,81,2511,521,1084,0,2,240,311,177,354,89,33,34,186,251,1282,1,0,0,0,0,63,19,.768,114.7,106.0,8.47,1990-91
Jerome Kersey,32.3,5.8,12.2,0.478,0.1,0.2,0.308,5.8,12.0,0.481,0.48,3.2,4.5,0.709,2.3,4.3,6.6,3.1,1.4,1.0,2.0,3.4,14.8,15.6,0.526,0.015,0.369,8.0,14.5,11.3,13.4,2.0,2.0,12.6,20.3,2.9,3.8,6.7,0.136,0.4,1.4,1.9,2.3,28,Portland Trail Blazers,73,72,2359,424,887,4,13,232,327,169,312,227,101,76,149,251,1084,0,0,0,0,1,63,19,.768,114.7,106.0,8.47,1990-91
Terry Porter,32.9,6.0,11.7,0.515,1.6,3.9,0.415,4.4,7.8,0.564,0.584,3.4,4.2,0.823,0.6,2.8,3.5,8.0,2.0,0.1,2.3,1.9,17.0,21.7,0.632,0.332,0.359,2.2,9.4,5.9,34.0,2.8,0.3,14.7,19.6,9.2,3.9,13.0,0.235,5.6,1.8,7.4,6.2,27,Portland Trail Blazers,81,81,2665,486,944,130,313,279,339,52,230,649,158,12,189,151,1381,0,1,0,0,0,63,19,.768,114.7,106.0,8.47,1990-91
Clifford Robinson,23.7,4.5,9.8,0.463,0.1,0.2,0.316,4.5,9.6,0.466,0.467,2.5,3.8,0.653,1.5,2.8,4.3,1.8,1.0,0.9,1.6,3.2,11.7,14.1,0.507,0.024,0.39,7.1,12.7,10.0,11.0,1.9,2.4,12.3,22.6,1.2,3.0,4.2,0.104,-1.3,0.9,-0.4,0.8,24,Portland Trail Blazers,82,11,1940,373,806,6,19,205,314,123,226,151,78,76,133,263,957,0,0,1,0,0,63,19,.768,114.7,106.0,8.47,1990-91
Buck Williams,32.3,4.5,7.4,0.602,0.0,0.0,0.0,4.5,7.4,0.602,0.602,2.7,3.9,0.705,2.8,6.6,9.4,1.2,0.6,0.6,1.7,3.1,11.7,14.3,0.639,0.0,0.518,9.8,22.2,16.1,4.9,0.9,1.1,15.8,13.7,4.6,3.9,8.5,0.158,0.2,0.3,0.5,1.6,30,Portland Trail Blazers,80,80,2582,358,595,0,0,217,308,227,524,97,47,47,137,247,933,0,0,1,0,0,63,19,.768,114.7,106.0,8.47,1990-91
Danny Young,12.0,1.4,3.6,0.38,0.5,1.4,0.346,0.9,2.2,0.401,0.446,0.5,0.6,0.911,0.3,0.7,1.0,1.9,0.7,0.1,0.7,0.7,3.8,11.7,0.487,0.384,0.166,2.7,6.5,4.6,20.1,2.7,0.5,14.7,15.4,0.6,1.2,1.8,0.096,-0.6,1.1,0.5,0.6,28,Portland Trail Blazers,75,1,897,103,271,36,104,41,45,22,53,141,50,7,50,49,283,0,1,0,0,0,63,19,.768,114.7,106.0,8.47,1990-91
Mahmoud Abdul-Rauf,22.5,6.2,15.1,0.413,0.4,1.5,0.24,5.9,13.6,0.432,0.425,1.3,1.5,0.857,0.5,1.3,1.8,3.1,0.8,0.1,1.6,2.2,14.1,12.2,0.448,0.099,0.097,1.9,6.0,3.8,19.2,1.5,0.1,9.5,27.2,-0.7,-0.3,-1.0,-0.031,-2.0,-3.0,-5.0,-1.1,21,Denver Nuggets,67,19,1505,417,1009,24,100,84,98,34,87,206,55,4,110,149,942,0,1,0,0,0,20,62,.244,119.9,130.8,-10.31,1990-91
Michael Adams,35.5,8.5,21.5,0.394,2.5,8.5,0.296,6.0,13.0,0.459,0.453,7.0,8.0,0.879,0.9,3.0,3.9,10.5,2.2,0.1,3.6,2.5,26.5,22.3,0.53,0.397,0.372,2.1,8.8,5.2,39.4,2.6,0.1,12.7,28.5,5.8,0.4,6.3,0.128,6.0,-0.7,5.3,4.3,28,Denver Nuggets,66,66,2346,560,1421,167,564,465,529,58,198,693,147,6,240,162,1752,0,1,0,0,0,20,62,.244,119.9,130.8,-10.31,1990-91
Anthony Cook,19.3,2.0,4.9,0.417,0.0,0.1,0.0,2.0,4.8,0.421,0.417,1.2,2.2,0.55,2.3,3.3,5.6,0.4,0.6,1.2,0.9,1.7,5.3,10.7,0.452,0.011,0.456,10.3,17.9,13.7,2.6,1.3,3.4,12.8,12.3,0.0,0.5,0.5,0.022,-2.8,-1.2,-3.9,-0.6,23,Denver Nuggets,58,25,1121,118,283,0,3,71,129,134,192,26,35,72,50,100,307,0,0,1,0,0,20,62,.244,119.9,130.8,-10.31,1990-91
T.R. Dunn,12.8,1.2,2.8,0.447,0.1,0.2,0.25,1.2,2.5,0.465,0.457,0.5,0.6,0.9,1.2,1.3,2.5,1.4,0.7,0.1,0.4,1.8,3.1,10.7,0.506,0.085,0.213,7.9,10.6,9.1,12.4,2.3,0.2,12.0,9.5,0.3,0.0,0.3,0.066,-2.5,-0.3,-2.8,0.0,35,Denver Nuggets,17,3,217,21,47,1,4,9,10,20,22,24,12,1,7,30,52,0,0,0,1,0,20,62,.244,119.9,130.8,-10.31,1990-91
Corey Gaines,22.6,2.8,7.0,0.4,0.5,2.1,0.238,2.3,4.9,0.469,0.436,2.2,2.6,0.846,0.4,1.0,1.4,9.1,1.0,0.2,2.3,2.5,8.3,15.2,0.51,0.3,0.371,1.5,4.6,2.9,46.6,1.9,0.5,22.0,16.3,0.3,0.0,0.3,0.061,0.9,-2.1,-1.2,0.0,25,Denver Nuggets,10,2,226,28,70,5,21,22,26,4,10,91,10,2,23,25,83,0,0,0,1,0,20,62,.244,119.9,130.8,-10.31,1990-91
Jerome Lane,22.3,3.3,7.4,0.438,0.0,0.1,0.25,3.2,7.4,0.44,0.439,0.9,2.3,0.411,4.5,4.8,9.3,2.0,0.8,0.2,1.7,3.1,7.5,12.8,0.443,0.009,0.306,17.4,22.5,19.7,10.6,1.6,0.5,16.7,16.0,0.1,0.5,0.6,0.021,-1.6,-2.4,-4.0,-0.7,24,Denver Nuggets,62,25,1383,202,461,1,4,58,141,280,298,123,51,14,105,192,463,0,0,1,0,0,20,62,.244,119.9,130.8,-10.31,1990-91
Tim Legler,14.8,2.5,7.2,0.347,0.3,1.2,0.25,2.2,6.0,0.367,0.368,0.5,0.6,0.833,0.8,1.0,1.8,1.2,0.2,0.0,0.4,2.0,5.8,6.4,0.389,0.167,0.083,4.7,7.1,5.7,9.9,0.6,0.0,5.1,18.7,-0.1,-0.1,-0.1,-0.046,-4.7,-3.8,-8.5,-0.2,24,Denver Nuggets,10,0,148,25,72,3,12,5,6,8,10,12,2,0,4,20,58,0,0,0,1,0,20,62,.244,119.9,130.8,-10.31,1990-91
