name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,positions_Center,positions_Point Guard,positions_Power Forward,positions_Shooting Guard,positions_Small Forward,wins,losses,win_loss_pct,team_pts_per_g,opp_pts_per_g,team_simple_rating_system,season
Kareem Abdul-Jabbar,33.3,9.6,16.9,0.564,0.0,0.0,0.0,9.6,16.9,0.565,0.564,4.3,5.6,0.765,1.7,4.4,6.1,3.5,0.8,1.6,2.6,3.1,23.4,22.7,0.603,0.001,0.328,6.0,14.2,10.3,15.7,1.2,2.7,11.7,26.6,7.6,3.2,10.8,0.197,4.4,1.0,5.4,4.9,38,Los Angeles Lakers,79,79,2629,755,1338,0,2,336,439,133,345,280,67,130,203,248,1846,1,0,0,0,0,62,20,.756,117.3,109.5,6.84,1985-86
Michael Cooper,27.7,3.3,7.4,0.452,0.8,2.0,0.387,2.6,5.4,0.476,0.504,1.8,2.1,0.865,0.5,2.4,3.0,5.7,1.1,0.5,1.8,2.9,9.2,13.5,0.557,0.269,0.281,2.3,9.6,6.1,24.3,1.8,1.0,18.2,14.8,3.4,2.4,5.8,0.123,0.7,1.1,1.8,2.2,29,Los Angeles Lakers,82,15,2269,274,606,63,163,147,170,44,200,466,89,43,151,238,758,0,0,0,1,0,62,20,.756,117.3,109.5,6.84,1985-86
A.C. Green,18.8,2.5,4.7,0.539,0.0,0.1,0.167,2.5,4.7,0.545,0.54,1.2,2.0,0.611,2.0,2.7,4.6,0.7,0.6,0.6,1.2,2.8,6.4,11.8,0.564,0.015,0.43,12.4,15.5,14.0,4.2,1.5,1.7,17.7,14.7,1.4,2.0,3.3,0.103,-1.6,0.1,-1.6,0.2,22,Los Angeles Lakers,82,1,1542,209,388,1,6,102,167,160,221,54,49,49,99,229,521,0,0,1,0,0,62,20,.756,117.3,109.5,6.84,1985-86
Pétur Guðmundsson,16.0,2.5,4.6,0.541,0.0,0.0,0.0,2.5,4.6,0.541,0.541,2.3,3.4,0.667,2.1,2.6,4.8,0.4,0.4,0.5,1.4,3.1,7.3,13.9,0.593,0.0,0.73,15.8,17.8,16.9,2.9,1.1,1.7,18.4,18.9,0.2,0.2,0.3,0.13,-2.5,-0.8,-3.4,0.0,27,Los Angeles Lakers,8,2,128,20,37,0,0,18,27,17,21,3,3,4,11,25,58,1,0,0,0,0,62,20,.756,117.3,109.5,6.84,1985-86
Jerome Henderson,3.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,3.0,0.667,0.667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,37.7,0.667,0.0,0.0,0.0,36.1,18.9,0.0,0.0,0.0,0.0,40.3,0.0,0.0,0.0,0.349,3.4,0.2,3.6,0.0,26,Los Angeles Lakers,1,0,3,2,3,0,0,0,0,0,1,0,0,0,0,1,4,1,0,0,0,0,62,20,.756,117.3,109.5,6.84,1985-86
Magic Johnson,35.8,6.7,12.8,0.526,0.1,0.6,0.233,6.6,12.2,0.541,0.532,5.3,6.0,0.871,1.2,4.7,5.9,12.6,1.6,0.2,3.8,1.8,18.8,24.0,0.61,0.047,0.473,3.9,14.3,9.4,45.1,2.0,0.3,19.8,21.6,9.0,3.1,12.1,0.226,6.0,0.7,6.7,5.7,26,Los Angeles Lakers,72,70,2578,483,918,10,43,378,434,85,341,907,113,16,273,133,1354,0,1,0,0,0,62,20,.756,117.3,109.5,6.84,1985-86
Mitch Kupchak,14.2,2.3,4.7,0.482,0.0,0.0,0.0,2.3,4.7,0.484,0.482,1.5,2.0,0.75,1.3,2.2,3.5,0.3,0.2,0.1,1.2,1.9,6.0,10.7,0.542,0.004,0.436,10.5,16.9,13.8,2.7,0.7,0.5,17.3,19.1,0.3,0.8,1.1,0.069,-3.0,-1.8,-4.7,-0.5,31,Los Angeles Lakers,55,0,783,124,257,0,1,84,112,69,122,17,12,7,64,102,332,0,0,1,0,0,62,20,.756,117.3,109.5,6.84,1985-86
Ronnie Lester,8.2,1.0,1.9,0.5,0.0,0.1,0.0,1.0,1.8,0.531,0.5,0.6,0.7,0.789,0.0,0.4,0.4,2.0,0.3,0.1,1.6,1.0,2.5,6.7,0.555,0.058,0.365,0.0,4.9,2.6,28.6,1.9,0.7,41.0,18.6,-0.4,0.2,-0.2,-0.05,-4.2,-2.1,-6.2,-0.2,27,Los Angeles Lakers,27,0,222,26,52,0,3,15,19,0,10,54,9,3,42,27,67,0,1,0,0,0,62,20,.756,117.3,109.5,6.84,1985-86
Maurice Lucas,22.7,3.9,8.5,0.462,0.0,0.0,0.5,3.9,8.5,0.462,0.463,2.3,3.0,0.783,2.1,5.2,7.4,1.1,0.6,0.3,1.6,3.3,10.2,13.8,0.52,0.003,0.352,11.2,24.9,18.4,6.0,1.2,0.8,13.8,20.2,1.5,2.5,4.0,0.11,-1.6,-0.7,-2.3,-0.1,33,Los Angeles Lakers,77,8,1750,302,653,1,2,180,230,164,402,84,45,24,121,253,785,0,0,1,0,0,62,20,.756,117.3,109.5,6.84,1985-86
Mike McGee,17.1,3.5,7.7,0.463,0.6,1.6,0.36,3.0,6.1,0.491,0.501,0.6,0.9,0.656,0.7,1.3,2.0,1.2,0.7,0.1,1.0,1.8,8.3,12.4,0.513,0.21,0.118,5.0,8.0,6.6,9.0,2.0,0.3,10.9,21.3,0.7,1.2,1.9,0.075,-1.4,-0.5,-1.9,0.0,26,Los Angeles Lakers,71,19,1213,252,544,41,114,42,64,51,89,83,53,7,70,131,587,0,0,0,0,1,62,20,.756,117.3,109.5,6.84,1985-86
