name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,positions_Center,positions_Point Guard,positions_Power Forward,positions_Shooting Guard,positions_Small Forward,season,MVP,DPOY,SMOY,MIP,team_1st,team_2nd,team_3rd
Bruce Kuczenski,7.9,0.7,2.5,0.27,0.0,0.0,0.0,0.7,2.5,0.27,0.27,0.5,0.8,0.667,0.5,1.1,1.5,0.5,0.1,0.1,1.0,1.2,1.9,2.6,0.33359999999999995,0.0,0.36166666666666664,8.346666666666668,16.753333333333334,12.573333333333334,11.6,0.23999999999999996,0.27999999999999997,22.766666666666666,21.10666666666667,-0.10666666666666667,0.0,-0.10666666666666667,-0.1096,-4.92,-0.6133333333333333,-5.533333333333333,-0.08666666666666667,22,"New Jersey Nets, Philadelphia 76Ers, Indiana Pacers",15,2,119,10,37,0,0,8,12,7,16,8,1,1,15,18,28,0,0,1,0,0,1983-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Criss,14.3,1.3,3.5,0.385,0.1,0.4,0.167,1.3,3.1,0.413,0.394,0.8,1.1,0.75,0.3,1.0,1.3,2.5,0.5,0.0,0.7,0.7,3.5,10.84,0.4573999999999999,0.08000000000000002,0.28300000000000003,2.74,8.04,5.4,24.32,1.76,0.0,16.06,13.379999999999999,0.0,0.1,0.14,0.0656,-2.1599999999999997,0.14,-2.06,0.0,35,"Milwaukee Bucks, Atlanta Hawks",15,0,215,20,52,1,6,12,16,5,15,38,8,0,10,11,53,0,1,0,0,0,1983-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dave Robisch,11.0,1.1,3.1,0.365,0.0,0.0,0.0,1.1,3.1,0.365,0.365,0.7,0.8,0.846,0.5,1.4,1.9,0.6,0.1,0.1,0.4,1.2,3.0,5.251612903225807,0.4255161290322581,0.0,0.2691290322580645,3.3322580645161293,14.719354838709675,8.896774193548385,7.89032258064516,0.23225806451612904,0.3225806451612903,13.322580645161288,13.961290322580645,-0.07096774193548387,0.025806451612903226,-0.045161290322580656,-0.024032258064516133,-3.9612903225806453,-1.1161290322580644,-5.077419354838709,-0.12258064516129033,34,"Denver Nuggets, San Antonio Spurs, Kansas City Kings",31,0,340,35,96,0,0,22,26,15,43,20,3,2,12,36,92,1,0,0,0,0,1983-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eddie Jordan,13.1,1.1,3.1,0.347,0.0,0.2,0.0,1.1,2.9,0.37,0.347,0.5,0.8,0.667,0.2,0.9,1.1,2.8,1.6,0.0,1.6,2.3,2.6,7.09375,0.38999999999999996,0.0593125,0.24512499999999998,1.54375,8.36875,4.987500000000001,24.674999999999997,5.68125,0.0,31.9625,16.1,-0.28125,0.2625,-0.018750000000000003,-0.033875,-4.6125,1.88125,-2.7312499999999997,0.0,29,"Portland Trail Blazers, Los Angeles Lakers",16,0,210,17,49,0,3,8,12,3,14,44,25,0,26,37,42,0,1,0,0,0,1983-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Edmonson,11.3,2.9,5.8,0.492,0.0,0.0,0.0,2.9,5.8,0.492,0.492,1.7,2.3,0.746,0.8,0.8,1.6,0.6,0.5,0.1,1.1,1.5,7.5,15.10909090909091,0.5454545454545455,0.0,0.41345454545454546,7.7,7.8545454545454545,7.8,7.718181818181818,1.8454545454545455,0.5727272727272728,14.909090909090908,27.163636363636364,0.4090909090909091,0.14545454545454545,0.5818181818181818,0.04790909090909091,-1.2545454545454546,-1.6090909090909091,-2.8636363636363638,-0.02727272727272727,23,"San Antonio Spurs, Denver Nuggets",55,0,622,158,321,0,0,94,126,46,42,34,26,7,61,83,410,0,0,0,1,0,1983-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Loder,12.5,1.7,3.9,0.442,0.1,0.3,0.333,1.6,3.6,0.45,0.453,0.8,1.2,0.692,0.6,1.0,1.6,1.3,0.3,0.5,1.0,1.5,4.4,8.645454545454545,0.4481818181818182,0.06363636363636364,0.27454545454545454,5.363636363636363,8.727272727272727,7.0,12.818181818181818,1.0,1.9090909090909092,16.727272727272727,16.363636363636363,0.0,0.09090909090909091,0.09090909090909091,0.020181818181818183,-2.609090909090909,0.0,-2.609090909090909,0.0,24,Kansas City Kings,11,0,137,19,43,1,3,9,13,7,11,14,3,5,11,16,48,0,0,0,0,1,1983-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linton Townes,4.8,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.5,0.3,1.0,2.0,19.95,0.7145,0.0,0.0,0.0,3.3,1.65,3.95,1.4,3.2,6.25,19.9,0.0,0.0,0.0,0.1795,-4.4,0.2,-4.2,0.0,24,Milwaukee Bucks,4,0,19,4,8,0,0,0,0,0,1,1,1,2,1,4,8,0,0,0,0,1,1983-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lorenzo Romar,15.0,2.4,5.2,0.459,0.1,0.5,0.121,2.3,4.7,0.494,0.464,1.0,1.4,0.713,0.3,1.1,1.4,2.8,0.8,0.1,0.9,1.1,5.8,14.63529411764706,0.4994411764705883,0.09676470588235295,0.28382352941176475,2.389705882352941,7.704411764705882,5.129411764705883,26.29264705882353,2.5808823529411766,0.47794117647058826,13.382352941176471,18.74264705882353,0.8602941176470589,1.4338235294117647,2.2941176470588234,0.11086764705882353,-0.09411764705882351,1.1382352941176472,1.0441176470588236,0.7647058823529411,25,"Golden State Warriors, Milwaukee Bucks",68,9,1022,161,351,4,33,67,94,21,72,193,55,8,63,77,393,0,1,0,0,0,1983-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Theus,24.6,4.3,10.2,0.419,0.1,0.7,0.167,4.2,9.6,0.437,0.425,3.5,4.6,0.762,0.8,1.3,2.1,5.8,0.8,0.2,2.6,2.8,12.2,14.08032786885246,0.49321311475409835,0.06644262295081967,0.4510819672131148,3.80327868852459,5.932786885245902,4.842622950819671,34.26393442622951,1.601639344262295,0.4475409836065573,17.24918032786885,24.388524590163932,0.3459016393442623,0.4983606557377049,0.8442622950819673,0.05381967213114755,0.037704918032786895,-1.4524590163934425,-1.4147540983606557,0.14754098360655737,26,"Chicago Bulls, Kansas City Kings",61,35,1498,262,625,7,42,214,281,50,79,352,50,12,156,171,745,0,1,0,0,0,1983-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roger Phegley,6.7,0.8,2.7,0.314,0.2,0.4,0.4,0.7,2.3,0.3,0.343,0.3,0.3,1.0,0.2,0.7,0.8,0.8,0.1,0.0,0.5,0.8,2.2,6.776923076923077,0.4185384615384615,0.15692307692307692,0.16538461538461538,2.3846153846153846,12.615384615384615,7.546153846153846,16.8,0.46153846153846156,0.0,14.384615384615385,20.315384615384616,-0.15384615384615385,0.0,-0.15384615384615385,-0.032615384615384616,-4.8,-0.7692307692307693,-5.6461538461538465,-0.15384615384615385,27,"San Antonio Spurs, Dallas Mavericks",13,0,87,11,35,2,5,4,4,2,9,11,1,0,6,11,28,0,0,0,1,0,1983-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
