name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,positions_Center,positions_Point Guard,positions_Power Forward,positions_Shooting Guard,positions_Small Forward,wins,losses,win_loss_pct,team_pts_per_g,opp_pts_per_g,team_simple_rating_system,season
Alaa Abdelnaby,12.2,1.8,4.2,0.436,0.0,0.0,0.0,1.8,4.2,0.436,0.436,1.2,1.9,0.64,0.9,2.6,3.5,0.2,0.2,0.2,1.3,1.5,4.9,9.2,0.485,0.0,0.455,8.5,24.2,16.3,2.7,0.6,1.2,20.5,22.6,-0.2,0.1,-0.1,-0.032,-5.3,-2.2,-7.4,-0.2,25,Boston Celtics,13,0,159,24,55,0,0,16,25,12,34,3,2,3,17,20,64,0,0,1,0,0,32,50,.390,100.8,105.1,-4.28,1993-94
Dee Brown,37.2,6.4,13.3,0.48,0.4,1.2,0.313,6.0,12.0,0.497,0.495,2.4,2.8,0.831,0.8,3.1,3.9,4.5,2.0,0.6,1.6,2.7,15.5,16.0,0.533,0.094,0.214,2.5,9.4,5.9,18.2,2.7,1.0,10.1,18.8,4.1,2.3,6.4,0.108,0.4,1.2,1.5,2.5,25,Boston Celtics,77,76,2867,490,1021,30,96,182,219,63,237,347,156,47,126,207,1192,0,0,0,1,0,32,50,.390,100.8,105.1,-4.28,1993-94
Chris Corchiani,9.2,0.8,1.8,0.426,0.2,0.7,0.289,0.6,1.1,0.518,0.484,0.5,0.7,0.684,0.2,0.7,0.9,1.7,0.4,0.0,0.7,0.9,2.3,10.4,0.528,0.404,0.404,1.9,8.7,5.3,24.5,2.4,0.3,25.6,13.8,0.1,0.3,0.4,0.038,-2.4,0.0,-2.4,0.0,25,Boston Celtics,51,0,467,40,94,11,38,26,38,8,36,86,22,2,38,47,117,0,1,0,0,0,32,50,.390,100.8,105.1,-4.28,1993-94
Sherman Douglas,35.8,5.4,11.8,0.462,0.2,0.7,0.232,5.3,11.1,0.477,0.47,2.3,3.5,0.641,0.9,1.6,2.5,8.8,1.1,0.1,3.0,2.2,13.3,14.3,0.5,0.061,0.3,2.8,5.0,3.9,35.8,1.6,0.2,18.3,19.8,1.9,0.8,2.7,0.046,0.8,-2.2,-1.4,0.4,27,Boston Celtics,78,78,2789,425,919,13,56,177,276,70,123,683,89,11,233,171,1040,0,1,0,0,0,32,50,.390,100.8,105.1,-4.28,1993-94
Acie Earl,15.5,2.0,5.0,0.406,0.0,0.0,0.0,2.0,5.0,0.407,0.406,1.5,2.2,0.675,1.1,2.2,3.3,0.2,0.3,0.7,1.0,2.4,5.5,9.2,0.463,0.003,0.43,8.3,16.0,12.1,1.5,1.0,2.9,14.0,19.4,-0.7,0.9,0.2,0.008,-5.2,-1.4,-6.5,-1.3,23,Boston Celtics,74,8,1149,151,372,0,1,108,160,85,162,12,24,53,72,178,410,1,0,0,0,0,32,50,.390,100.8,105.1,-4.28,1993-94
Rick Fox,25.6,4.1,8.9,0.467,0.4,1.2,0.33,3.7,7.7,0.489,0.49,2.1,2.8,0.757,1.3,3.0,4.3,2.6,1.0,0.6,1.9,3.0,10.8,14.4,0.535,0.137,0.316,5.6,13.5,9.6,15.3,1.9,1.6,16.0,20.4,1.5,1.7,3.2,0.073,-0.4,0.2,-0.2,0.9,24,Boston Celtics,82,53,2096,340,728,33,100,174,230,105,250,217,81,52,158,244,887,0,0,0,0,1,32,50,.390,100.8,105.1,-4.28,1993-94
Kevin Gamble,25.1,4.9,10.7,0.458,0.3,1.4,0.243,4.6,9.3,0.489,0.473,1.4,1.7,0.817,0.5,1.6,2.1,2.0,0.8,0.3,1.0,1.8,11.5,13.4,0.503,0.128,0.157,2.4,7.1,4.8,12.4,1.5,0.7,8.2,21.6,1.4,0.7,2.1,0.054,-0.7,-1.0,-1.7,0.2,28,Boston Celtics,75,28,1880,368,804,25,103,103,126,41,118,149,57,22,77,134,864,0,0,0,0,1,32,50,.390,100.8,105.1,-4.28,1993-94
Tony Harris,17.6,1.8,6.2,0.29,0.6,1.8,0.333,1.2,4.4,0.273,0.339,4.6,5.0,0.92,0.6,1.4,2.0,1.6,0.8,0.0,1.2,1.6,8.8,14.9,0.524,0.29,0.806,3.8,9.0,6.4,12.4,2.3,0.0,12.5,23.7,0.1,0.1,0.2,0.106,0.8,0.5,1.2,0.1,26,Boston Celtics,5,0,88,9,31,3,9,23,25,3,7,8,4,0,6,8,44,0,0,0,1,0,32,50,.390,100.8,105.1,-4.28,1993-94
Xavier McDaniel,24.0,4.7,10.2,0.461,0.1,0.5,0.244,4.6,9.7,0.472,0.467,1.8,2.6,0.676,1.7,3.1,4.9,1.5,0.6,0.5,1.4,2.4,11.3,14.5,0.497,0.049,0.254,8.1,14.8,11.5,10.0,1.2,1.2,11.1,23.1,1.0,1.3,2.3,0.055,-0.5,-1.3,-1.8,0.1,30,Boston Celtics,82,5,1971,387,839,10,41,144,213,142,258,126,48,39,116,193,928,0,0,0,0,1,32,50,.390,100.8,105.1,-4.28,1993-94
Jimmy Oliver,12.3,2.0,4.9,0.416,0.3,0.7,0.406,1.7,4.1,0.418,0.446,0.6,0.8,0.758,0.2,0.9,1.0,0.8,0.4,0.0,0.5,0.9,4.9,10.1,0.473,0.15,0.154,1.7,8.0,4.8,9.1,1.5,0.1,8.4,20.0,0.0,0.2,0.2,0.016,-2.9,-1.4,-4.3,-0.3,24,Boston Celtics,44,6,540,89,214,13,32,25,33,8,38,33,16,1,21,39,216,0,0,0,1,0,32,50,.390,100.8,105.1,-4.28,1993-94
