name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,positions_Center,positions_Point Guard,positions_Power Forward,positions_Shooting Guard,positions_Small Forward,season,MVP,DPOY,SMOY,MIP,team_1st,team_2nd,team_3rd
Andrew DeClercq,23.4,2.9,5.9,0.5,0.0,0.0,0.0,2.9,5.9,0.5,0.5,2.0,3.0,0.674,2.2,3.2,5.4,0.7,1.1,0.6,1.1,3.4,7.9,14.727659574468083,0.5478297872340426,0.0,0.5104042553191489,11.753191489361704,16.729787234042554,14.261702127659573,5.187234042553191,2.459574468085106,2.078723404255319,14.661702127659572,16.882978723404257,1.0829787234042554,0.9319148936170214,2.04468085106383,0.13134042553191488,-1.4127659574468083,0.11063829787234043,-1.3021276595744682,0.25106382978723407,25,"Boston Celtics, Cleveland Cavaliers",47,32,1102,138,276,0,0,95,141,104,151,31,50,29,54,161,371,1,0,0,0,0,1998-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B.J. Armstrong,11.2,1.3,2.8,0.455,0.2,0.5,0.467,1.0,2.3,0.452,0.494,0.6,0.7,0.857,0.1,1.2,1.2,1.9,0.4,0.0,0.8,1.0,3.3,12.68125,0.5191874999999999,0.165375,0.2405625,0.63125,12.86875,6.74375,30.175,2.1375,0.0,21.31875,15.9875,0.09375,0.2375,0.33125,0.09543750000000001,-2.20625,0.7437499999999999,-1.4625,0.03125,31,"Charlotte Hornets, Orlando Magic",32,1,358,40,88,7,15,18,21,2,37,61,12,0,25,31,105,0,1,0,0,0,1998-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Evans,9.1,0.8,2.8,0.295,0.3,0.8,0.308,0.6,1.9,0.29,0.341,0.3,0.3,1.0,0.4,0.8,1.2,0.9,0.3,0.2,0.1,0.5,2.1,9.21875,0.3505625,0.28525,0.081125,5.09375,8.6625,6.83125,14.899999999999999,2.26875,1.2375,3.64375,15.20625,0.037500000000000006,0.06875,0.10625000000000001,0.018749999999999996,-0.8687499999999999,0.375,-0.4937499999999999,0.06875,25,"New Jersey Nets, Minnesota Timberwolves",16,0,145,13,44,4,13,4,4,6,13,15,5,3,2,8,34,0,0,0,0,1,1998-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carl Herrera,11.0,1.1,2.7,0.395,0.0,0.0,0.0,1.1,2.7,0.4,0.395,0.2,0.4,0.455,0.9,1.3,2.2,0.1,0.4,0.3,0.6,1.5,2.3,6.785714285714285,0.40885714285714286,0.013714285714285715,0.14457142857142855,9.171428571428573,14.342857142857143,11.714285714285717,2.2,2.057142857142857,1.6285714285714283,16.228571428571428,14.357142857142858,-0.1142857142857143,0.08571428571428573,-0.028571428571428574,-0.04328571428571428,-5.028571428571428,-1.4142857142857144,-6.42857142857143,-0.18571428571428575,32,"Vancouver Grizzlies, Denver Nuggets",28,0,307,30,76,0,1,5,11,25,37,4,12,7,16,41,65,0,0,1,0,0,1998-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Carr,11.4,1.9,5.3,0.371,0.7,1.9,0.373,1.2,3.3,0.369,0.439,0.7,1.0,0.675,0.6,1.2,1.8,0.6,0.2,0.1,0.7,1.2,5.3,11.166666666666666,0.45564102564102565,0.3625128205128205,0.18774358974358973,4.738461538461538,13.405128205128204,8.802564102564103,9.825641025641024,0.9153846153846155,0.3974358974358974,11.451282051282051,23.876923076923077,0.043589743589743594,0.1,0.1435897435897436,0.022692307692307692,-1.1794871794871795,-2.382051282051282,-3.4897435897435902,-0.1,24,"Minnesota Timberwolves, New Jersey Nets",39,4,445,76,205,28,75,27,40,23,48,23,8,2,28,45,207,0,0,0,1,0,1998-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Gatling,16.1,2.4,5.5,0.442,0.0,0.2,0.125,2.4,5.4,0.451,0.443,0.8,1.9,0.398,1.1,2.6,3.7,0.7,0.7,0.2,1.3,2.5,5.7,9.9375,0.44249999999999995,0.03,0.3495,7.7375,19.3625,13.487499999999999,7.275000000000001,2.25,1.0,16.8875,22.025000000000002,-0.425,0.5125000000000001,0.125,-0.005,-4.625,-0.8874999999999998,-5.5125,-0.33749999999999997,31,"New Jersey Nets, Milwaukee Bucks",48,3,775,117,265,1,8,37,93,52,127,32,32,10,62,118,272,1,0,0,0,0,1998-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Beck,7.5,0.8,1.6,0.462,0.0,0.0,1.0,0.7,1.6,0.447,0.474,0.3,0.6,0.533,0.3,0.9,1.2,0.8,0.4,0.1,0.5,1.1,1.9,10.666666666666666,0.5056666666666666,0.021333333333333333,0.3626666666666667,5.733333333333333,12.799999999999999,9.4,14.933333333333332,2.9,0.6666666666666666,21.53333333333333,15.799999999999999,-0.06666666666666667,0.13333333333333333,0.10000000000000002,0.06333333333333334,-4.466666666666666,1.3,-3.1666666666666665,-0.06666666666666667,27,"Detroit Pistons, Charlotte Hornets",24,0,180,18,39,1,1,8,15,6,22,20,9,2,13,26,45,0,1,0,0,0,1998-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corie Blount,15.6,1.1,2.9,0.36,0.0,0.0,0.0,1.1,2.9,0.364,0.36,0.8,1.6,0.519,1.7,2.7,4.4,0.4,0.6,0.5,0.6,2.2,2.9,9.235294117647058,0.4062352941176471,0.012352941176470587,0.5187058823529411,14.288235294117646,20.735294117647058,17.541176470588237,3.447058823529412,1.711764705882353,2.2705882352941176,14.36470588235294,12.88823529411765,-0.07647058823529411,0.45294117647058824,0.3764705882352941,0.05823529411764706,-3.7235294117647055,-0.8235294117647058,-4.588235294117647,-0.14117647058823532,30,"Los Angeles Lakers, Cleveland Cavaliers",34,3,530,36,100,0,1,28,54,58,93,12,19,16,21,74,100,0,0,1,0,0,1998-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damon Jones,14.3,1.8,5.0,0.361,1.0,2.6,0.403,0.8,2.4,0.316,0.466,0.6,0.7,0.824,0.3,1.6,1.8,1.8,0.5,0.0,0.7,1.0,5.2,13.804166666666667,0.4940833333333334,0.540375,0.16391666666666665,1.8708333333333336,12.454166666666666,6.9624999999999995,19.733333333333334,2.095833333333333,0.0,11.483333333333334,18.508333333333333,0.20000000000000004,0.15416666666666667,0.3541666666666667,0.09708333333333334,0.5041666666666668,0.1875,0.7458333333333335,0.10000000000000002,22,"New Jersey Nets, Boston Celtics",24,0,344,43,119,25,62,14,17,6,38,42,13,0,17,23,125,0,1,0,0,0,1998-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Scott,20.5,2.4,5.9,0.408,1.0,2.7,0.381,1.4,3.2,0.431,0.495,0.6,0.9,0.742,0.2,1.4,1.6,1.1,0.4,0.1,0.5,1.4,6.5,8.858333333333334,0.48458333333333337,0.46841666666666665,0.12991666666666665,1.3333333333333333,8.291666666666666,4.708333333333333,8.333333333333334,1.0333333333333334,0.3416666666666667,7.825000000000001,14.891666666666664,0.5,0.25833333333333336,0.7583333333333333,0.06341666666666668,-1.6416666666666666,-0.6166666666666667,-2.2583333333333333,0.07500000000000001,30,"New York Knicks, Minnesota Timberwolves",36,9,738,87,213,37,97,23,31,8,50,40,15,3,19,49,234,0,0,0,0,1,1998-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
