name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,positions_Center,positions_Point Guard,positions_Power Forward,positions_Shooting Guard,positions_Small Forward,wins,losses,win_loss_pct,team_pts_per_g,opp_pts_per_g,team_simple_rating_system,season
Alaa Abdelnaby,13.2,2.5,5.1,0.493,0.0,0.0,0.0,2.5,5.1,0.493,0.493,1.1,1.4,0.752,1.1,2.5,3.7,0.4,0.4,0.2,0.9,1.9,6.1,13.5,0.533,0.0,0.28,9.5,20.9,15.2,4.7,1.3,1.1,14.0,20.6,0.6,1.5,2.1,0.11,-2.3,-0.4,-2.6,-0.1,23,Portland Trail Blazers,71,1,934,178,361,0,0,76,101,81,179,30,25,16,66,132,432,0,0,1,0,0,57,25,.695,111.4,104.1,6.94,1991-92
Danny Ainge,19.7,3.7,8.3,0.442,1.0,2.8,0.339,2.7,5.5,0.496,0.5,1.3,1.6,0.824,0.5,1.3,1.8,2.5,0.9,0.2,0.9,1.8,9.7,15.4,0.534,0.34,0.194,2.7,7.4,5.1,18.4,2.2,0.5,8.7,20.5,3.1,2.0,5.2,0.155,1.1,0.8,1.9,1.6,32,Portland Trail Blazers,81,6,1595,299,676,78,230,108,131,40,108,202,73,13,70,148,784,0,0,0,1,0,57,25,.695,111.4,104.1,6.94,1991-92
Mark Bryant,14.3,1.7,3.5,0.48,0.0,0.1,0.0,1.7,3.5,0.487,0.48,0.7,1.1,0.667,1.6,2.0,3.6,0.7,0.5,0.1,0.5,1.9,4.1,11.3,0.512,0.015,0.303,11.9,15.5,13.7,6.8,1.6,0.6,11.8,12.9,0.9,1.2,2.1,0.125,-1.6,0.1,-1.4,0.1,26,Portland Trail Blazers,56,0,800,95,198,0,3,40,60,87,114,41,26,8,30,105,230,0,0,1,0,0,57,25,.695,111.4,104.1,6.94,1991-92
Wayne Cooper,9.8,1.0,2.3,0.427,0.0,0.0,0.0,1.0,2.3,0.427,0.427,0.2,0.3,0.636,1.1,1.8,2.9,0.6,0.1,0.8,0.4,1.6,2.2,10.2,0.443,0.0,0.134,12.1,20.0,16.0,7.9,0.6,4.9,14.7,12.1,0.1,0.6,0.7,0.096,-3.3,1.5,-1.7,0.0,35,Portland Trail Blazers,35,0,344,35,82,0,0,7,11,38,63,21,4,27,15,57,77,1,0,0,0,0,57,25,.695,111.4,104.1,6.94,1991-92
Clyde Drexler,36.2,9.1,19.4,0.47,1.5,4.4,0.337,7.6,15.0,0.51,0.509,5.3,6.6,0.794,2.2,4.4,6.6,6.7,1.8,0.9,3.2,3.0,25.0,23.6,0.56,0.229,0.342,6.6,13.2,9.9,29.9,2.4,1.6,12.4,28.7,8.3,4.5,12.8,0.223,6.8,1.9,8.7,7.4,29,Portland Trail Blazers,76,76,2751,694,1476,114,338,401,505,166,334,512,138,70,240,229,1903,0,0,0,1,0,57,25,.695,111.4,104.1,6.94,1991-92
Kevin Duckworth,27.1,4.4,9.6,0.461,0.0,0.0,0.0,4.4,9.5,0.462,0.461,1.9,2.8,0.69,1.8,4.2,6.1,1.2,0.5,0.5,1.7,3.2,10.7,10.5,0.497,0.004,0.288,7.4,17.0,12.2,6.3,0.8,1.0,13.9,18.8,0.3,3.0,3.3,0.071,-3.0,-0.5,-3.6,-0.9,27,Portland Trail Blazers,82,82,2222,362,786,0,3,156,226,151,346,99,38,37,143,264,880,1,0,0,0,0,57,25,.695,111.4,104.1,6.94,1991-92
Jerome Kersey,33.2,5.2,11.1,0.467,0.0,0.1,0.125,5.2,11.0,0.47,0.468,2.3,3.4,0.664,3.1,5.1,8.2,3.2,1.5,0.9,2.0,3.3,12.6,14.7,0.502,0.009,0.308,10.3,16.7,13.5,13.3,2.2,1.7,13.5,17.8,2.4,4.4,6.8,0.128,0.2,1.6,1.7,2.4,29,Portland Trail Blazers,77,76,2553,398,852,1,8,174,262,241,392,243,114,71,151,254,971,0,0,0,0,1,57,25,.695,111.4,104.1,6.94,1991-92
Robert Pack,12.4,1.6,3.8,0.423,0.0,0.1,0.0,1.6,3.6,0.439,0.423,1.4,1.8,0.803,0.4,0.9,1.3,1.9,0.6,0.1,1.3,1.4,4.6,10.5,0.506,0.037,0.467,3.9,7.9,5.9,21.0,2.2,0.3,21.9,19.1,0.0,1.1,1.1,0.058,-2.9,0.2,-2.7,-0.1,22,Portland Trail Blazers,72,0,894,115,272,0,10,102,127,32,65,140,40,4,92,101,332,0,1,0,0,0,57,25,.695,111.4,104.1,6.94,1991-92
Terry Porter,34.0,6.4,13.8,0.461,1.6,4.0,0.395,4.8,9.8,0.488,0.518,3.8,4.5,0.856,0.6,2.5,3.1,5.8,1.5,0.1,2.3,1.9,18.1,18.1,0.575,0.287,0.326,2.0,8.0,5.0,24.9,2.2,0.3,12.7,21.6,7.0,3.5,10.6,0.182,3.2,0.6,3.7,4.0,28,Portland Trail Blazers,82,82,2784,521,1129,128,324,315,368,51,204,477,127,12,188,155,1485,0,1,0,0,0,57,25,.695,111.4,104.1,6.94,1991-92
Clifford Robinson,25.9,4.9,10.4,0.466,0.0,0.1,0.091,4.8,10.3,0.471,0.467,2.7,4.0,0.664,1.7,3.4,5.1,1.7,1.0,1.3,1.9,3.3,12.4,14.2,0.508,0.013,0.386,7.2,14.2,10.7,9.4,1.9,3.2,13.4,22.1,1.0,3.6,4.6,0.104,-1.5,1.3,-0.2,1.0,25,Portland Trail Blazers,82,7,2124,398,854,1,11,219,330,140,276,137,85,107,154,274,1016,0,0,0,0,1,57,25,.695,111.4,104.1,6.94,1991-92
