name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,team
Alaa Abdelnaby,17.5,3.3,6.3,.518,0.0,0.0,.000,3.3,6.3,.519,.518,1.2,1.5,.759,1.7,2.8,4.5,0.4,0.3,0.3,1.3,2.5,7.7,TOT
Alaa Abdelnaby,13.3,2.2,4.7,.464,0.0,0.1,.000,2.2,4.6,.473,.464,1.0,1.3,.750,1.0,2.1,3.1,0.8,0.5,0.3,1.1,2.0,5.3,MIL
Alaa Abdelnaby,18.3,3.5,6.6,.525,0.0,0.0,,3.5,6.6,.525,.525,1.2,1.6,.760,1.8,3.0,4.8,0.3,0.3,0.3,1.3,2.6,8.2,BOS
Mahmoud Abdul-Rauf,33.5,7.8,17.4,.450,0.9,2.4,.355,7.0,14.9,.465,.475,2.7,2.9,.935,0.6,2.1,2.8,4.2,1.0,0.1,2.3,2.2,19.2,DEN
Mark Acres,14.9,1.4,2.7,.531,0.1,0.1,.500,1.4,2.6,.532,.541,0.6,0.9,.688,1.4,2.3,3.7,0.3,0.2,0.3,0.7,1.9,3.6,TOT
Mark Acres,3.8,0.3,1.5,.222,0.2,0.3,.500,0.2,1.2,.143,.278,0.2,0.3,.500,0.3,0.7,1.0,0.0,0.0,0.0,0.3,0.3,1.0,HOU
Mark Acres,20.5,2.0,3.3,.600,0.0,0.0,,2.0,3.3,.600,.600,0.8,1.2,.714,2.0,3.1,5.1,0.4,0.3,0.5,0.9,2.7,4.8,WSB
Michael Adams,35.7,5.2,11.9,.439,1.0,3.0,.321,4.2,8.8,.480,.480,3.4,4.0,.856,0.7,2.7,3.4,7.5,1.4,0.1,2.5,2.1,14.8,WSB
Rafael Addison,17.1,2.7,6.0,.443,0.1,0.5,.206,2.6,5.5,.464,.451,0.8,1.0,.814,0.7,1.3,1.9,0.8,0.3,0.2,0.9,1.8,6.3,NJN
Mark Aguirre,20.7,3.7,8.3,.443,0.6,1.6,.361,3.1,6.6,.463,.479,1.9,2.5,.767,0.8,2.1,3.0,2.1,0.3,0.1,1.3,2.0,9.9,DET
Danny Ainge,27.0,4.2,9.1,.462,1.9,4.7,.403,2.3,4.5,.522,.564,1.5,1.8,.848,0.6,2.1,2.7,3.3,0.9,0.1,1.4,2.2,11.8,PHO
Victor Alexander,24.3,4.8,9.3,.516,0.1,0.3,.455,4.6,9.0,.518,.523,1.5,2.3,.685,1.8,4.0,5.8,1.3,0.5,0.7,1.7,3.0,11.2,GSW
Eric Anderson,2.8,0.3,1.1,.278,0.0,0.0,,0.3,1.1,.278,.278,0.7,0.8,.846,0.4,0.5,0.9,0.2,0.2,0.1,0.3,0.9,1.3,NYK
Kenny Anderson,36.5,6.7,15.5,.435,0.1,0.5,.280,6.6,15.0,.440,.439,3.3,4.2,.776,0.9,3.2,4.1,8.2,1.7,0.2,2.8,2.5,16.9,NJN
Nick Anderson,37.0,7.5,16.8,.449,1.1,3.2,.353,6.4,13.6,.471,.482,3.8,5.1,.741,1.5,4.5,6.0,3.4,1.6,0.7,2.1,2.5,19.9,ORL
Ron Anderson,18.3,3.3,7.9,.414,0.6,1.7,.325,2.7,6.1,.439,.449,1.0,1.3,.809,0.9,1.8,2.7,1.3,0.4,0.1,0.9,1.1,8.1,PHI
Willie Anderson,14.7,2.1,4.9,.430,0.0,0.2,.125,2.1,4.7,.444,.433,0.6,0.7,.786,0.2,1.3,1.5,2.1,0.4,0.2,1.2,1.4,4.8,SAS
Greg Anthony,24.3,2.5,6.0,.415,0.1,0.4,.133,2.4,5.6,.437,.420,1.5,2.3,.673,0.6,1.8,2.4,5.7,1.6,0.2,1.5,2.0,6.6,NYK
B.J. Armstrong,30.4,5.0,10.0,.499,0.8,1.7,.453,4.2,8.3,.508,.537,1.6,1.8,.861,0.3,1.5,1.8,4.0,0.8,0.1,1.0,2.1,12.3,CHI
Vincent Askew,15.5,2.1,4.2,.492,0.0,0.1,.333,2.1,4.2,.495,.495,1.4,2.0,.705,0.8,1.4,2.2,1.7,0.5,0.3,0.9,1.8,5.6,TOT
Vincent Askew,8.4,0.9,1.9,.471,0.0,0.0,,0.9,1.9,.471,.471,1.2,1.7,.733,0.8,0.4,1.2,0.6,0.2,0.1,0.9,1.2,3.0,SAC
Vincent Askew,16.5,2.3,4.6,.493,0.0,0.1,.333,2.2,4.5,.497,.497,1.5,2.1,.701,0.9,1.5,2.3,1.8,0.6,0.3,1.0,1.9,6.0,SEA
Keith Askins,13.6,1.3,3.1,.413,0.3,0.9,.338,1.0,2.1,.446,.465,0.4,0.6,.725,1.1,1.8,2.9,0.4,0.4,0.4,0.5,2.0,3.3,MIA
Stacey Augmon,28.9,5.4,10.8,.501,0.0,0.1,.000,5.4,10.8,.504,.501,3.1,4.2,.739,1.9,2.0,3.9,2.3,1.2,0.2,2.2,1.9,14.0,ATL
Isaac Austin,6.7,1.1,2.4,.446,0.0,0.0,.000,1.1,2.4,.450,.446,0.6,1.0,.659,0.8,0.9,1.7,0.1,0.2,0.3,0.5,1.3,2.8,UTA
Anthony Avent,27.9,4.2,9.8,.433,0.0,0.0,.000,4.2,9.8,.434,.433,1.4,2.1,.651,2.2,4.0,6.2,1.1,0.7,0.9,1.7,2.9,9.8,MIL
,,,,,,,,,,,,,,,,,,,,,,,,
John Bagley,9.7,0.9,2.5,.360,0.0,0.1,.000,0.9,2.4,.375,.360,0.5,0.6,.833,0.1,0.6,0.7,2.0,0.2,0.0,1.7,1.1,2.3,BOS
Thurl Bailey,18.2,2.9,6.4,.455,0.0,0.0,,2.9,6.4,.455,.455,1.7,2.0,.838,0.8,2.3,3.1,0.9,0.3,0.7,0.9,1.3,7.5,MIN
Steve Bardo,7.6,0.8,2.7,.306,0.0,0.3,.167,0.8,2.4,.321,.315,0.5,0.7,.706,0.4,1.2,1.6,1.3,0.3,0.1,0.7,1.2,2.2,DAL
Charles Barkley,37.6,9.4,18.1,.520,0.9,2.9,.305,8.5,15.2,.561,.545,5.9,7.7,.765,3.1,9.1,12.2,5.1,1.6,1.0,3.1,2.6,25.6,PHO
Dana Barros,18.0,3.1,6.9,.451,0.9,2.4,.379,2.2,4.4,.492,.519,0.7,0.9,.831,0.3,1.3,1.6,2.2,0.9,0.0,0.8,1.1,7.8,SEA
Jon Barry,11.7,1.6,4.4,.369,0.4,1.3,.333,1.2,3.0,.385,.420,0.7,1.0,.673,0.2,0.7,0.9,1.4,0.7,0.1,0.9,1.2,4.4,MIL
John Battle,12.1,2.0,4.9,.415,0.0,0.1,.167,2.0,4.7,.423,.418,1.4,1.8,.778,0.1,0.6,0.7,1.3,0.2,0.1,0.5,1.0,5.4,CLE
Kenny Battle,9.7,2.0,4.3,.462,0.0,0.3,.000,2.0,4.0,.500,.462,0.7,0.7,1.000,2.3,1.3,3.7,0.7,0.3,0.0,0.7,0.7,4.7,BOS
William Bedford,4.1,0.6,1.7,.333,0.1,0.1,1.000,0.5,1.6,.308,.352,0.4,0.8,.500,0.1,0.6,0.6,0.0,0.0,0.1,0.1,0.9,1.6,SAS
Benoit Benjamin,12.8,2.3,4.6,.491,0.0,0.0,,2.3,4.6,.491,.491,1.2,1.8,.663,0.9,2.7,3.5,0.4,0.5,0.8,1.3,2.3,5.7,TOT
Benoit Benjamin,14.5,2.6,5.3,.497,0.0,0.0,,2.6,5.3,.497,.497,1.5,2.2,.701,0.9,2.8,3.6,0.4,0.5,1.1,1.4,2.4,6.7,SEA
Benoit Benjamin,10.9,1.9,3.9,.481,0.0,0.0,,1.9,3.9,.481,.481,0.8,1.3,.595,0.9,2.6,3.4,0.4,0.5,0.5,1.3,2.2,4.5,LAL
Tony Bennett,11.4,1.5,3.5,.423,0.3,1.1,.325,1.1,2.4,.467,.473,0.4,0.5,.732,0.2,0.7,0.8,1.8,0.4,0.0,0.7,1.5,3.7,CHH
David Benoit,20.9,3.1,7.2,.436,0.4,1.2,.347,2.7,6.0,.453,.465,1.4,1.9,.750,1.4,3.4,4.8,0.5,0.5,0.5,1.1,2.5,8.1,UTA
Rolando Blackman,23.9,4.0,9.0,.443,0.5,1.2,.425,3.5,7.8,.446,.472,1.2,1.5,.789,0.4,1.3,1.7,2.6,0.4,0.2,1.1,2.2,9.7,NYK
Alex Blackwell,4.0,0.5,1.6,.333,0.0,0.1,.000,0.5,1.4,.359,.333,0.2,0.3,.750,0.4,0.5,0.9,0.3,0.1,0.1,0.2,0.5,1.3,LAL
Lance Blanks,10.5,1.1,2.5,.433,0.2,0.7,.256,0.9,1.8,.505,.470,0.3,0.5,.625,0.3,0.8,1.1,1.2,0.3,0.1,0.5,1.0,2.6,MIN
Ricky Blanton,6.5,1.5,3.5,.429,0.0,0.0,,1.5,3.5,.429,.429,0.0,0.0,,1.0,0.5,1.5,0.5,1.0,0.0,0.5,0.5,3.0,CHI
Mookie Blaylock,35.3,5.2,12.1,.429,1.5,3.9,.375,3.7,8.1,.456,.491,1.5,2.1,.728,1.1,2.4,3.5,8.4,2.5,0.3,2.3,2.0,13.4,ATL
Muggsy Bogues,35.0,4.1,9.0,.453,0.1,0.3,.231,4.0,8.7,.462,.458,1.7,2.1,.833,0.6,3.0,3.7,8.8,2.0,0.1,1.9,2.2,10.0,CHH
Manute Bol,14.7,0.9,2.2,.409,0.2,0.6,.313,0.7,1.6,.442,.449,0.2,0.3,.632,0.8,2.6,3.3,0.3,0.2,2.1,0.9,1.5,2.2,PHI
Walter Bond,21.3,3.1,7.6,.402,0.1,0.6,.167,3.0,7.1,.421,.408,1.7,2.3,.772,0.7,1.9,2.6,1.6,1.0,0.2,1.5,3.0,8.0,DAL
,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Bonner,25.2,3.3,7.1,.461,0.0,0.1,.000,3.3,7.0,.467,.461,2.0,3.4,.593,2.7,3.8,6.5,1.4,1.2,0.2,1.5,2.6,8.6,SAC
Anthony Bowie,22.9,3.5,7.4,.471,0.2,0.6,.313,3.3,6.8,.486,.484,0.9,1.1,.798,0.5,2.1,2.5,2.3,0.7,0.2,1.1,1.7,8.0,ORL
Sam Bowie,26.5,3.6,8.1,.450,0.0,0.1,.333,3.6,8.0,.451,.451,1.8,2.3,.779,2.0,5.0,7.0,1.6,0.4,1.6,1.5,2.9,9.1,NJN
Terrell Brandon,19.8,3.6,7.6,.478,0.2,0.5,.310,3.5,7.1,.491,.489,1.4,1.7,.825,0.5,1.7,2.2,3.7,1.0,0.3,1.3,1.5,8.8,CLE
Randy Breuer,8.9,1.3,2.6,.484,0.0,0.0,,1.3,2.6,.484,.484,0.2,0.4,.400,0.8,1.5,2.3,0.5,0.2,0.3,0.4,1.0,2.7,ATL
Frank Brickowski,31.4,6.9,12.7,.545,0.1,0.4,.308,6.8,12.3,.553,.550,3.0,4.1,.728,1.8,4.3,6.1,3.0,1.2,0.7,3.1,3.6,16.9,MIL
Kevin Brooks,10.4,1.7,4.2,.399,0.1,0.5,.231,1.6,3.8,.420,.412,0.6,0.7,.875,0.4,1.1,1.5,0.6,0.2,0.0,0.7,0.8,4.1,DEN
Scott Brooks,18.5,2.2,4.7,.475,0.5,1.2,.414,1.7,3.5,.497,.529,1.4,1.6,.830,0.3,0.9,1.2,3.0,1.0,0.0,0.9,1.7,6.3,HOU
Chucky Brown,15.4,2.1,4.3,.483,0.0,0.1,.000,2.1,4.2,.491,.483,0.9,1.3,.724,1.1,1.9,3.0,0.7,0.3,0.3,0.7,1.5,5.1,NJN
Dee Brown,28.2,4.1,8.8,.468,0.3,1.0,.317,3.8,7.7,.488,.486,2.4,3.0,.793,0.6,2.5,3.1,5.8,1.7,0.4,1.7,2.5,10.9,BOS
Mike Brown,18.9,2.1,5.0,.430,0.0,0.0,.000,2.1,5.0,.431,.430,1.4,2.0,.689,1.8,3.0,4.8,0.8,0.4,0.3,1.2,2.3,5.7,UTA
Randy Brown,23.0,3.0,6.5,.463,0.0,0.1,.333,3.0,6.4,.465,.465,1.5,2.1,.732,1.0,1.8,2.8,2.6,1.4,0.5,1.6,2.7,7.6,SAC
Mark Bryant,17.5,2.3,4.6,.503,0.0,0.0,.000,2.3,4.6,.504,.503,1.3,1.9,.703,1.7,2.4,4.1,0.5,0.5,0.3,0.8,2.8,6.0,POR
Jud Buechler,18.4,2.5,5.8,.437,0.3,0.8,.339,2.2,4.9,.453,.462,0.9,1.2,.747,1.2,1.6,2.8,1.3,0.7,0.3,0.8,1.4,6.2,GSW
Matt Bullard,17.2,2.7,6.3,.431,1.2,3.1,.374,1.5,3.2,.486,.523,0.7,0.9,.784,0.8,2.0,2.8,1.4,0.4,0.1,0.7,1.6,7.3,HOU
Willie Burton,17.3,2.1,5.4,.383,0.2,0.6,.333,1.9,4.8,.389,.401,3.5,4.9,.717,0.8,1.8,2.7,0.6,0.5,0.6,1.9,2.2,7.8,MIA
Steve Burtt,8.8,2.5,6.5,.385,0.3,0.8,.333,2.3,5.8,.391,.404,2.0,2.5,.800,0.5,0.3,0.8,1.5,0.5,0.0,1.0,1.3,7.3,WSB
Michael Cage,26.3,2.7,5.1,.526,0.0,0.0,.000,2.7,5.1,.528,.526,0.7,1.6,.469,3.3,4.8,8.0,0.8,0.9,0.6,0.7,2.2,6.1,SEA
Dexter Cambridge,16.7,2.8,5.9,.484,0.0,0.1,.000,2.8,5.8,.490,.484,1.3,1.9,.687,1.7,1.5,3.2,1.1,0.5,0.1,1.2,2.4,7.0,DAL
Elden Campbell,19.6,3.0,6.6,.458,0.0,0.0,.000,3.0,6.5,.460,.458,1.6,2.6,.637,1.6,2.6,4.2,0.6,0.7,1.3,0.9,2.1,7.7,LAL
,,,,,,,,,,,,,,,,,,,,,,,,
Tony Campbell,18.3,3.3,6.8,.490,0.0,0.1,.400,3.3,6.7,.491,.492,1.0,1.5,.678,1.0,1.7,2.7,1.1,0.6,0.1,0.9,2.6,7.7,NYK
Antoine Carr,27.4,5.3,9.9,.538,0.0,0.1,.000,5.3,9.9,.541,.538,2.5,3.2,.777,1.5,4.0,5.5,1.4,0.5,1.2,1.4,3.7,13.1,SAS
Bill Cartwright,19.9,2.2,5.4,.411,0.0,0.0,,2.2,5.4,.411,.411,1.1,1.6,.735,1.3,2.4,3.7,1.3,0.3,0.2,1.0,2.4,5.6,CHI
Terry Catledge,12.5,1.7,3.5,.493,0.0,0.0,,1.7,3.5,.493,.493,1.3,1.6,.794,0.9,1.3,2.2,0.2,0.2,0.0,1.2,1.5,4.7,ORL
Duane Causwell,22.0,3.2,5.8,.545,0.0,0.0,.000,3.2,5.8,.547,.545,1.9,3.0,.624,2.0,3.5,5.5,0.6,0.6,1.6,1.1,3.5,8.2,SAC
Cedric Ceballos,21.7,5.1,8.9,.576,0.0,0.0,.000,5.1,8.9,.577,.576,2.5,3.5,.725,2.3,3.2,5.5,1.0,0.7,0.4,1.4,1.4,12.8,PHO
Tom Chambers,23.6,4.4,9.8,.447,0.2,0.4,.393,4.2,9.4,.449,.455,3.3,3.9,.837,1.3,3.4,4.7,1.4,0.6,0.3,1.3,2.9,12.2,PHO
Rex Chapman,21.7,4.8,10.0,.477,0.7,1.9,.371,4.1,8.1,.502,.512,2.2,2.7,.810,0.3,1.2,1.5,1.9,0.6,0.2,1.3,2.0,12.5,WSB
Maurice Cheeks,14.6,1.5,2.7,.548,0.0,0.1,.000,1.5,2.6,.560,.548,0.7,0.8,.889,0.1,1.1,1.2,3.1,0.9,0.1,0.9,1.0,3.6,NJN
Pete Chilcutt,14.1,2.8,5.8,.485,0.0,0.0,,2.8,5.8,.485,.485,0.5,0.8,.696,1.4,1.9,3.3,1.1,0.4,0.4,0.9,1.7,6.1,SAC
Doug Christie,14.4,2.0,4.6,.425,0.1,0.5,.167,1.9,4.1,.457,.434,2.2,2.9,.758,1.0,1.2,2.2,2.3,1.0,0.2,2.2,2.3,6.2,LAL
Derrick Coleman,36.3,7.4,16.1,.460,0.3,1.3,.232,7.1,14.8,.480,.469,5.5,6.9,.808,3.3,8.0,11.2,3.6,1.2,1.7,3.2,2.8,20.7,NJN
Bimbo Coles,27.6,3.9,8.5,.464,0.5,1.7,.307,3.4,6.8,.503,.494,2.2,2.7,.805,0.7,1.3,2.0,4.6,1.0,0.1,1.3,2.5,10.6,MIA
Marty Conlon,10.2,1.8,3.7,.474,0.0,0.1,.000,1.8,3.6,.485,.474,1.2,1.8,.704,1.0,1.6,2.7,0.8,0.3,0.1,0.6,0.9,4.8,SAC
Lester Conner,13.6,0.9,2.0,.452,0.0,0.0,,0.9,2.0,.452,.452,0.6,0.6,.947,0.5,1.1,1.6,2.1,1.1,0.1,0.7,1.3,2.4,LAC
Duane Cooper,9.9,1.0,2.4,.392,0.1,0.5,.233,0.8,2.0,.430,.415,0.4,0.5,.714,0.2,0.6,0.8,2.3,0.3,0.0,1.1,1.0,2.4,LAL
Tyrone Corbin,31.2,4.7,9.3,.503,0.0,0.1,.000,4.7,9.3,.506,.503,2.2,2.7,.826,2.4,4.0,6.3,2.1,1.3,0.4,1.3,3.1,11.6,UTA
Chris Corchiani,10.5,1.4,2.4,.583,0.0,0.3,.000,1.4,2.1,.667,.583,1.6,2.1,.762,0.1,0.6,0.7,1.6,0.6,0.0,0.8,1.8,4.4,TOT
Chris Corchiani,11.3,1.4,2.6,.565,0.0,0.3,.000,1.4,2.2,.650,.565,1.8,2.3,.762,0.1,0.7,0.8,1.8,0.7,0.0,0.9,1.9,4.7,ORL
Chris Corchiani,3.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,WSB
Joe Courtney,8.7,1.1,2.7,.406,0.0,0.0,,1.1,2.7,.406,.406,0.6,0.8,.778,0.3,1.3,1.6,0.3,0.4,0.4,0.5,1.4,2.8,TOT
Joe Courtney,6.8,0.8,1.8,.444,0.0,0.0,,0.8,1.8,.444,.444,0.6,0.8,.750,0.4,0.0,0.4,0.2,0.4,0.2,0.6,1.8,2.2,CHI
Joe Courtney,10.0,1.3,3.3,.391,0.0,0.0,,1.3,3.3,.391,.391,0.6,0.7,.800,0.3,2.1,2.4,0.3,0.4,0.6,0.4,1.1,3.1,GSW
John Crotty,6.1,0.9,1.8,.514,0.1,0.4,.143,0.9,1.5,.603,.528,0.7,1.0,.684,0.1,0.3,0.4,1.4,0.3,0.0,0.8,0.7,2.6,UTA
,,,,,,,,,,,,,,,,,,,,,,,,
Terry Cummings,9.5,1.4,3.6,.379,0.0,0.0,,1.4,3.6,.379,.379,0.6,1.3,.500,0.8,1.6,2.4,0.5,0.1,0.1,0.3,2.1,3.4,SAS
Radisav Ćurčić,8.3,0.8,2.1,.390,0.0,0.0,,0.8,2.1,.390,.390,1.3,1.8,.722,0.9,1.6,2.5,0.6,0.4,0.1,0.4,1.5,2.9,DAL
Dell Curry,26.2,6.2,13.8,.452,1.2,3.0,.401,5.0,10.8,.466,.495,1.7,2.0,.866,0.6,2.9,3.6,2.3,1.1,0.3,1.6,1.9,15.3,CHH
Lloyd Daniels,20.4,3.7,8.4,.443,0.8,2.3,.333,2.9,6.1,.484,.488,0.9,1.3,.727,1.1,1.7,2.8,1.9,0.5,0.4,1.3,1.9,9.1,SAS
Brad Daugherty,37.9,7.3,12.8,.571,0.0,0.0,.500,7.3,12.8,.571,.571,5.5,6.9,.795,2.3,7.9,10.2,4.4,0.7,0.8,2.1,2.5,20.2,CLE
