name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,team
Tariq Abdul-Wahad,24.6,3.6,8.3,.435,0.1,0.4,.286,3.5,7.9,.443,.442,1.9,2.8,.691,1.5,2.3,3.8,1.0,1.0,0.3,1.4,2.5,9.3,SAC
Shareef Abdur-Rahim,40.4,7.7,17.9,.432,0.2,0.7,.306,7.5,17.1,.438,.438,7.4,8.8,.841,2.3,5.2,7.5,3.4,1.4,1.1,3.7,2.7,23.0,VAN
Cory Alexander,21.6,2.7,7.2,.373,0.8,2.9,.286,1.9,4.3,.432,.431,1.0,1.2,.841,0.2,1.9,2.1,3.3,1.0,0.1,1.9,2.1,7.3,DEN
Ray Allen,34.4,6.1,13.5,.450,1.5,4.2,.356,4.6,9.3,.492,.505,3.5,3.9,.903,1.1,3.1,4.2,3.6,1.1,0.1,2.4,2.3,17.1,MIL
Peter Aluma,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.5,1.0,2.0,1.0,SAC
Derek Anderson,25.7,3.3,8.3,.398,0.6,1.8,.304,2.7,6.4,.424,.432,3.6,4.3,.836,0.5,2.3,2.9,3.8,1.3,0.1,2.2,1.9,10.8,CLE
Kenny Anderson,29.7,4.7,10.5,.451,0.2,0.7,.250,4.6,9.8,.465,.459,2.5,3.0,.832,0.7,2.3,3.0,5.7,1.0,0.1,2.1,2.3,12.1,BOS
Nick Anderson,33.6,5.4,13.6,.395,2.0,5.9,.347,3.3,7.7,.433,.470,2.1,3.4,.611,1.1,4.8,5.9,1.9,1.4,0.3,1.8,1.5,14.9,ORL
Shandon Anderson,21.4,3.2,7.3,.446,0.3,0.8,.341,3.0,6.4,.460,.466,1.8,2.5,.712,1.0,1.7,2.6,1.1,0.8,0.2,1.3,1.8,8.5,UTA
Chris Anstey,11.5,1.2,3.4,.360,0.0,0.2,.000,1.2,3.2,.379,.360,0.8,1.2,.708,0.9,1.5,2.4,0.7,0.4,0.3,0.6,2.4,3.3,DAL
Greg Anthony,16.1,2.1,5.0,.414,1.0,2.5,.392,1.1,2.5,.437,.512,1.2,1.8,.697,0.3,1.0,1.3,2.0,1.3,0.1,1.1,1.5,6.4,POR
B.J. Armstrong,11.2,1.3,2.8,.455,0.2,0.5,.467,1.0,2.3,.452,.494,0.6,0.7,.857,0.1,1.2,1.2,1.9,0.4,0.0,0.8,1.0,3.3,TOT
B.J. Armstrong,17.8,2.1,4.3,.488,0.6,0.8,.750,1.5,3.5,.429,.558,0.9,1.0,.900,0.1,1.5,1.6,2.7,0.3,0.0,1.0,1.6,5.7,CHH
B.J. Armstrong,8.2,0.9,2.0,.422,0.0,0.3,.143,0.8,1.7,.474,.433,0.4,0.5,.818,0.0,1.0,1.0,1.5,0.4,0.0,0.7,0.7,2.2,ORL
Darrell Armstrong,30.0,4.6,10.4,.441,1.4,3.8,.365,3.2,6.7,.483,.507,3.2,3.6,.904,1.1,2.5,3.6,6.7,2.2,0.1,3.2,1.8,13.8,ORL
Keith Askins,12.6,0.6,1.9,.323,0.2,0.9,.276,0.4,1.0,.364,.387,0.2,0.2,.625,0.3,1.0,1.3,0.3,0.5,0.1,0.4,1.8,1.6,MIA
Stacey Augmon,18.2,1.6,3.6,.448,0.0,0.0,.000,1.6,3.6,.453,.448,1.1,1.6,.684,1.0,1.6,2.6,1.2,1.2,0.4,0.6,1.7,4.3,POR
Isaac Austin,25.7,3.8,9.2,.408,0.0,0.1,.286,3.7,9.1,.410,.411,2.1,3.2,.669,1.7,3.1,4.8,1.8,1.0,0.7,2.3,2.6,9.7,ORL
Anthony Avent,8.8,0.8,2.6,.308,0.0,0.0,,0.8,2.6,.308,.308,0.2,0.4,.500,1.6,0.8,2.4,0.2,0.4,0.0,1.4,1.2,1.8,UTA
Thurl Bailey,12.6,1.8,4.1,.446,0.0,0.0,.000,1.8,4.0,.451,.446,0.6,0.8,.735,0.8,1.3,2.2,0.6,0.2,0.7,0.6,1.8,4.2,UTA
Toby Bailey,9.2,1.3,3.2,.395,0.0,0.2,.200,1.2,3.0,.407,.401,0.3,0.5,.692,0.9,1.1,2.0,0.5,0.3,0.1,0.4,0.9,2.9,PHO
