name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,team
Arron Afflalo,27.1,3.3,7.1,.465,1.3,3.0,.434,2.0,4.1,.488,.557,0.9,1.2,.735,0.7,2.4,3.1,1.7,0.6,0.4,0.9,2.7,8.8,DEN
Alexis Ajinça,5.0,0.8,1.7,.500,0.0,0.0,,0.8,1.7,.500,.500,0.0,0.2,.000,0.2,0.5,0.7,0.0,0.2,0.2,0.3,0.8,1.7,CHA
LaMarcus Aldridge,37.5,7.4,15.0,.495,0.1,0.2,.313,7.4,14.8,.498,.497,2.9,3.9,.757,2.5,5.6,8.0,2.1,0.9,0.6,1.3,3.0,17.9,POR
Joe Alexander,3.6,0.1,0.8,.167,0.0,0.1,.000,0.1,0.6,.200,.167,0.3,0.4,.667,0.3,0.4,0.6,0.3,0.1,0.1,0.0,1.1,0.5,CHI
Malik Allen,8.9,0.9,2.3,.397,0.0,0.1,.167,0.9,2.2,.409,.401,0.2,0.3,.923,0.7,0.9,1.6,0.3,0.2,0.1,0.4,1.3,2.1,DEN
Ray Allen,35.2,5.8,12.2,.477,1.8,5.0,.363,4.0,7.2,.556,.551,2.9,3.2,.913,0.6,2.6,3.2,2.6,0.8,0.3,1.6,2.3,16.3,BOS
Tony Allen,16.5,2.4,4.7,.510,0.0,0.1,.000,2.4,4.6,.520,.510,1.3,2.2,.605,1.0,1.7,2.7,1.3,1.1,0.4,1.2,2.0,6.1,BOS
Rafer Alston,27.3,3.0,8.6,.348,1.1,3.2,.345,1.9,5.3,.349,.413,1.1,1.6,.728,0.3,2.2,2.5,3.4,1.0,0.2,1.8,2.0,8.2,TOT
Rafer Alston,28.4,3.5,10.3,.343,1.0,3.2,.322,2.5,7.0,.353,.394,1.6,2.0,.815,0.3,2.4,2.8,3.9,1.0,0.2,2.3,1.9,9.7,NJN
Rafer Alston,26.2,2.4,6.8,.355,1.2,3.2,.370,1.2,3.5,.341,.444,0.6,1.1,.556,0.2,2.0,2.2,2.9,0.9,0.2,1.4,2.1,6.6,MIA
Lou Amundson,14.8,1.9,3.5,.551,0.0,0.0,.000,1.9,3.5,.553,.551,0.8,1.6,.545,1.6,2.8,4.4,0.4,0.3,0.9,0.7,2.1,4.7,PHO
Chris Andersen,22.3,1.9,3.3,.566,0.0,0.0,.000,1.9,3.3,.573,.566,2.2,3.1,.695,1.9,4.4,6.4,0.4,0.6,1.9,0.8,2.3,5.9,DEN
David Andersen,14.1,2.3,5.4,.432,0.4,1.2,.346,1.9,4.2,.458,.472,0.7,1.1,.687,0.9,2.4,3.3,0.7,0.2,0.2,0.6,1.9,5.8,HOU
Antonio Anderson,15.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,OKC
Ryan Anderson,14.5,2.7,6.2,.436,1.2,3.3,.370,1.4,2.8,.514,.536,1.1,1.3,.866,1.1,2.1,3.2,0.6,0.4,0.2,0.9,1.3,7.7,ORL
Carmelo Anthony,38.2,10.0,21.8,.458,0.9,2.7,.316,9.1,19.1,.478,.478,7.4,8.9,.830,2.2,4.4,6.6,3.2,1.3,0.4,3.0,3.3,28.2,DEN
Joel Anthony,16.5,1.0,2.0,.478,0.0,0.0,,1.0,2.0,.478,.478,0.8,1.2,.717,1.5,1.6,3.1,0.2,0.3,1.4,0.6,2.0,2.7,MIA
Gilbert Arenas,36.5,7.9,19.3,.411,2.0,5.7,.348,5.9,13.6,.437,.462,4.8,6.5,.739,0.5,3.6,4.2,7.2,1.3,0.3,3.7,3.0,22.6,WAS
Trevor Ariza,36.5,5.5,13.9,.394,1.9,5.7,.334,3.6,8.2,.436,.462,2.1,3.2,.649,1.1,4.5,5.6,3.8,1.8,0.6,2.2,2.3,14.9,HOU
Hilton Armstrong,10.2,0.8,2.4,.354,0.0,0.0,.000,0.8,2.4,.359,.354,0.5,1.0,.469,0.8,1.6,2.5,0.6,0.5,0.4,0.7,1.8,2.2,TOT
Hilton Armstrong,13.3,1.1,2.8,.380,0.0,0.0,,1.1,2.8,.380,.380,0.7,1.6,.464,0.9,2.4,3.4,0.9,0.4,0.4,0.7,2.4,2.8,NOH
Hilton Armstrong,9.3,0.7,2.0,.333,0.0,0.0,,0.7,2.0,.333,.333,0.3,0.3,1.000,0.8,1.5,2.3,0.3,0.3,0.7,0.7,0.8,1.7,SAC
Hilton Armstrong,4.4,0.6,1.9,.294,0.0,0.1,.000,0.6,1.8,.313,.294,0.0,0.2,.000,0.6,0.1,0.7,0.3,0.6,0.0,0.6,1.1,1.1,HOU
Carlos Arroyo,22.0,2.5,5.2,.475,0.1,0.3,.280,2.4,4.9,.489,.484,1.1,1.3,.844,0.4,1.4,1.8,3.1,0.5,0.1,0.8,1.4,6.1,MIA
Darrell Arthur,14.3,2.0,4.6,.432,0.0,0.0,.000,2.0,4.5,.434,.432,0.5,0.9,.567,1.2,2.3,3.4,0.5,0.4,0.4,0.7,1.9,4.5,MEM
Chucky Atkins,16.1,1.4,3.9,.363,0.6,1.8,.301,0.9,2.1,.417,.433,0.6,0.7,.926,0.1,0.6,0.7,2.3,0.4,0.0,0.8,1.3,4.0,DET
D.J. Augustin,18.4,2.1,5.4,.386,0.9,2.2,.393,1.2,3.2,.381,.467,1.3,1.6,.779,0.1,1.1,1.2,2.4,0.6,0.1,0.9,1.6,6.4,CHA
Jeff Ayres,10.4,1.1,1.7,.662,0.0,0.0,,1.1,1.7,.662,.662,0.5,0.5,.900,0.6,1.9,2.5,0.0,0.2,0.4,0.3,1.9,2.7,POR
Kelenna Azubuike,25.7,5.3,9.8,.545,1.1,3.0,.370,4.2,6.8,.623,.602,2.1,3.1,.679,1.3,3.2,4.6,1.1,0.6,1.0,0.8,1.8,13.9,GSW
Renaldo Balkman,7.0,0.5,1.4,.333,0.0,0.5,.000,0.5,0.8,.545,.333,0.2,0.5,.333,0.3,1.5,1.8,0.5,0.6,0.2,0.5,1.2,1.1,DEN
Marcus Banks,11.1,1.8,3.3,.534,0.3,1.1,.292,1.5,2.2,.653,.582,1.1,1.3,.828,0.1,0.9,1.0,1.2,0.5,0.1,0.9,1.4,5.0,TOR
Leandro Barbosa,17.9,3.5,8.3,.425,1.0,3.1,.324,2.5,5.2,.485,.485,1.5,1.7,.877,0.3,1.3,1.6,1.5,0.5,0.3,1.0,1.6,9.5,PHO
J.J. Barea,19.8,3.0,6.8,.440,0.7,2.0,.357,2.3,4.7,.476,.493,1.0,1.2,.844,0.2,1.7,1.9,3.3,0.4,0.1,1.3,1.5,7.6,DAL
Andrea Bargnani,35.0,6.7,14.3,.470,1.5,4.1,.372,5.2,10.2,.509,.523,2.3,2.9,.774,1.3,4.9,6.2,1.2,0.3,1.4,1.5,2.7,17.2,TOR
Matt Barnes,25.9,3.3,6.9,.487,0.8,2.6,.319,2.5,4.3,.586,.546,1.3,1.8,.740,1.3,4.2,5.5,1.7,0.7,0.4,1.4,2.3,8.8,ORL
Earl Barron,33.1,4.3,9.7,.441,0.0,0.0,,4.3,9.7,.441,.441,3.1,4.1,.759,4.4,6.6,11.0,1.1,0.6,0.6,1.6,3.4,11.7,NYK
Brandon Bass,13.0,2.4,4.7,.511,0.0,0.0,,2.4,4.7,.511,.511,1.0,1.3,.825,1.1,1.5,2.5,0.4,0.2,0.5,0.6,1.4,5.8,ORL
Tony Battie,8.9,0.9,2.7,.350,0.1,0.3,.250,0.9,2.4,.361,.363,0.5,0.7,.700,0.3,1.3,1.5,0.2,0.3,0.1,0.2,1.3,2.4,NJN
Shane Battier,32.4,2.7,6.7,.398,1.5,4.2,.362,1.1,2.5,.458,.511,1.1,1.6,.726,1.1,3.6,4.7,2.4,0.8,1.1,1.0,2.1,8.0,HOU
Nicolas Batum,24.8,3.8,7.2,.519,1.5,3.6,.409,2.3,3.7,.625,.619,1.2,1.4,.843,0.9,2.9,3.8,1.2,0.6,0.7,0.7,2.2,10.1,POR
Jerryd Bayless,17.6,2.7,6.5,.414,0.4,1.2,.315,2.3,5.3,.437,.444,2.7,3.3,.831,0.2,1.4,1.6,2.3,0.4,0.1,1.3,2.1,8.5,POR
Michael Beasley,29.8,6.0,13.3,.450,0.4,1.3,.275,5.6,12.0,.469,.463,2.5,3.1,.800,1.6,4.8,6.4,1.3,1.0,0.6,1.7,2.8,14.8,MIA
Rodrigue Beaubois,12.5,2.8,5.3,.518,0.8,2.0,.409,2.0,3.4,.582,.594,0.8,0.9,.808,0.2,1.2,1.4,1.3,0.5,0.2,1.0,1.5,7.1,DAL
Marco Belinelli,17.0,2.3,5.7,.406,0.9,2.4,.380,1.4,3.3,.425,.485,1.5,1.8,.835,0.2,1.2,1.4,1.3,0.6,0.1,0.9,1.2,7.1,TOR
Charlie Bell,22.7,2.4,6.2,.381,1.0,2.8,.365,1.4,3.4,.395,.464,0.7,0.9,.716,0.4,1.4,1.9,1.5,0.5,0.2,0.8,1.9,6.5,MIL
Raja Bell,30.0,4.7,10.2,.459,2.0,4.5,.444,2.7,5.7,.471,.557,0.5,0.5,1.000,0.8,3.0,3.8,2.2,0.7,0.3,0.8,2.5,11.8,TOT
Raja Bell,31.4,4.8,11.0,.436,1.8,4.8,.375,3.0,6.2,.484,.518,0.6,0.6,1.000,1.0,3.2,4.2,2.0,0.8,0.4,1.0,2.6,12.0,CHA
Raja Bell,23.0,4.0,6.0,.667,3.0,3.0,1.000,1.0,3.0,.333,.917,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,11.0,GSW
Jonathan Bender,11.7,1.6,4.0,.400,0.6,1.6,.359,1.0,2.4,.426,.470,1.0,1.0,.923,0.6,1.5,2.1,0.6,0.1,0.7,1.1,1.3,4.7,NYK
Mike Bibby,27.4,3.4,8.1,.416,1.6,4.1,.389,1.8,4.0,.444,.514,0.9,1.0,.861,0.3,2.1,2.3,3.9,0.8,0.0,1.1,2.0,9.1,ATL
Andris Biedriņš,23.1,2.5,4.2,.591,0.0,0.0,,2.5,4.2,.591,.591,0.1,0.8,.160,1.9,5.9,7.8,1.7,0.6,1.3,1.0,3.5,5.0,GSW
Chauncey Billups,34.1,5.5,13.2,.418,2.2,5.6,.386,3.4,7.6,.441,.499,6.4,7.0,.910,0.3,2.8,3.1,5.6,1.1,0.1,2.4,2.1,19.5,DEN
DeJuan Blair,18.2,3.4,6.0,.556,0.0,0.0,.000,3.4,6.0,.558,.556,1.1,2.0,.547,2.4,4.0,6.4,0.8,0.6,0.5,1.4,2.7,7.8,SAS
Steve Blake,27.0,2.7,6.5,.416,1.5,3.7,.395,1.3,2.9,.443,.527,0.5,0.6,.750,0.3,2.1,2.3,4.8,0.7,0.1,1.6,1.5,7.3,TOT
