name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Dennis Rodman,SMALL FORWARD,25,DETROIT PISTONS,77,1,1155,213,391,0,1,74,126,163,169,56,38,48,93,166,500
Johnny Rogers,POWER FORWARD,23,SACRAMENTO KINGS,45,15,468,90,185,0,5,9,15,30,47,26,9,8,20,66,189
Tree Rollins,CENTER,31,ATLANTA HAWKS,75,58,1764,171,313,0,0,63,87,155,333,22,43,140,61,240,405
Dan Roundfield,POWER FORWARD,33,WASHINGTON BULLETS,36,0,669,90,220,1,5,57,72,64,106,39,11,16,49,77,238
Ron Rowan,SHOOTING GUARD,24,PORTLAND TRAIL BLAZERS,7,0,16,4,9,1,1,3,4,1,0,1,4,0,3,1,12
Jeff Ruland,POWER FORWARD,28,PHILADELPHIA 76ERS,5,2,116,19,28,0,0,9,12,12,16,10,0,4,10,13,47
Walker Russell,POINT GUARD,26,INDIANA PACERS,48,0,511,64,165,2,16,27,37,18,37,129,20,5,60,62,157
John Salley,CENTER,22,DETROIT PISTONS,82,2,1463,163,290,0,1,105,171,108,188,54,44,125,74,256,431
Ralph Sampson,POWER FORWARD,26,HOUSTON ROCKETS,43,32,1326,277,566,0,3,118,189,88,284,120,40,58,126,169,672
Mike Sanders,SMALL FORWARD,26,PHOENIX SUNS,82,4,1655,357,722,2,17,143,183,101,170,126,61,23,105,210,859
Danny Schayes,CENTER,27,DENVER NUGGETS,76,41,1556,210,405,0,0,229,294,120,260,85,20,74,95,266,649
Russ Schoene,POWER FORWARD,26,SEATTLE SUPERSONICS,63,0,579,71,190,2,13,29,46,52,65,27,20,11,42,94,173
Detlef Schrempf,SMALL FORWARD,24,DALLAS MAVERICKS,81,5,1711,265,561,33,69,193,260,87,216,161,50,16,110,224,756
John Schweitz,SHOOTING GUARD,26,DETROIT PISTONS,3,0,7,0,1,0,0,0,0,0,1,0,0,0,2,2,0
Byron Scott,SHOOTING GUARD,25,LOS ANGELES LAKERS,82,82,2729,554,1134,65,149,224,251,63,223,281,125,18,144,163,1397
Carey Scurry,SMALL FORWARD,24,UTAH JAZZ,69,5,753,123,247,4,13,94,134,97,101,57,55,54,56,124,344
Brad Sellers,POWER FORWARD,24,CHICAGO BULLS,80,17,1751,276,606,2,10,126,173,155,218,102,44,68,84,194,680
Purvis Short,SMALL FORWARD,29,GOLDEN STATE WARRIORS,34,15,950,240,501,4,17,137,160,55,82,86,45,7,68,103,621
Jerry Sichting,POINT GUARD,30,BOSTON CELTICS,78,15,1566,202,398,7,26,37,42,22,69,187,40,1,61,124,448
Jack Sikma,CENTER,31,MILWAUKEE BUCKS,82,82,2536,390,842,0,2,265,313,208,614,203,88,90,160,328,1045
McKinley Singleton,POINT GUARD,25,NEW YORK KNICKS,2,0,10,2,3,0,1,0,0,0,0,1,0,0,0,1,4
Scott Skiles,POINT GUARD,22,MILWAUKEE BUCKS,13,0,205,18,62,3,14,10,12,6,20,45,5,1,21,18,49
Clinton Smith,SHOOTING GUARD,23,GOLDEN STATE WARRIORS,41,0,341,50,117,0,2,27,36,26,30,45,13,1,26,36,127
Derek Smith,SHOOTING GUARD,25,SACRAMENTO KINGS,52,42,1658,338,757,9,33,178,228,60,122,204,46,23,126,184,863
Keith Smith,SHOOTING GUARD,22,MILWAUKEE BUCKS,42,4,461,57,150,3,9,21,28,13,19,43,25,3,30,74,138
Larry Smith,POWER FORWARD,29,GOLDEN STATE WARRIORS,80,78,2374,297,544,0,1,113,197,366,551,95,71,56,135,295,707
Otis Smith,SHOOTING GUARD,23,DENVER NUGGETS,28,0,168,33,79,0,2,12,21,17,17,22,1,1,19,30,78
Mike Smrek,CENTER,24,LOS ANGELES LAKERS,35,3,233,30,60,0,0,16,25,13,24,5,4,13,19,70,76
