name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Kareem Abdul-Jabbar,CENTER,37,LOS ANGELES LAKERS,79,79,2630,723,1207,0,1,289,395,162,460,249,63,162,197,238,1735
Alvan Adams,POWER FORWARD,30,PHOENIX SUNS,82,69,2136,476,915,0,0,250,283,153,347,308,115,48,197,254,1202
Mark Aguirre,SMALL FORWARD,25,DALLAS MAVERICKS,80,79,2699,794,1569,27,85,440,580,188,289,249,60,24,253,250,2055
Danny Ainge,SHOOTING GUARD,25,BOSTON CELTICS,75,73,2564,419,792,15,56,118,136,76,192,399,122,6,149,228,971
Chuck Aleksinas,CENTER,25,GOLDEN STATE WARRIORS,74,4,1114,161,337,0,1,55,75,87,183,36,15,15,72,171,377
J.J. Anderson,SMALL FORWARD,24,UTAH JAZZ,44,0,457,61,149,0,2,27,45,29,53,21,29,9,32,70,149
Ron Anderson,SMALL FORWARD,26,CLEVELAND CAVALIERS,36,7,520,84,195,1,2,41,50,39,49,34,9,7,34,40,210
John Bagley,POINT GUARD,24,CLEVELAND CAVALIERS,81,65,2401,338,693,3,26,125,167,54,237,697,129,5,207,132,804
James Bailey,POWER FORWARD,27,NEW YORK KNICKS,74,28,1297,156,349,0,1,73,108,122,222,39,30,50,100,286,385
Thurl Bailey,POWER FORWARD,23,UTAH JAZZ,80,68,2481,507,1034,1,1,197,234,153,372,138,51,105,152,215,1212
Greg Ballard,SMALL FORWARD,30,WASHINGTON BULLETS,82,77,2664,469,978,14,46,120,151,150,381,208,100,33,106,221,1072
Gene Banks,SMALL FORWARD,25,SAN ANTONIO SPURS,82,41,2091,289,493,1,3,199,257,133,312,234,65,13,140,220,778
Ken Bannister,POWER FORWARD,24,NEW YORK KNICKS,75,50,1404,209,445,0,0,91,192,108,222,39,38,40,141,279,509
Charles Barkley,POWER FORWARD,21,PHILADELPHIA 76ERS,82,60,2347,427,783,1,6,293,400,266,437,155,95,80,209,301,1148
Kent Benson,CENTER,30,DETROIT PISTONS,72,35,1401,201,397,0,3,76,94,103,221,93,53,44,68,207,478
Larry Bird,SMALL FORWARD,28,BOSTON CELTICS,80,77,3161,918,1760,56,131,403,457,164,678,531,129,98,248,208,2295
Otis Birdsong,SHOOTING GUARD,29,NEW JERSEY NETS,56,45,1842,495,968,4,21,161,259,60,88,232,84,7,117,145,1155
Rolando Blackman,SHOOTING GUARD,25,DALLAS MAVERICKS,81,80,2834,625,1230,6,20,342,413,107,193,289,61,16,162,96,1598
