name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Geoff Crompton,CENTER,25,PORTLAND TRAIL BLAZERS,6,0,33,4,8,0,0,1,5,7,11,2,0,2,5,4,9
Pat Cummings,CENTER,24,MILWAUKEE BUCKS,74,0,1084,248,460,0,2,99,140,97,195,62,31,19,114,192,595
Earl Cureton,CENTER,23,PHILADELPHIA 76ERS,52,6,528,93,205,0,1,33,64,51,104,25,20,23,29,68,219
Bob Dandridge,SMALL FORWARD,33,WASHINGTON BULLETS,23,0,545,101,237,0,1,28,39,19,64,60,16,9,33,54,230
Adrian Dantley,SMALL FORWARD,25,UTAH JAZZ,80,0,3417,909,1627,2,7,632,784,192,317,322,109,18,282,245,2452
Brad Davis,POINT GUARD,25,DALLAS MAVERICKS,56,0,1686,230,410,3,17,163,204,29,122,385,52,11,123,156,626
Johnny Davis,POINT GUARD,25,INDIANA PACERS,76,0,2536,426,917,4,33,238,299,56,114,480,95,14,167,179,1094
Monti Davis,POWER FORWARD,22,PHILADELPHIA 76ERS,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,2
Monti Davis,POWER FORWARD,22,DALLAS MAVERICKS,1,0,8,0,4,0,0,1,5,2,1,0,0,1,0,0,1
Ron Davis,SMALL FORWARD,26,,64,0,817,139,314,2,8,94,158,47,72,47,36,11,61,98,374
Walter Davis,SHOOTING GUARD,26,PHOENIX SUNS,78,0,2182,593,1101,7,17,209,250,63,137,302,97,12,222,192,1402
Darryl Dawkins,CENTER,24,PHILADELPHIA 76ERS,76,76,2088,423,697,0,0,219,304,106,439,109,38,112,220,316,1065
Larry Demic,POWER FORWARD,23,NEW YORK KNICKS,76,17,964,128,254,0,2,58,92,114,129,28,12,13,58,153,314
Coby Dietrick,CENTER,32,CHICAGO BULLS,82,0,1243,146,320,2,6,77,111,79,186,118,48,53,88,176,371
James Donaldson,CENTER,23,SEATTLE SUPERSONICS,68,0,980,129,238,0,0,101,170,107,202,42,8,74,68,79,359
Jacky Dorsey,SMALL FORWARD,26,SEATTLE SUPERSONICS,29,0,253,20,70,0,0,13,25,23,65,9,9,1,14,47,53
Leon Douglas,CENTER,26,KANSAS CITY KINGS,79,0,1356,185,323,0,3,102,186,150,234,69,25,38,90,251,472
John Drew,SMALL FORWARD,26,ATLANTA HAWKS,67,0,2075,500,1096,0,7,454,577,145,238,79,98,15,194,264,1454
Larry Drew,POINT GUARD,22,DETROIT PISTONS,76,0,1581,197,484,4,17,106,133,24,96,249,88,7,166,125,504
Ralph Drollinger,CENTER,26,DALLAS MAVERICKS,6,0,67,7,14,0,0,1,4,5,14,14,1,2,13,16,15
Terry Duerod,SMALL FORWARD,24,DALLAS MAVERICKS,18,0,337,74,161,2,6,18,27,15,24,30,12,4,25,19,168
Terry Duerod,SHOOTING GUARD,24,BOSTON CELTICS,32,0,114,30,73,6,10,13,14,2,3,6,5,0,10,8,79
Mike Dunleavy,SHOOTING GUARD,26,HOUSTON ROCKETS,74,0,1609,310,632,1,16,156,186,28,90,268,64,2,137,165,777
T.R. Dunn,SHOOTING GUARD,25,DENVER NUGGETS,82,0,1427,146,354,0,2,79,121,133,168,81,66,29,56,141,371
John Duren,POINT GUARD,22,UTAH JAZZ,40,0,458,33,101,0,1,5,9,8,27,54,18,2,37,54,71
James Edwards,CENTER,25,INDIANA PACERS,81,0,2375,511,1004,0,3,244,347,191,380,212,32,128,164,304,1266
Bob Elliott,CENTER,25,NEW JERSEY NETS,73,0,1320,214,419,1,2,121,202,104,157,129,34,16,119,175,550
Len Elmore,CENTER,28,MILWAUKEE BUCKS,72,0,925,76,212,0,0,54,75,68,140,69,37,52,44,178,206
Alex English,SMALL FORWARD,27,DENVER NUGGETS,81,0,3093,768,1555,3,5,390,459,273,373,290,106,100,241,255,1929
Julius Erving,SMALL FORWARD,30,PHILADELPHIA 76ERS,82,82,2874,794,1524,4,18,422,536,244,413,364,173,147,266,233,2014
Mike Evans,POINT GUARD,25,MILWAUKEE BUCKS,71,0,911,134,291,2,14,50,64,22,65,167,34,4,72,114,320
Eric Fernsten,CENTER,27,BOSTON CELTICS,45,0,279,38,79,0,0,20,30,29,33,10,6,7,20,29,96
Chris Ford,SHOOTING GUARD,32,BOSTON CELTICS,82,75,2723,314,707,36,109,64,87,72,91,295,100,23,127,212,728
Don Ford,SMALL FORWARD,28,CLEVELAND CAVALIERS,64,0,996,100,224,0,3,22,24,74,90,84,15,12,49,100,222
Phil Ford,POINT GUARD,24,KANSAS CITY KINGS,66,0,2287,424,887,11,36,294,354,26,102,580,99,6,241,190,1153
World B. Free,SHOOTING GUARD,27,GOLDEN STATE WARRIORS,65,0,2370,516,1157,5,31,528,649,48,111,361,85,11,195,183,1565
Tony Fuller,SHOOTING GUARD,22,DETROIT PISTONS,15,0,248,24,66,0,1,12,16,13,29,28,10,1,23,25,60
Mike Gale,POINT GUARD,30,SAN ANTONIO SPURS,35,0,636,86,164,1,3,19,26,7,45,99,55,2,39,56,192
Mike Gale,POINT GUARD,30,PORTLAND TRAIL BLAZERS,42,0,476,71,145,1,4,36,42,9,38,70,39,5,38,61,179
Calvin Garrett,SMALL FORWARD,24,HOUSTON ROCKETS,70,0,1638,188,415,1,3,50,62,85,179,132,50,10,90,167,427
Gus Gerard,SMALL FORWARD,27,KANSAS CITY KINGS,16,0,123,19,51,0,3,19,29,13,16,6,3,6,7,24,57
Gus Gerard,SMALL FORWARD,27,SAN ANTONIO SPURS,11,0,129,22,60,0,1,8,11,17,21,9,7,3,8,17,52
George Gervin,SHOOTING GUARD,28,SAN ANTONIO SPURS,82,82,2765,850,1729,9,35,512,620,126,293,260,94,56,251,212,2221
Artis Gilmore,CENTER,31,CHICAGO BULLS,82,82,2832,547,816,0,0,375,532,220,608,172,47,198,236,295,1469
Mike Glenn,POINT GUARD,25,NEW YORK KNICKS,82,6,1506,285,511,4,11,98,110,27,61,108,72,5,62,126,672
Mike Gminski,CENTER,21,NEW JERSEY NETS,56,0,1579,291,688,0,1,155,202,137,282,72,54,100,128,127,737
Glen Gondrezick,POWER FORWARD,25,DENVER NUGGETS,73,0,1077,155,329,0,2,112,137,136,171,83,91,20,69,185,422
Rickey Green,POINT GUARD,26,UTAH JAZZ,47,0,1307,176,366,0,1,70,97,30,86,235,75,1,83,123,422
Dave Greenwood,POWER FORWARD,23,CHICAGO BULLS,82,82,2710,481,989,0,2,217,290,243,481,218,77,124,192,282,1179
Kevin Grevey,SHOOTING GUARD,27,WASHINGTON BULLETS,75,0,2616,500,1103,45,136,244,290,67,152,300,68,17,144,161,1289
Paul Griffin,POWER FORWARD,27,SAN ANTONIO SPURS,82,0,1930,166,325,0,0,170,253,184,321,249,77,38,132,207,502
Darrell Griffith,SHOOTING GUARD,22,UTAH JAZZ,81,0,2867,716,1544,10,52,229,320,79,209,194,106,40,231,219,1671
Bob Gross,SMALL FORWARD,27,PORTLAND TRAIL BLAZERS,82,0,1934,253,479,0,9,135,159,126,202,251,90,67,151,238,641
Ernie Grunfeld,SMALL FORWARD,25,KANSAS CITY KINGS,79,0,1584,260,486,0,0,75,101,31,175,205,60,15,88,155,595
Roy Hamilton,POINT GUARD,23,PORTLAND TRAIL BLAZERS,1,0,5,1,3,0,0,1,2,2,1,0,0,0,1,1,3
Bill Hanzlik,SMALL FORWARD,23,SEATTLE SUPERSONICS,74,0,1259,138,289,1,5,119,150,67,86,111,58,20,84,168,396
Alan Hardy,SHOOTING GUARD,23,LOS ANGELES LAKERS,22,0,111,22,59,0,0,7,10,8,11,3,1,9,11,13,51
James Hardy,POWER FORWARD,24,UTAH JAZZ,23,0,509,52,111,0,0,11,20,39,94,36,21,20,23,58,115
Mike Harper,POWER FORWARD,23,PORTLAND TRAIL BLAZERS,55,0,461,56,136,0,3,37,85,28,65,17,23,20,32,73,149
Joe Hassett,SHOOTING GUARD,25,DALLAS MAVERICKS,17,0,280,59,142,10,40,10,13,11,14,18,5,0,11,21,138
Joe Hassett,SHOOTING GUARD,25,GOLDEN STATE WARRIORS,24,0,434,84,198,43,116,7,8,13,30,56,8,2,11,44,218
Steve Hawes,CENTER,30,ATLANTA HAWKS,74,0,2309,333,637,1,4,222,278,165,396,168,73,32,161,289,889
Elvin Hayes,POWER FORWARD,35,WASHINGTON BULLETS,81,0,2931,584,1296,0,10,271,439,235,554,98,68,171,189,300,1439
Gar Heard,POWER FORWARD,32,,78,0,1631,149,396,0,7,79,101,120,228,122,104,72,81,196,377
Gerald Henderson,POINT GUARD,25,BOSTON CELTICS,82,10,1608,261,579,1,16,113,157,43,89,213,79,12,160,177,636
Tom Henderson,SHOOTING GUARD,29,HOUSTON ROCKETS,66,0,1411,137,332,0,3,78,95,30,74,307,53,4,93,111,352
Keith Herron,SHOOTING GUARD,24,DETROIT PISTONS,80,0,2270,432,954,2,11,228,267,98,113,148,91,26,153,154,1094
Kenny Higgs,POINT GUARD,26,DENVER NUGGETS,72,0,1689,209,474,4,34,140,172,24,121,408,101,6,166,243,562
Johnny High,POINT GUARD,23,PHOENIX SUNS,81,0,1750,246,576,2,24,183,264,89,139,202,129,26,188,251,677
Armond Hill,POINT GUARD,27,ATLANTA HAWKS,24,0,624,39,116,0,1,42,50,10,41,118,26,3,58,60,120
Armond Hill,POINT GUARD,27,SEATTLE SUPERSONICS,51,0,1114,78,219,0,6,99,122,31,77,174,40,8,69,147,255
Brad Holland,SHOOTING GUARD,24,LOS ANGELES LAKERS,41,0,295,47,111,1,3,35,49,9,20,23,21,1,31,44,130
Lionel Hollins,POINT GUARD,27,PHILADELPHIA 76ERS,82,13,2154,327,696,2,15,125,171,47,144,352,104,18,207,205,781
Cedrick Hordges,POWER FORWARD,24,DENVER NUGGETS,68,0,1599,221,480,0,3,130,186,120,338,104,33,19,120,226,572
Phil Hubbard,POWER FORWARD,24,DETROIT PISTONS,80,0,2289,433,880,1,3,294,426,236,350,150,80,20,229,317,1161
Kim Hughes,CENTER,28,DENVER NUGGETS,8,0,159,11,25,0,0,1,2,19,31,11,11,14,11,33,23
Kim Hughes,CENTER,28,CLEVELAND CAVALIERS,45,0,331,16,45,0,0,0,0,29,48,24,17,21,33,73,32
Geoff Huston,POINT GUARD,23,DALLAS MAVERICKS,56,0,1892,385,789,1,4,128,185,33,66,277,45,6,148,113,899
Geoff Huston,POINT GUARD,23,CLEVELAND CAVALIERS,25,0,542,76,153,0,1,22,27,12,27,117,13,1,31,35,174
Dan Issel,CENTER,32,DENVER NUGGETS,80,0,2641,614,1220,2,12,519,684,229,447,158,83,53,130,249,1749
Tony Jackson,POINT GUARD,23,LOS ANGELES LAKERS,2,0,14,1,3,0,0,0,0,0,2,2,2,0,0,1,2
Abdul Jeelani,SMALL FORWARD,26,DALLAS MAVERICKS,66,0,1108,187,440,0,1,179,220,83,147,65,44,31,87,123,553
Clemon Johnson,CENTER,24,INDIANA PACERS,81,0,1643,235,466,0,1,112,189,173,295,144,44,119,121,185,582
Dennis Johnson,POINT GUARD,26,PHOENIX SUNS,79,0,2615,532,1220,11,51,411,501,160,203,291,136,61,208,244,1486
Eddie Johnson,SHOOTING GUARD,25,ATLANTA HAWKS,75,0,2693,573,1136,6,20,279,356,60,119,407,126,11,197,188,1431
George Johnson,CENTER,32,SAN ANTONIO SPURS,82,82,1935,164,347,0,0,80,109,215,387,92,47,278,110,273,408
George Johnson,POWER FORWARD,24,INDIANA PACERS,43,0,930,182,394,0,5,93,122,99,179,86,47,23,85,120,457
John Johnson,SMALL FORWARD,33,SEATTLE SUPERSONICS,80,0,2324,373,866,0,1,173,214,135,227,312,57,25,230,202,919
Lee Johnson,POWER FORWARD,23,HOUSTON ROCKETS,10,0,80,7,23,0,0,3,5,6,14,1,0,5,7,17,17
Lee Johnson,POWER FORWARD,23,DETROIT PISTONS,2,0,10,0,2,0,0,0,0,0,2,0,0,0,0,1,0
Magic Johnson,SHOOTING GUARD,21,LOS ANGELES LAKERS,37,0,1371,312,587,3,17,171,225,101,219,317,127,27,143,100,798
Marques Johnson,SMALL FORWARD,24,MILWAUKEE BUCKS,76,0,2542,636,1153,0,9,269,381,225,293,346,115,41,190,196,1541
Mickey Johnson,POWER FORWARD,28,MILWAUKEE BUCKS,82,82,2118,379,846,3,18,262,332,183,362,286,94,71,230,256,1023
Ollie Johnson,SMALL FORWARD,31,PHILADELPHIA 76ERS,40,0,372,87,158,1,6,27,31,8,47,30,20,2,25,45,202
Reggie Johnson,POWER FORWARD,23,SAN ANTONIO SPURS,79,0,1716,340,682,0,1,128,193,132,226,78,45,48,130,283,808
Vinnie Johnson,POINT GUARD,24,SEATTLE SUPERSONICS,81,0,2311,419,785,1,5,214,270,193,173,341,78,20,216,198,1053
Bobby Jones,POWER FORWARD,29,PHILADELPHIA 76ERS,81,0,2046,407,755,0,3,282,347,142,293,226,95,74,149,226,1096
Caldwell Jones,CENTER,30,PHILADELPHIA 76ERS,81,81,2639,218,485,0,0,148,193,200,613,122,53,134,168,271,584
Dwight Jones,POWER FORWARD,28,CHICAGO BULLS,81,9,1574,245,507,0,0,125,161,127,274,99,40,36,126,200,615
Edgar Jones,POWER FORWARD,24,NEW JERSEY NETS,60,0,950,189,357,0,4,146,218,92,171,43,36,81,101,185,524
Major Jones,POWER FORWARD,27,HOUSTON ROCKETS,68,0,1003,117,252,0,1,64,101,96,138,41,18,23,57,112,298
Eddie Jordan,POINT GUARD,26,NEW JERSEY NETS,14,0,239,30,73,3,10,24,32,5,13,46,24,1,23,29,87
Eddie Jordan,POINT GUARD,26,LOS ANGELES LAKERS,60,0,987,120,279,3,12,63,95,25,55,195,74,7,120,136,306
Walter Jordan,SMALL FORWARD,24,CLEVELAND CAVALIERS,30,0,207,29,75,0,0,10,17,23,19,11,11,5,17,35,68
Jeff Judkins,SMALL FORWARD,24,UTAH JAZZ,62,0,666,92,216,9,28,45,51,29,64,59,16,2,30,84,238
Clarence Kea,POWER FORWARD,21,DALLAS MAVERICKS,16,0,199,37,81,0,1,43,62,28,39,5,6,1,16,44,117
Rich Kelley,CENTER,27,PHOENIX SUNS,81,0,1686,196,387,0,2,175,231,131,310,282,79,63,209,210,567
Greg Kelser,SMALL FORWARD,23,DETROIT PISTONS,25,0,654,120,285,0,2,68,106,53,67,45,34,29,78,89,308
Larry Kenon,SMALL FORWARD,28,CHICAGO BULLS,77,70,2161,454,946,0,0,180,245,179,219,120,75,18,161,160,1088
Chad Kinch,SHOOTING GUARD,22,CLEVELAND CAVALIERS,29,0,247,38,96,0,0,4,5,7,17,35,9,5,22,24,80
Chad Kinch,SHOOTING GUARD,22,DALLAS MAVERICKS,12,0,106,14,45,0,0,10,13,0,9,10,2,1,8,9,38
Bernard King,SMALL FORWARD,24,GOLDEN STATE WARRIORS,81,0,2914,731,1244,2,6,307,437,178,373,287,72,34,265,304,1771
Reggie King,POWER FORWARD,23,KANSAS CITY KINGS,81,0,2743,472,867,0,0,264,386,235,551,122,102,41,164,227,1208
Billy Knight,SHOOTING GUARD,28,INDIANA PACERS,82,0,2385,546,1025,3,19,341,410,191,219,157,84,12,177,155,1436
Joel Kramer,POWER FORWARD,25,PHOENIX SUNS,82,0,1065,136,258,0,1,63,91,77,155,88,35,17,67,132,335
Wayne Kreklow,SHOOTING GUARD,24,BOSTON CELTICS,25,0,100,11,47,1,4,7,10,2,10,9,2,1,10,20,30
Kevin Kunnert,CENTER,29,PORTLAND TRAIL BLAZERS,55,0,842,101,216,0,0,42,54,98,189,67,17,32,50,143,244
Mitch Kupchak,POWER FORWARD,26,WASHINGTON BULLETS,82,0,1934,392,747,0,1,240,340,198,371,62,36,26,161,195,1024
Sam Lacey,CENTER,32,KANSAS CITY KINGS,82,0,2228,237,536,1,5,92,117,131,453,399,95,120,182,302,567
Tom LaGarde,POWER FORWARD,25,DALLAS MAVERICKS,82,82,2670,417,888,0,0,288,444,177,488,237,35,45,206,293,1122
Bill Laimbeer,CENTER,23,CLEVELAND CAVALIERS,81,0,2460,337,670,0,0,117,153,266,427,216,56,78,132,332,791
John Lambert,POWER FORWARD,28,CLEVELAND CAVALIERS,3,0,8,3,5,0,0,0,0,1,2,3,0,0,2,2,6
John Lambert,POWER FORWARD,28,KANSAS CITY KINGS,43,0,475,65,160,0,2,18,23,27,63,24,12,5,17,74,148
Mark Landsberger,POWER FORWARD,25,LOS ANGELES LAKERS,69,0,1086,164,327,0,1,62,116,152,225,27,19,6,65,135,390
Bob Lanier,CENTER,32,MILWAUKEE BUCKS,67,0,1753,376,716,1,1,208,277,128,285,179,73,81,139,184,961
Edmund Lawrence,CENTER,28,DETROIT PISTONS,3,0,19,5,8,0,0,2,4,2,2,1,1,0,1,6,12
Allen Leavell,POINT GUARD,23,HOUSTON ROCKETS,79,0,1686,258,548,2,17,124,149,30,104,384,97,15,189,160,642
Ron Lee,POINT GUARD,28,DETROIT PISTONS,82,0,1829,113,323,2,13,113,156,65,155,362,166,29,173,260,341
Ronnie Lester,POINT GUARD,22,CHICAGO BULLS,8,0,83,10,24,0,0,10,11,3,3,7,2,0,9,5,30
Scott Lloyd,CENTER,28,DALLAS MAVERICKS,72,0,2186,245,547,0,2,147,205,161,293,159,34,25,145,269,637
John Long,SHOOTING GUARD,24,DETROIT PISTONS,59,0,1750,441,957,2,11,160,184,95,102,106,95,22,151,164,1044
John Lucas,POINT GUARD,27,GOLDEN STATE WARRIORS,66,0,1919,222,506,4,24,107,145,34,120,464,83,2,185,140,555
Maurice Lucas,POWER FORWARD,28,NEW JERSEY NETS,68,0,2162,404,835,0,2,191,254,153,422,173,57,59,176,260,999
Ollie Mack,SHOOTING GUARD,23,CHICAGO BULLS,3,0,16,1,6,0,0,1,2,0,1,1,1,0,0,3,3
Ollie Mack,SHOOTING GUARD,23,DALLAS MAVERICKS,62,0,1666,278,600,0,9,79,123,92,137,162,55,7,70,114,635
Kyle Macy,POINT GUARD,23,PHOENIX SUNS,82,0,1469,272,532,12,51,107,119,44,88,160,76,5,95,120,663
Rick Mahorn,POWER FORWARD,22,WASHINGTON BULLETS,52,0,696,111,219,0,0,27,40,67,148,25,21,44,38,134,249
Moses Malone,CENTER,25,HOUSTON ROCKETS,80,0,3245,806,1545,1,3,609,804,474,706,141,83,150,308,223,2222
Wes Matthews,POINT GUARD,21,WASHINGTON BULLETS,45,0,1161,224,449,5,15,99,129,30,37,199,46,10,149,120,552
Wes Matthews,POINT GUARD,21,ATLANTA HAWKS,34,0,1105,161,330,0,6,103,123,16,56,212,61,7,112,122,425
Cedric Maxwell,SMALL FORWARD,25,BOSTON CELTICS,81,81,2730,441,750,0,1,352,450,222,303,219,79,68,180,256,1234
Scott May,SMALL FORWARD,26,CHICAGO BULLS,63,2,815,165,338,0,0,113,149,62,93,63,35,7,71,83,443
Bill Mayfield,SMALL FORWARD,23,GOLDEN STATE WARRIORS,7,0,54,8,18,0,0,1,2,7,2,1,0,1,3,8,17
Bob McAdoo,POWER FORWARD,29,DETROIT PISTONS,6,0,168,30,82,0,0,12,20,9,32,20,8,7,18,16,72
Bob McAdoo,POWER FORWARD,29,NEW JERSEY NETS,10,0,153,38,75,0,1,17,21,8,18,10,9,6,14,22,93
Andre McCarter,POINT GUARD,27,WASHINGTON BULLETS,43,0,448,51,135,2,8,18,24,16,23,73,14,0,24,36,122
Keith McCord,SHOOTING GUARD,23,WASHINGTON BULLETS,2,0,9,2,4,0,0,0,0,1,1,1,0,0,2,0,4
Jim McElroy,POINT GUARD,27,ATLANTA HAWKS,54,0,680,78,202,1,8,48,59,10,38,84,20,9,79,62,205
