name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Kareem Abdul-Jabbar,CENTER,33,LOS ANGELES LAKERS,80,0,2976,836,1457,0,1,423,552,197,624,272,59,228,249,244,2095
Tom Abernethy,SMALL FORWARD,26,GOLDEN STATE WARRIORS,10,0,39,1,3,0,0,2,3,1,7,1,1,0,2,5,4
Tom Abernethy,SMALL FORWARD,26,INDIANA PACERS,29,0,259,24,56,0,1,11,19,19,21,18,6,3,6,29,59
Alvan Adams,CENTER,26,PHOENIX SUNS,75,0,2054,458,870,0,0,199,259,157,389,344,106,69,226,226,1115
Darrell Allums,POWER FORWARD,22,DALLAS MAVERICKS,22,0,276,23,67,0,1,13,22,19,46,25,5,8,23,51,59
Tiny Archibald,POINT GUARD,32,BOSTON CELTICS,80,72,2820,382,766,0,9,342,419,36,140,618,75,18,265,201,1106
Dennis Awtrey,CENTER,32,SEATTLE SUPERSONICS,47,0,607,44,93,0,0,14,20,33,75,54,12,8,33,85,102
James Bailey,POWER FORWARD,23,SEATTLE SUPERSONICS,82,0,2539,444,889,1,2,256,361,192,415,98,74,143,219,332,1145
Greg Ballard,SMALL FORWARD,26,WASHINGTON BULLETS,82,0,2610,549,1186,7,32,166,196,167,413,195,118,39,117,194,1271
Mike Bantom,SMALL FORWARD,29,INDIANA PACERS,76,0,2375,431,882,0,6,199,281,150,277,240,80,85,197,284,1061
Billy Ray Bates,SHOOTING GUARD,24,PORTLAND TRAIL BLAZERS,77,0,1560,439,902,14,54,170,199,71,86,196,82,6,149,120,1062
Mel Bennett,POWER FORWARD,26,UTAH JAZZ,28,0,313,26,60,0,2,53,81,33,60,15,3,11,31,56,105
Kent Benson,CENTER,26,DETROIT PISTONS,59,0,1956,364,770,0,4,196,254,124,276,172,72,67,190,184,924
Henry Bibby,POINT GUARD,31,,73,0,1112,118,306,32,95,67,98,25,49,200,47,2,76,85,335
Larry Bird,POWER FORWARD,24,BOSTON CELTICS,82,82,3239,719,1503,20,74,283,328,191,704,451,161,63,289,239,1741
Otis Birdsong,SHOOTING GUARD,25,KANSAS CITY KINGS,71,0,2593,710,1306,10,35,317,455,119,139,233,93,18,173,172,1747
Norman Black,SHOOTING GUARD,23,DETROIT PISTONS,3,0,28,3,10,0,0,2,8,0,2,2,1,0,1,2,8
Ron Boone,SHOOTING GUARD,34,UTAH JAZZ,52,0,1146,160,371,11,39,75,94,17,67,161,33,8,111,126,406
Winford Boynes,SHOOTING GUARD,23,DALLAS MAVERICKS,44,0,757,121,313,0,0,45,55,24,51,37,23,16,69,79,287
Dudley Bradley,SHOOTING GUARD,23,INDIANA PACERS,82,0,1867,265,559,2,16,125,178,70,123,188,186,37,122,236,657
Mike Bratz,POINT GUARD,25,CLEVELAND CAVALIERS,80,0,2595,319,817,57,169,107,132,66,132,452,136,17,162,194,802
Jim Brewer,POWER FORWARD,29,LOS ANGELES LAKERS,78,0,1107,101,197,0,2,15,40,127,154,55,43,58,48,158,217
Ron Brewer,SHOOTING GUARD,25,PORTLAND TRAIL BLAZERS,29,0,548,95,246,1,3,26,34,13,20,55,34,9,38,42,217
Ron Brewer,SHOOTING GUARD,25,SAN ANTONIO SPURS,46,0,904,180,385,0,4,65,80,21,32,93,27,25,54,53,425
Junior Bridgeman,SMALL FORWARD,27,MILWAUKEE BUCKS,77,0,2215,537,1102,3,21,213,241,78,211,234,88,28,150,182,1290
Allan Bristow,SMALL FORWARD,29,UTAH JAZZ,82,0,2001,271,611,5,18,166,198,103,327,383,63,3,171,190,713
Dave Britton,POINT GUARD,22,WASHINGTON BULLETS,2,0,9,2,3,0,0,0,0,0,2,3,1,0,2,2,4
Michael Brooks,SMALL FORWARD,22,,82,0,2479,488,1018,0,6,226,320,210,232,208,99,31,163,234,1202
Fred Brown,SHOOTING GUARD,32,SEATTLE SUPERSONICS,78,0,1986,505,1035,23,64,173,208,53,122,233,88,13,131,141,1206
Lewis Brown,CENTER,25,WASHINGTON BULLETS,2,0,5,0,3,0,0,2,5,1,1,0,0,0,1,2,2
Rickey Brown,CENTER,22,GOLDEN STATE WARRIORS,45,0,580,83,162,0,0,16,21,52,114,21,9,14,31,103,182
Joe Bryant,POWER FORWARD,26,,82,0,2359,379,791,2,15,193,244,146,294,189,72,34,176,264,953
Quinn Buckner,POINT GUARD,26,MILWAUKEE BUCKS,82,82,2384,471,956,1,6,149,203,88,210,384,197,3,236,271,1092
Tom Burleson,CENTER,28,ATLANTA HAWKS,31,0,363,41,99,0,0,20,41,44,50,12,8,19,24,73,102
Don Buse,SHOOTING GUARD,30,INDIANA PACERS,58,0,1095,114,287,19,58,50,65,19,65,140,74,8,38,61,297
Marty Byrnes,SMALL FORWARD,24,DALLAS MAVERICKS,72,0,1360,216,451,9,20,120,157,74,103,113,29,17,61,126,561
Mack Calvin,POINT GUARD,33,CLEVELAND CAVALIERS,21,0,128,13,39,1,5,25,35,2,10,28,5,0,17,13,52
Austin Carr,SHOOTING GUARD,32,DALLAS MAVERICKS,8,0,77,7,28,0,0,2,4,4,5,9,1,0,9,10,16
Austin Carr,SHOOTING GUARD,32,WASHINGTON BULLETS,39,0,580,80,206,0,7,32,50,18,34,49,14,2,32,43,192
Kenny Carr,POWER FORWARD,25,CLEVELAND CAVALIERS,81,0,2615,469,918,0,4,292,409,260,575,192,76,42,231,296,1230
M.L. Carr,SMALL FORWARD,30,BOSTON CELTICS,41,7,655,97,216,1,14,53,67,26,57,56,30,18,47,74,248
Joe Barry Carroll,CENTER,22,GOLDEN STATE WARRIORS,82,0,2919,616,1254,0,2,315,440,274,485,117,50,121,243,313,1547
Butch Carter,SMALL FORWARD,22,LOS ANGELES LAKERS,54,0,672,114,247,3,10,70,95,34,31,52,23,1,50,99,301
Reggie Carter,SHOOTING GUARD,23,NEW YORK KNICKS,60,0,536,59,179,0,3,51,69,30,39,76,22,2,38,68,169
Bill Cartwright,CENTER,23,NEW YORK KNICKS,82,81,2925,619,1118,0,1,408,518,161,452,111,48,83,200,259,1646
Harvey Catchings,POWER FORWARD,29,MILWAUKEE BUCKS,77,0,1635,134,300,0,0,59,92,154,319,99,33,184,105,284,327
Maurice Cheeks,POINT GUARD,24,PHILADELPHIA 76ERS,81,81,2415,310,581,3,8,140,178,67,178,560,193,39,174,231,763
Phil Chenier,SHOOTING GUARD,30,GOLDEN STATE WARRIORS,9,0,82,11,33,1,3,6,6,1,7,7,0,0,4,10,29
Jim Chones,POWER FORWARD,31,LOS ANGELES LAKERS,82,0,2562,378,751,0,4,126,193,180,477,153,39,96,159,324,882
Art Collins,SHOOTING GUARD,26,ATLANTA HAWKS,29,0,395,35,99,0,2,24,36,19,22,25,11,1,32,35,94
Don Collins,SMALL FORWARD,22,ATLANTA HAWKS,47,0,1184,230,530,0,3,137,162,96,91,115,69,11,107,166,597
Don Collins,SMALL FORWARD,22,WASHINGTON BULLETS,34,0,661,130,281,0,3,74,110,33,48,75,35,14,67,93,334
Doug Collins,SHOOTING GUARD,29,PHILADELPHIA 76ERS,12,12,329,62,126,0,0,24,29,6,23,42,7,4,22,23,148
Darwin Cook,SHOOTING GUARD,22,NEW JERSEY NETS,81,0,1980,383,819,6,25,132,180,96,140,297,141,36,176,197,904
Jeff Cook,SMALL FORWARD,24,PHOENIX SUNS,79,0,2192,286,616,0,5,100,155,170,297,201,82,54,146,236,672
Michael Cooper,SHOOTING GUARD,24,LOS ANGELES LAKERS,81,0,2625,321,654,4,19,117,149,121,215,332,133,78,164,249,763
Wayne Cooper,CENTER,24,UTAH JAZZ,71,0,1420,213,471,1,3,62,90,166,274,52,18,51,77,219,489
Dave Corzine,CENTER,24,SAN ANTONIO SPURS,82,0,1960,366,747,0,3,125,175,228,408,117,42,99,131,212,857
Charlie Criss,POINT GUARD,32,ATLANTA HAWKS,66,0,1708,220,485,1,21,185,214,26,74,283,61,3,134,87,626
