name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Kareem Abdul-Jabbar,CENTER,35,LOS ANGELES LAKERS,79,79,2554,722,1228,0,2,278,371,167,425,200,61,170,200,220,1722
Alvan Adams,CENTER,28,PHOENIX SUNS,80,75,2447,477,981,1,3,180,217,161,387,376,114,74,242,287,1135
Mark Aguirre,SMALL FORWARD,23,DALLAS MAVERICKS,81,75,2784,767,1589,16,76,429,589,191,317,332,80,26,261,247,1979
Danny Ainge,SHOOTING GUARD,23,BOSTON CELTICS,80,76,2048,357,720,5,29,72,97,83,131,251,109,6,98,259,791
Dwight Anderson,POINT GUARD,22,DENVER NUGGETS,5,0,33,7,14,0,0,7,10,0,2,3,1,0,5,7,21
J.J. Anderson,SMALL FORWARD,22,PHILADELPHIA 76ERS,13,0,48,8,22,0,1,1,3,4,8,1,1,0,5,6,17
J.J. Anderson,SMALL FORWARD,22,UTAH JAZZ,52,2,1154,182,357,0,3,99,172,115,167,66,62,21,74,147,463
Richard Anderson,CENTER,22,,78,5,1274,174,431,7,19,48,69,111,161,120,57,26,93,170,403
Tiny Archibald,POINT GUARD,34,BOSTON CELTICS,66,19,1811,235,553,5,24,220,296,25,66,409,38,4,163,110,695
John Bagley,POINT GUARD,22,CLEVELAND CAVALIERS,68,3,990,161,373,0,14,64,84,17,79,167,54,5,118,74,386
James Bailey,POWER FORWARD,25,NEW JERSEY NETS,6,0,50,9,18,0,0,2,2,3,3,2,1,1,6,15,20
James Bailey,POWER FORWARD,25,HOUSTON ROCKETS,69,39,1715,376,756,0,1,224,320,168,300,65,42,59,190,256,976
Greg Ballard,SMALL FORWARD,28,WASHINGTON BULLETS,78,78,2840,603,1274,13,37,182,233,123,385,262,135,25,157,176,1401
Gene Banks,POWER FORWARD,23,SAN ANTONIO SPURS,81,81,2722,505,919,0,5,196,278,222,390,279,78,21,171,229,1206
Billy Ray Bates,SHOOTING GUARD,26,WASHINGTON BULLETS,15,3,277,53,129,2,5,10,20,10,8,14,13,3,12,18,118
Billy Ray Bates,SHOOTING GUARD,26,LOS ANGELES LAKERS,4,0,27,2,16,0,0,1,2,1,0,0,1,0,0,1,5
Dave Batton,CENTER,26,WASHINGTON BULLETS,54,5,558,85,191,0,3,8,17,45,74,29,15,13,28,56,178
Kent Benson,CENTER,28,DETROIT PISTONS,21,15,599,85,182,0,1,38,50,53,102,49,14,17,35,61,208
Larry Bird,POWER FORWARD,26,BOSTON CELTICS,79,79,2982,747,1481,22,77,351,418,193,677,458,148,71,240,197,1867
Otis Birdsong,SHOOTING GUARD,27,NEW JERSEY NETS,62,54,1885,426,834,2,6,82,145,53,97,239,85,16,114,155,936
Rolando Blackman,SHOOTING GUARD,23,DALLAS MAVERICKS,75,62,2349,513,1042,3,15,297,381,108,185,185,37,29,118,116,1326
Charles Bradley,SHOOTING GUARD,23,BOSTON CELTICS,51,5,532,69,176,0,3,46,90,30,48,28,32,27,42,84,184
Dudley Bradley,SHOOTING GUARD,25,CHICAGO BULLS,58,11,683,82,159,1,5,36,45,27,78,106,49,10,59,91,201
Brad Branson,POWER FORWARD,24,INDIANA PACERS,62,2,680,131,308,0,1,76,108,73,100,46,27,26,45,81,338
Mike Bratz,POINT GUARD,27,CHICAGO BULLS,15,0,140,14,42,1,8,10,13,3,16,23,7,0,14,20,39
Ron Brewer,SHOOTING GUARD,27,CLEVELAND CAVALIERS,21,18,563,98,245,0,3,44,51,9,28,27,20,6,25,27,240
Ron Brewer,SHOOTING GUARD,27,GOLDEN STATE WARRIORS,53,34,1401,246,562,7,15,98,119,50,57,69,70,19,72,96,597
Junior Bridgeman,SMALL FORWARD,29,MILWAUKEE BUCKS,70,5,1855,421,856,1,13,164,196,44,202,207,40,9,122,155,1007
Allan Bristow,SMALL FORWARD,31,DALLAS MAVERICKS,37,0,371,44,99,6,13,10,14,24,35,70,6,1,31,46,104
Jim Brogan,SHOOTING GUARD,24,,58,0,466,91,213,3,13,34,43,33,29,66,26,9,43,79,219
Michael Brooks,SMALL FORWARD,24,,82,26,2457,402,830,5,15,193,277,239,282,262,112,39,177,297,1002
Fred Brown,POINT GUARD,34,SEATTLE SUPERSONICS,80,1,1432,371,714,14,32,58,72,32,65,242,59,13,110,98,814
Rickey Brown,CENTER,24,GOLDEN STATE WARRIORS,50,7,743,118,245,0,2,40,65,56,122,16,8,21,60,126,276
Rickey Brown,CENTER,24,ATLANTA HAWKS,26,0,305,49,104,0,1,25,40,35,53,9,5,5,22,46,123
Joe Bryant,SMALL FORWARD,28,HOUSTON ROCKETS,81,56,2055,344,768,8,36,116,165,88,189,186,82,30,177,258,812
Quinn Buckner,SHOOTING GUARD,28,BOSTON CELTICS,72,56,1565,248,561,0,4,74,117,62,125,275,108,5,159,195,570
Don Buse,POINT GUARD,32,PORTLAND TRAIL BLAZERS,41,1,643,72,182,9,35,41,46,19,35,115,44,2,25,60,194
Marty Byrnes,SMALL FORWARD,26,INDIANA PACERS,80,12,1436,157,374,6,26,71,95,75,116,179,41,6,73,149,391
Kenny Carr,POWER FORWARD,27,PORTLAND TRAIL BLAZERS,82,26,2331,362,717,2,6,255,366,182,407,116,62,42,185,306,981
M.L. Carr,SMALL FORWARD,32,BOSTON CELTICS,77,0,883,135,315,3,19,60,81,51,86,71,48,10,79,140,333
Joe Barry Carroll,CENTER,24,GOLDEN STATE WARRIORS,79,79,2988,785,1529,0,3,337,469,220,468,169,108,155,285,260,1907
Butch Carter,SHOOTING GUARD,24,INDIANA PACERS,81,28,1716,354,706,17,51,124,154,62,88,194,78,13,118,207,849
Bill Cartwright,CENTER,25,NEW YORK KNICKS,82,82,2468,455,804,0,0,380,511,185,405,136,41,127,204,315,1290
Harvey Catchings,CENTER,31,MILWAUKEE BUCKS,74,33,1554,90,197,0,0,62,92,132,276,77,26,148,83,224,242
Tom Chambers,POWER FORWARD,23,,79,79,2665,519,1099,0,8,353,488,218,301,192,79,57,234,333,1391
Maurice Cheeks,POINT GUARD,26,PHILADELPHIA 76ERS,79,79,2465,404,745,1,6,181,240,53,156,543,184,31,179,182,990
Don Collins,SMALL FORWARD,24,WASHINGTON BULLETS,65,21,1575,332,635,0,6,101,136,116,94,132,87,30,146,166,765
Lester Conner,POINT GUARD,23,GOLDEN STATE WARRIORS,75,10,1416,145,303,0,4,79,113,69,152,253,116,7,99,141,369
Darwin Cook,POINT GUARD,24,NEW JERSEY NETS,82,47,2625,443,986,8,38,186,242,73,167,448,194,48,238,213,1080
Jeff Cook,POWER FORWARD,26,PHOENIX SUNS,45,2,551,61,142,0,2,41,54,44,85,58,12,13,56,89,163
Jeff Cook,POWER FORWARD,26,CLEVELAND CAVALIERS,30,20,782,87,162,0,1,38,50,75,131,44,27,18,49,92,212
Joe Cooper,CENTER,25,LOS ANGELES LAKERS,2,0,11,1,4,0,0,0,0,2,0,0,1,1,3,3,2
Joe Cooper,CENTER,25,WASHINGTON BULLETS,5,0,47,5,9,0,0,5,9,4,9,2,0,0,6,7,15
Joe Cooper,CENTER,25,,13,4,275,31,59,0,0,11,20,36,35,15,8,19,23,39,73
Michael Cooper,SHOOTING GUARD,26,LOS ANGELES LAKERS,82,3,2148,266,497,5,21,102,130,82,192,315,115,50,128,208,639
