name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Kareem Abdul-Jabbar,CENTER,36,LOS ANGELES LAKERS,80,80,2622,716,1238,0,1,285,394,169,418,211,55,143,221,211,1717
Alvan Adams,CENTER,29,PHOENIX SUNS,70,13,1452,269,582,0,4,132,160,118,201,219,73,31,117,195,670
Mark Aguirre,SMALL FORWARD,24,DALLAS MAVERICKS,79,79,2900,925,1765,15,56,465,621,161,308,358,80,22,285,246,2330
Danny Ainge,SHOOTING GUARD,24,BOSTON CELTICS,71,3,1154,166,361,6,22,46,56,29,87,162,41,4,70,143,384
J.J. Anderson,SMALL FORWARD,23,UTAH JAZZ,48,0,311,55,130,0,3,12,29,38,25,22,15,9,20,28,122
Richard Anderson,POWER FORWARD,23,DENVER NUGGETS,78,17,1380,272,638,3,19,116,150,136,270,193,46,28,109,183,663
Tiny Archibald,POINT GUARD,35,MILWAUKEE BUCKS,46,46,1038,136,279,4,18,64,101,16,60,160,33,0,78,78,340
Ken Austin,SMALL FORWARD,22,DETROIT PISTONS,7,0,28,6,13,0,0,0,0,2,1,1,1,1,3,7,12
John Bagley,POINT GUARD,23,CLEVELAND CAVALIERS,76,19,1712,257,607,2,17,157,198,49,107,333,78,4,170,113,673
James Bailey,POWER FORWARD,26,HOUSTON ROCKETS,73,0,1174,254,517,0,1,138,192,104,190,79,33,40,101,197,646
Thurl Bailey,POWER FORWARD,22,UTAH JAZZ,81,54,2009,302,590,0,0,88,117,115,349,129,38,122,105,193,692
Greg Ballard,SMALL FORWARD,29,WASHINGTON BULLETS,82,82,2701,510,1061,2,15,166,208,140,348,290,94,35,142,214,1188
Gene Banks,POWER FORWARD,24,SAN ANTONIO SPURS,80,66,2600,424,747,1,6,200,270,204,378,254,105,23,166,256,1049
Dave Batton,CENTER,27,SAN ANTONIO SPURS,4,0,31,5,10,0,0,0,0,1,3,3,0,3,4,5,10
Kent Benson,CENTER,29,DETROIT PISTONS,82,58,1734,248,451,0,1,83,101,117,292,130,71,53,79,230,579
Larry Bird,POWER FORWARD,27,BOSTON CELTICS,79,77,3028,758,1542,18,73,374,421,181,615,520,144,69,237,197,1908
Otis Birdsong,SHOOTING GUARD,28,NEW JERSEY NETS,69,57,2168,583,1147,5,20,194,319,74,96,266,86,17,170,180,1365
Rolando Blackman,SHOOTING GUARD,24,DALLAS MAVERICKS,81,81,3025,721,1320,1,11,372,458,124,249,288,56,37,169,127,1815
Tom Boswell,POWER FORWARD,30,UTAH JAZZ,38,0,261,28,52,1,1,16,21,28,36,16,9,0,13,58,73
Charles Bradley,SHOOTING GUARD,24,SEATTLE SUPERSONICS,8,0,39,3,7,0,0,5,7,0,3,5,0,1,8,6,11
Mike Bratz,POINT GUARD,28,GOLDEN STATE WARRIORS,82,0,1428,213,521,15,51,120,137,41,102,252,84,6,109,155,561
Randy Breuer,CENTER,23,MILWAUKEE BUCKS,57,8,472,68,177,0,0,32,46,48,61,17,11,38,35,98,168
Ron Brewer,SHOOTING GUARD,28,GOLDEN STATE WARRIORS,13,3,210,27,58,0,1,11,17,5,8,6,6,5,7,10,65
Ron Brewer,SHOOTING GUARD,28,SAN ANTONIO SPURS,40,5,782,152,345,3,13,41,50,17,33,44,18,16,33,54,348
Junior Bridgeman,SMALL FORWARD,30,MILWAUKEE BUCKS,81,10,2431,509,1094,6,31,196,243,80,252,265,53,14,148,224,1220
Michael Brooks,SMALL FORWARD,25,,47,30,1405,213,445,0,5,104,151,142,200,88,50,14,78,125,530
Fred Brown,SHOOTING GUARD,35,SEATTLE SUPERSONICS,71,1,1129,258,506,9,34,77,86,14,48,194,49,2,70,84,602
Rickey Brown,CENTER,25,ATLANTA HAWKS,68,3,785,94,201,0,0,48,65,67,114,29,18,23,53,161,236
Wallace Bryant,CENTER,24,CHICAGO BULLS,29,0,317,52,133,0,0,14,33,37,43,13,9,11,16,48,118
Quinn Buckner,POINT GUARD,29,BOSTON CELTICS,79,0,1249,138,323,0,6,48,74,41,96,214,84,3,100,187,324
Don Buse,POINT GUARD,33,KANSAS CITY KINGS,76,10,1327,150,352,18,59,63,80,29,87,303,86,1,87,62,381
Kenny Carr,POWER FORWARD,28,PORTLAND TRAIL BLAZERS,82,57,2455,518,923,0,5,247,367,208,434,157,68,33,202,274,1283
M.L. Carr,SMALL FORWARD,33,BOSTON CELTICS,60,1,585,70,171,3,15,42,48,26,49,49,17,4,46,67,185
Joe Barry Carroll,CENTER,25,GOLDEN STATE WARRIORS,80,80,2962,663,1390,0,1,313,433,235,401,198,103,142,268,244,1639
Butch Carter,SHOOTING GUARD,25,INDIANA PACERS,73,54,2045,413,862,15,46,136,178,70,83,206,128,13,141,211,977
Howard Carter,SHOOTING GUARD,22,DENVER NUGGETS,55,5,688,145,316,5,19,47,61,38,48,71,19,4,42,81,342
Bill Cartwright,CENTER,26,NEW YORK KNICKS,77,77,2487,453,808,0,1,404,502,195,454,107,44,97,200,262,1310
Harvey Catchings,POWER FORWARD,32,MILWAUKEE BUCKS,69,3,1156,61,153,0,1,22,42,89,182,43,25,81,57,172,144
Tom Chambers,POWER FORWARD,24,SEATTLE SUPERSONICS,82,44,2570,554,1110,0,12,375,469,219,313,133,47,51,192,309,1483
Maurice Cheeks,POINT GUARD,27,PHILADELPHIA 76ERS,75,75,2494,386,702,8,20,170,232,44,161,478,171,20,182,196,950
Carlos Clark,SHOOTING GUARD,23,BOSTON CELTICS,31,0,127,19,52,0,2,16,18,7,10,17,8,1,12,13,54
Don Collins,SHOOTING GUARD,25,GOLDEN STATE WARRIORS,61,6,957,187,387,1,5,65,89,62,67,67,43,14,80,119,440
Leroy Combs,SMALL FORWARD,23,INDIANA PACERS,48,0,446,81,163,0,3,56,91,19,37,38,23,18,46,49,218
Lester Conner,SHOOTING GUARD,24,GOLDEN STATE WARRIORS,82,82,2573,360,730,1,6,186,259,132,173,401,162,12,143,176,907
Darwin Cook,POINT GUARD,25,NEW JERSEY NETS,82,31,1870,304,687,11,46,95,126,51,105,356,164,36,142,184,714
Jeff Cook,CENTER,27,CLEVELAND CAVALIERS,81,21,1950,188,387,1,2,94,130,174,310,123,68,47,91,282,471
Michael Cooper,SHOOTING GUARD,27,LOS ANGELES LAKERS,82,9,2387,273,549,38,121,155,185,53,209,482,113,67,148,267,739
Wayne Cooper,CENTER,27,PORTLAND TRAIL BLAZERS,81,38,1662,304,663,0,7,185,230,176,300,76,26,106,110,247,793
Dave Corzine,CENTER,27,CHICAGO BULLS,82,82,2674,385,824,3,9,231,275,169,406,202,58,120,175,227,1004
Charlie Criss,POINT GUARD,35,MILWAUKEE BUCKS,6,0,107,11,30,1,6,7,11,2,7,17,5,0,4,7,30
Charlie Criss,POINT GUARD,35,ATLANTA HAWKS,9,0,108,9,22,0,0,5,5,3,8,21,3,0,6,4,23
Geoff Crompton,CENTER,28,CLEVELAND CAVALIERS,7,0,23,1,8,0,0,3,6,6,3,1,1,1,4,4,5
Russell Cross,CENTER,22,GOLDEN STATE WARRIORS,45,0,354,64,112,0,0,38,91,35,47,22,12,7,19,58,166
Pat Cummings,POWER FORWARD,27,DALLAS MAVERICKS,80,80,2492,452,915,0,2,141,190,151,507,158,64,23,146,282,1045
Terry Cummings,POWER FORWARD,22,,81,80,2907,737,1491,0,3,380,528,323,454,139,92,57,218,298,1854
Earl Cureton,CENTER,26,DETROIT PISTONS,73,0,907,81,177,0,1,31,59,86,201,36,24,31,55,143,193
Quintin Dailey,SHOOTING GUARD,23,CHICAGO BULLS,82,42,2449,583,1229,4,32,321,396,61,174,254,109,11,220,218,1491
Adrian Dantley,SMALL FORWARD,28,UTAH JAZZ,79,79,2984,802,1438,1,4,813,946,179,269,310,61,4,263,201,2418
Brad Davis,POINT GUARD,28,DALLAS MAVERICKS,81,81,2665,345,651,7,38,199,238,41,146,561,94,13,166,218,896
Charles Davis,SMALL FORWARD,25,WASHINGTON BULLETS,46,0,467,103,218,1,9,24,39,34,69,30,14,10,36,58,231
