name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Kareem Abdul-Jabbar,CENTER,34,LOS ANGELES LAKERS,76,76,2677,753,1301,0,3,312,442,172,487,225,63,207,230,224,1818
Alvan Adams,CENTER,27,PHOENIX SUNS,79,75,2393,507,1027,0,1,182,233,138,448,356,114,78,196,269,1196
Mark Aguirre,SMALL FORWARD,22,DALLAS MAVERICKS,51,20,1468,381,820,25,71,168,247,89,160,164,37,22,135,152,955
Danny Ainge,SHOOTING GUARD,22,BOSTON CELTICS,53,1,564,79,221,5,17,56,65,25,31,87,37,3,53,86,219
Tiny Archibald,POINT GUARD,33,BOSTON CELTICS,68,51,2167,308,652,6,16,236,316,25,91,541,52,3,178,131,858
Dennis Awtrey,CENTER,33,PORTLAND TRAIL BLAZERS,10,3,121,5,15,0,0,5,9,7,7,8,1,2,6,28,15
Carl Bailey,CENTER,23,PORTLAND TRAIL BLAZERS,1,0,7,1,1,0,0,0,0,0,0,0,0,0,2,2,2
James Bailey,POWER FORWARD,24,SEATTLE SUPERSONICS,10,0,180,31,65,0,0,4,11,17,31,13,3,7,19,42,66
James Bailey,POWER FORWARD,24,NEW JERSEY NETS,67,0,1288,230,440,0,0,133,213,110,233,52,39,76,120,228,593
Greg Ballard,SMALL FORWARD,27,WASHINGTON BULLETS,79,79,2946,621,1307,9,22,235,283,136,497,250,137,22,119,204,1486
Gene Banks,SMALL FORWARD,22,SAN ANTONIO SPURS,80,4,1700,311,652,0,8,145,212,157,254,147,55,17,106,199,767
Mike Bantom,SMALL FORWARD,30,INDIANA PACERS,39,37,1037,178,406,1,3,101,153,87,127,68,38,24,85,139,458
Mike Bantom,SMALL FORWARD,30,PHILADELPHIA 76ERS,43,1,979,156,306,1,3,67,114,87,139,46,25,37,64,133,380
Billy Ray Bates,SHOOTING GUARD,25,PORTLAND TRAIL BLAZERS,75,0,1229,327,692,12,41,166,211,53,55,111,41,5,93,100,832
Mel Bennett,POWER FORWARD,27,CLEVELAND CAVALIERS,3,0,23,2,4,0,0,1,6,1,2,0,1,0,4,2,5
Kent Benson,CENTER,27,DETROIT PISTONS,75,72,2467,405,802,3,11,127,158,219,434,159,66,98,160,214,940
Larry Bird,POWER FORWARD,25,BOSTON CELTICS,77,58,2923,711,1414,11,52,328,380,200,637,447,143,66,254,244,1761
Otis Birdsong,SHOOTING GUARD,26,NEW JERSEY NETS,37,22,1025,225,480,0,10,74,127,30,67,124,30,5,64,74,524
