name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Kareem Abdul-Jabbar,CENTER,32,LOS ANGELES LAKERS,82,0,3143,835,1383,0,1,364,476,190,696,371,81,280,297,216,2034
Tom Abernethy,POWER FORWARD,25,GOLDEN STATE WARRIORS,67,0,1222,153,318,0,1,56,82,62,129,87,35,12,39,118,362
Alvan Adams,CENTER,25,PHOENIX SUNS,75,0,2168,465,875,0,2,188,236,158,451,322,108,55,218,237,1118
Tiny Archibald,POINT GUARD,31,BOSTON CELTICS,80,80,2864,383,794,4,18,361,435,59,138,671,106,10,242,218,1131
Dennis Awtrey,CENTER,31,CHICAGO BULLS,26,6,560,27,60,0,0,32,50,29,86,40,12,15,27,66,86
Gus Bailey,SHOOTING GUARD,28,WASHINGTON BULLETS,20,0,180,16,35,1,1,5,13,6,22,26,7,4,11,18,38
James Bailey,POWER FORWARD,22,SEATTLE SUPERSONICS,67,0,726,122,271,0,0,68,101,71,126,28,21,54,79,116,312
Greg Ballard,SMALL FORWARD,25,WASHINGTON BULLETS,82,0,2438,545,1101,16,47,171,227,240,398,159,90,36,133,197,1277
Mike Bantom,SMALL FORWARD,28,INDIANA PACERS,77,0,2330,384,760,1,3,139,209,192,264,279,85,49,189,268,908
Marvin Barnes,POWER FORWARD,27,,20,0,287,24,60,0,0,16,32,34,43,18,5,12,18,52,64
Rick Barry,SMALL FORWARD,35,HOUSTON ROCKETS,72,0,1816,325,771,73,221,143,153,53,183,268,80,28,152,182,866
Tim Bassett,POWER FORWARD,28,NEW JERSEY NETS,7,0,92,8,22,0,0,8,12,7,11,4,5,0,4,14,24
Tim Bassett,POWER FORWARD,28,SAN ANTONIO SPURS,5,0,72,4,12,0,0,2,3,4,11,10,3,0,5,13,10
Billy Ray Bates,SHOOTING GUARD,23,PORTLAND TRAIL BLAZERS,16,0,235,72,146,8,19,28,39,13,16,31,14,2,20,26,180
Ron Behagen,POWER FORWARD,29,WASHINGTON BULLETS,6,0,64,9,23,0,0,5,6,6,8,7,0,4,4,14,23
Kent Benson,CENTER,25,MILWAUKEE BUCKS,56,0,1389,213,431,0,1,66,97,96,237,127,54,74,106,178,492
Kent Benson,CENTER,25,DETROIT PISTONS,17,0,502,86,187,1,4,33,44,30,90,51,19,18,51,68,206
Del Beshore,POINT GUARD,23,CHICAGO BULLS,68,0,869,88,250,10,26,58,87,16,47,139,58,5,104,105,244
Henry Bibby,POINT GUARD,30,PHILADELPHIA 76ERS,82,8,2035,251,626,11,52,226,286,65,143,307,62,6,147,161,739
Larry Bird,POWER FORWARD,23,BOSTON CELTICS,82,82,2955,693,1463,58,143,301,360,216,636,370,143,53,263,279,1745
Otis Birdsong,SHOOTING GUARD,24,KANSAS CITY KINGS,82,0,2885,781,1546,10,36,286,412,170,161,202,136,22,179,226,1858
Ron Boone,SHOOTING GUARD,33,LOS ANGELES LAKERS,6,0,106,14,40,0,0,6,7,4,7,7,5,0,13,13,34
Ron Boone,SHOOTING GUARD,33,UTAH JAZZ,75,0,2286,391,875,19,50,169,189,50,166,302,92,3,184,219,970
Lawrence Boston,POWER FORWARD,23,WASHINGTON BULLETS,13,0,125,24,52,0,0,8,13,19,20,2,4,2,8,25,56
Tom Boswell,POWER FORWARD,26,DENVER NUGGETS,18,0,522,72,135,1,2,58,70,40,74,46,5,8,39,56,203
Tom Boswell,POWER FORWARD,26,UTAH JAZZ,61,0,1555,274,478,4,8,148,203,106,222,115,24,29,142,214,700
Winford Boynes,SHOOTING GUARD,22,NEW JERSEY NETS,64,0,1102,221,467,0,4,104,136,51,82,95,59,19,96,132,546
Alonzo Bradley,SMALL FORWARD,26,HOUSTON ROCKETS,22,0,96,17,48,1,1,6,9,2,4,3,3,0,8,9,41
Dudley Bradley,SHOOTING GUARD,22,INDIANA PACERS,82,0,2027,275,609,2,5,136,174,69,154,252,211,48,166,194,688
Mike Bratz,POINT GUARD,24,PHOENIX SUNS,82,0,1589,269,687,21,86,141,162,50,117,223,93,9,135,165,700
