team,wins,losses,win_loss_pct,team_pts_per_g,opp_pts_per_g,team_simple_rating_system
Boston Celtics,51,31,.622,111.8,104.5,7.02
Philadelphia 76ers,51,31,.622,109.9,107.3,2.57
Toronto Raptors,48,34,.585,109.4,107.1,2.38
Brooklyn Nets,44,38,.537,112.9,112.1,0.82
New York Knicks,37,45,.451,106.5,106.6,-0.01
Milwaukee Bucks,51,31,.622,115.5,112.1,3.22
Chicago Bulls,46,36,.561,111.6,112.0,-0.38
Cleveland Cavaliers,44,38,.537,107.8,105.7,2.04
Indiana Pacers,25,57,.305,111.5,114.9,-3.26
Detroit Pistons,23,59,.280,104.8,112.5,-7.36
Miami Heat,53,29,.646,110.0,105.6,4.23
Atlanta Hawks,43,39,.524,113.9,112.4,1.55
Charlotte Hornets,43,39,.524,115.3,114.9,0.53
Washington Wizards,35,47,.427,108.6,112.0,-3.23
Orlando Magic,22,60,.268,104.2,112.2,-7.67
Utah Jazz,49,33,.598,113.6,107.6,5.67
Denver Nuggets,48,34,.585,112.7,110.4,2.16
Minnesota Timberwolves,46,36,.561,115.9,113.3,2.53
Portland Trail Blazers,27,55,.329,106.2,115.1,-8.55
Oklahoma City Thunder,24,58,.293,103.7,111.8,-7.90
Phoenix Suns,64,18,.780,114.8,107.3,6.94
Golden State Warriors,53,29,.646,111.0,105.5,5.52
Los Angeles Clippers,42,40,.512,108.4,108.4,0.09
Los Angeles Lakers,33,49,.402,112.1,115.1,-3.08
Sacramento Kings,30,52,.366,110.3,115.8,-5.26
Memphis Grizzlies,56,26,.683,115.6,109.9,5.37
Dallas Mavericks,52,30,.634,108.0,104.7,3.12
New Orleans Pelicans,36,46,.439,109.3,110.3,-0.84
San Antonio Spurs,34,48,.415,113.2,113.0,0.02
Houston Rockets,20,62,.244,109.7,118.2,-8.26
