team,wins,losses,win_loss_pct,team_pts_per_g,opp_pts_per_g,team_simple_rating_system
Toronto Raptors,58,24,.707,114.4,108.4,5.49
Philadelphia 76ers,51,31,.622,115.2,112.5,2.25
Boston Celtics,49,33,.598,112.4,108.0,3.90
Brooklyn Nets,42,40,.512,112.2,112.3,-0.40
New York Knicks,17,65,.207,104.6,113.8,-8.93
Milwaukee Bucks,60,22,.732,118.1,109.3,8.04
Indiana Pacers,48,34,.585,108.0,104.7,2.76
Detroit Pistons,41,41,.500,107.0,107.3,-0.56
Chicago Bulls,22,60,.268,104.9,113.4,-8.32
Cleveland Cavaliers,19,63,.232,104.5,114.1,-9.39
Orlando Magic,42,40,.512,107.3,106.6,0.28
Charlotte Hornets,39,43,.476,110.7,111.8,-1.32
Miami Heat,39,43,.476,105.7,105.9,-0.45
Washington Wizards,32,50,.390,114.0,116.9,-3.30
Atlanta Hawks,29,53,.354,113.3,119.4,-6.06
Denver Nuggets,54,28,.659,110.7,106.7,4.19
Portland Trail Blazers,53,29,.646,114.7,110.5,4.43
Utah Jazz,50,32,.610,111.7,106.5,5.28
Oklahoma City Thunder,49,33,.598,114.5,111.1,3.56
Minnesota Timberwolves,36,46,.439,112.5,114.0,-1.02
Golden State Warriors,57,25,.695,117.7,111.2,6.42
Los Angeles Clippers,48,34,.585,115.1,114.3,1.09
Sacramento Kings,39,43,.476,114.2,115.3,-0.81
Los Angeles Lakers,37,45,.451,111.8,113.5,-1.33
Phoenix Suns,19,63,.232,107.5,116.8,-8.61
Houston Rockets,53,29,.646,113.9,109.1,4.96
San Antonio Spurs,48,34,.585,111.7,110.0,1.80
Memphis Grizzlies,33,49,.402,103.5,106.1,-2.08
New Orleans Pelicans,33,49,.402,115.4,116.8,-1.10
Dallas Mavericks,33,49,.402,108.9,110.1,-0.87
