team,wins,losses,win_loss_pct,team_pts_per_g,opp_pts_per_g,team_simple_rating_system
New York Knicks,60,22,.732,101.6,95.4,5.87
Boston Celtics,48,34,.585,103.7,102.8,0.93
New Jersey Nets,43,39,.524,102.8,101.6,1.20
Orlando Magic,41,41,.500,105.5,104.2,1.35
Miami Heat,36,46,.439,103.6,104.7,-0.93
Philadelphia 76ers,26,56,.317,104.3,110.1,-5.25
Washington Bullets,22,60,.268,101.9,108.9,-6.49
Chicago Bulls,57,25,.695,105.2,98.9,6.19
Cleveland Cavaliers,54,28,.659,107.7,101.3,6.30
Charlotte Hornets,44,38,.537,110.1,110.4,-0.02
Atlanta Hawks,43,39,.524,107.5,108.4,-0.67
Indiana Pacers,41,41,.500,107.8,106.1,1.77
Detroit Pistons,40,42,.488,100.6,102.0,-1.10
Milwaukee Bucks,28,54,.341,102.3,106.1,-3.26
Houston Rockets,55,27,.671,104.0,99.8,3.57
San Antonio Spurs,49,33,.598,105.5,102.8,2.21
Utah Jazz,47,35,.573,106.2,104.0,1.74
Denver Nuggets,36,46,.439,105.2,106.9,-2.14
Minnesota Timberwolves,19,63,.232,98.1,105.9,-7.62
Dallas Mavericks,11,71,.134,99.3,114.5,-14.68
Phoenix Suns,62,20,.756,113.4,106.7,6.27
Seattle SuperSonics,55,27,.671,108.3,101.3,6.66
Portland Trail Blazers,51,31,.622,108.5,105.4,2.92
Los Angeles Clippers,41,41,.500,107.1,106.8,0.33
Los Angeles Lakers,39,43,.476,104.2,105.5,-1.20
Golden State Warriors,34,48,.415,109.9,110.9,-0.94
Sacramento Kings,25,57,.305,107.9,111.1,-3.00
