team,wins,losses,win_loss_pct,team_pts_per_g,opp_pts_per_g,team_simple_rating_system
New York Knicks,54,28,.659,100.0,95.7,3.73
Brooklyn Nets,49,33,.598,96.9,95.1,1.25
Boston Celtics,41,40,.506,96.5,96.7,-0.62
Philadelphia 76ers,34,48,.415,93.2,96.5,-3.51
Toronto Raptors,34,48,.415,97.2,98.7,-1.96
Indiana Pacers,49,32,.605,94.7,90.7,3.34
Chicago Bulls,45,37,.549,93.2,92.9,-0.02
Milwaukee Bucks,38,44,.463,98.9,100.4,-1.83
Detroit Pistons,29,53,.354,94.9,98.8,-4.33
Cleveland Cavaliers,24,58,.293,96.5,101.2,-4.87
Miami Heat,66,16,.805,102.9,95.0,7.03
Atlanta Hawks,44,38,.537,98.0,97.5,-0.08
Washington Wizards,29,53,.354,93.2,95.8,-2.78
Charlotte Bobcats,21,61,.256,93.4,102.7,-9.29
Orlando Magic,20,62,.244,94.1,101.1,-7.12
Oklahoma City Thunder,60,22,.732,105.7,96.5,9.15
Denver Nuggets,57,25,.695,106.1,101.1,5.37
Utah Jazz,43,39,.524,98.0,98.1,0.30
Portland Trail Blazers,33,49,.402,97.5,100.7,-2.53
Minnesota Timberwolves,31,51,.378,95.7,98.1,-1.83
Los Angeles Clippers,56,26,.683,101.1,94.6,6.43
Golden State Warriors,47,35,.573,101.2,100.3,1.32
Los Angeles Lakers,45,37,.549,102.2,101.0,1.48
Sacramento Kings,28,54,.341,100.2,105.1,-4.26
Phoenix Suns,25,57,.305,95.2,101.6,-5.75
San Antonio Spurs,58,24,.707,103.0,96.6,6.67
Memphis Grizzlies,56,26,.683,93.4,89.3,4.32
Houston Rockets,45,37,.549,106.0,102.5,3.69
Dallas Mavericks,41,41,.500,101.1,101.7,-0.24
New Orleans Hornets,27,55,.329,94.1,97.9,-3.12
