team,wins,losses,win_loss_pct,team_pts_per_g,opp_pts_per_g,team_simple_rating_system
Philadelphia 76ers,49,23,.681,113.6,108.1,5.28
Brooklyn Nets,48,24,.667,118.6,114.1,4.24
New York Knicks,41,31,.569,107.0,104.7,2.13
Boston Celtics,36,36,.500,112.6,111.2,1.32
Toronto Raptors,27,45,.375,111.3,111.7,-0.54
Milwaukee Bucks,46,26,.639,120.1,114.2,5.57
Indiana Pacers,34,38,.472,115.3,115.3,-0.13
Chicago Bulls,31,41,.431,110.7,111.6,-0.94
Cleveland Cavaliers,22,50,.306,103.8,112.3,-8.19
Detroit Pistons,20,52,.278,106.6,111.1,-4.38
Atlanta Hawks,41,31,.569,113.7,111.4,2.14
Miami Heat,40,32,.556,108.1,108.0,-0.06
Washington Wizards,34,38,.472,116.6,118.5,-1.85
Charlotte Hornets,33,39,.458,109.5,111.4,-1.94
Orlando Magic,21,51,.292,104.0,113.3,-9.02
Utah Jazz,52,20,.722,116.4,107.2,8.97
Denver Nuggets,47,25,.653,115.1,110.1,4.82
Portland Trail Blazers,42,30,.583,116.1,114.3,1.81
Minnesota Timberwolves,23,49,.319,112.1,117.7,-5.25
Oklahoma City Thunder,22,50,.306,105.0,115.6,-10.13
Phoenix Suns,51,21,.708,115.3,109.5,5.67
Los Angeles Clippers,47,25,.653,114.0,107.8,6.02
Los Angeles Lakers,42,30,.583,109.5,106.8,2.77
Golden State Warriors,39,33,.542,113.7,112.7,1.10
Sacramento Kings,31,41,.431,113.7,117.4,-3.45
Dallas Mavericks,42,30,.583,112.4,110.2,2.26
Memphis Grizzlies,38,34,.528,113.3,112.3,1.07
San Antonio Spurs,33,39,.458,111.1,112.8,-1.58
New Orleans Pelicans,31,41,.431,114.6,114.9,-0.20
Houston Rockets,17,55,.236,108.8,116.7,-7.50
