team,wins,losses,win_loss_pct,team_pts_per_g,opp_pts_per_g,team_simple_rating_system
Philadelphia 76ers,53,29,.646,110.2,105.2,4.23
Boston Celtics,52,30,.634,110.0,106.0,3.23
New York Knicks,45,37,.549,108.3,106.9,0.78
Washington Bullets,31,51,.378,107.7,109.9,-2.43
Miami Heat,18,64,.220,100.6,110.3,-9.59
New Jersey Nets,17,65,.207,100.1,108.0,-7.82
Detroit Pistons,59,23,.720,104.3,98.3,5.41
Chicago Bulls,55,27,.671,109.5,106.2,2.74
Milwaukee Bucks,44,38,.537,106.0,106.8,-1.06
Cleveland Cavaliers,42,40,.512,102.6,102.9,-0.62
Indiana Pacers,42,40,.512,109.3,109.1,-0.18
Atlanta Hawks,41,41,.500,108.5,107.5,0.64
Orlando Magic,18,64,.220,110.9,119.8,-8.73
San Antonio Spurs,56,26,.683,106.3,102.8,3.58
Utah Jazz,55,27,.671,106.8,102.0,4.82
Dallas Mavericks,47,35,.573,102.2,102.2,0.42
Denver Nuggets,43,39,.524,114.6,113.2,1.56
Houston Rockets,41,41,.500,106.7,105.3,1.71
Minnesota Timberwolves,22,60,.268,95.2,99.4,-3.60
Charlotte Hornets,19,63,.232,100.4,108.2,-7.00
Los Angeles Lakers,63,19,.768,110.7,103.9,6.74
Portland Trail Blazers,59,23,.720,114.2,107.9,6.48
Phoenix Suns,54,28,.659,114.9,107.8,7.09
Seattle SuperSonics,41,41,.500,106.9,105.9,1.40
Golden State Warriors,37,45,.451,116.3,119.4,-2.55
Los Angeles Clippers,30,52,.366,103.8,107.2,-2.80
Sacramento Kings,23,59,.280,101.7,106.8,-4.41
