team,wins,losses,win_loss_pct,team_pts_per_g,opp_pts_per_g,team_simple_rating_system
Boston Celtics,63,19,.768,114.8,108.1,6.47
Philadelphia 76ers,58,24,.707,112.9,108.8,4.17
New Jersey Nets,42,40,.512,109.5,109.2,0.64
Washington Bullets,40,42,.488,105.5,105.8,0.15
New York Knicks,24,58,.293,105.2,109.8,-4.09
Milwaukee Bucks,59,23,.720,110.9,104.0,6.69
Detroit Pistons,46,36,.561,116.0,113.5,2.73
Chicago Bulls,38,44,.463,108.7,109.6,-0.50
Cleveland Cavaliers,36,46,.439,108.6,111.3,-2.27
Atlanta Hawks,34,48,.415,106.6,108.1,-1.14
Indiana Pacers,22,60,.268,108.3,114.5,-5.46
Denver Nuggets,52,30,.634,120.0,117.6,2.05
Houston Rockets,48,34,.585,111.2,109.5,1.38
Dallas Mavericks,44,38,.537,111.2,109.0,1.80
Utah Jazz,41,41,.500,109.0,109.1,-0.33
San Antonio Spurs,41,41,.500,114.8,113.9,0.63
Kansas City Kings,31,51,.378,114.8,117.5,-2.71
Los Angeles Lakers,62,20,.756,118.2,110.9,6.48
Portland Trail Blazers,42,40,.512,115.5,112.1,2.80
Phoenix Suns,36,46,.439,108.0,110.1,-2.34
Seattle SuperSonics,31,51,.378,102.1,107.6,-5.44
Los Angeles Clippers,31,51,.378,107.1,111.6,-4.55
Golden State Warriors,22,60,.268,110.4,117.7,-7.21
