team,wins,losses,win_loss_pct,team_pts_per_g,opp_pts_per_g,team_simple_rating_system,g,mp,fg,fga,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,champion
Boston Celtics,62,20,.756,109.9,104.0,6.05,82,241.2,43.7,86.6,21.7,28.9,14.1,29.6,43.6,26.9,8.3,7.2,19.2,24.3,109.9,1
Philadelphia 76ers,62,20,.756,111.7,103.8,7.76,82,242.1,44.3,86.3,22.7,29.6,13.3,31.9,45.2,28.9,10.5,7.2,20.8,25.1,111.7,0
New York Knicks,50,32,.610,107.9,106.3,2.00,82,241.8,42.7,88.5,21.7,29.1,13.9,26.9,40.8,24.1,10.5,3.8,17.8,23.4,107.9,0
Washington Bullets,39,43,.476,105.6,105.6,0.42,82,241.2,43.3,91.7,18.3,25.3,14.1,30.9,45.0,26.2,7.8,4.8,17.3,23.1,105.6,0
New Jersey Nets,24,58,.293,106.9,113.0,-5.15,82,241.5,42.4,89.2,21.7,28.9,13.3,29.0,42.3,25.2,9.1,5.6,20.3,26.9,106.9,0
Milwaukee Bucks,60,22,.732,113.1,105.9,7.14,82,240.9,45.4,91.1,22.0,28.5,15.4,29.4,44.7,28.3,10.5,6.5,19.3,26.8,113.1,0
Chicago Bulls,45,37,.549,109.0,107.0,2.34,82,241.2,42.2,84.2,24.2,31.3,15.0,30.2,45.1,23.5,8.9,6.3,20.4,25.1,109.0,0
Indiana Pacers,44,38,.537,107.6,106.2,1.72,82,240.6,42.6,88.4,22.1,31.0,16.2,27.6,43.8,25.5,10.2,5.9,18.2,24.5,107.6,0
Atlanta Hawks,31,51,.378,104.9,108.0,-2.37,82,243.0,40.1,83.7,24.5,31.6,14.6,27.1,41.8,22.5,9.1,5.7,19.6,27.8,104.9,0
Cleveland Cavaliers,28,54,.341,105.7,110.6,-4.15,82,241.2,43.4,92.8,18.1,23.3,15.3,27.4,42.7,24.5,7.7,3.9,17.0,24.3,105.7,0
Detroit Pistons,21,61,.256,99.7,106.0,-5.58,82,240.9,39.5,85.2,20.6,28.4,14.6,25.7,40.4,22.2,10.8,6.0,21.5,25.9,99.7,0
San Antonio Spurs,52,30,.634,112.3,109.4,2.18,82,241.5,43.5,88.7,25.0,32.5,15.9,31.5,47.4,25.0,8.4,7.8,18.7,25.8,112.3,0
Kansas City Kings,40,42,.488,106.9,106.9,-0.49,82,241.8,43.6,87.2,19.2,26.9,12.6,29.9,42.5,27.7,8.8,4.7,17.7,25.5,106.9,0
Houston Rockets,40,42,.488,108.3,107.9,-0.20,82,241.5,43.6,89.5,20.9,27.1,14.8,28.6,43.5,25.6,8.6,4.8,17.7,23.2,108.3,0
Denver Nuggets,37,45,.451,121.8,122.3,-0.95,82,243.4,46.1,97.1,29.1,37.2,16.2,30.5,46.6,24.8,8.8,4.6,17.6,25.7,121.8,0
Utah Jazz,28,54,.341,101.2,107.1,-5.99,82,240.6,40.6,83.2,19.5,25.4,11.7,28.4,40.1,23.8,7.8,4.7,17.4,25.7,101.2,0
Dallas Mavericks,15,67,.183,101.5,109.9,-8.33,82,241.2,39.1,84.5,22.8,30.3,13.5,26.5,40.1,24.2,6.8,2.6,17.5,24.5,101.5,0
Phoenix Suns,57,25,.695,110.0,104.5,4.83,82,240.9,43.7,89.3,22.1,29.6,15.0,30.4,45.4,26.9,10.7,5.1,21.1,24.3,110.0,0
Los Angeles Lakers,54,28,.659,111.2,107.3,3.27,82,241.5,46.1,90.0,18.8,25.8,14.2,30.4,44.6,28.8,9.9,6.7,19.0,23.8,111.2,0
Portland Trail Blazers,45,37,.549,110.7,109.8,0.52,82,242.1,45.6,91.9,19.2,26.7,15.2,29.1,44.3,27.4,9.4,5.9,18.5,24.8,110.7,0
Golden State Warriors,39,43,.476,109.8,111.0,-1.41,82,240.6,43.4,88.8,22.3,30.6,17.1,28.9,46.0,24.7,7.5,3.7,18.9,26.3,109.8,0
San Diego Clippers,36,46,.439,106.5,108.1,-1.78,82,240.6,42.4,88.8,20.1,27.4,14.3,26.1,40.4,25.6,9.3,3.6,17.2,25.3,106.5,0
Seattle SuperSonics,34,48,.415,104.0,105.7,-1.84,82,241.2,40.8,87.1,22.1,29.0,14.2,29.7,43.9,23.7,7.7,5.3,18.6,24.2,104.0,0
